Creation Time:	2022-12-29 18:37:42

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1247334580

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.2838709677419355
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7960.196521391944 +- 1.5151360795546407

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	111	81	1.0	0.0	2.890e+03	0.236	0.453	GO:0008544
2	84	58	1.0	0.0	1.857e+03	0.14	0.501	GO:0031099
3	69	59	0.97178	0.08465	6.455e+02	0.356	0.436	GO:0048514
4	83	58	0.95834	0.12497	1.773e+03	0.243	0.422	GO:0051650
5	44	37	0.88476	0.29705	2.878e+02	0.436	0.372	GO:0051785
6	81	52	0.60162	0.26871	1.940e+03	0.1	0.506	GO:0051216
7	31	24	0.52252	0.34845	1.969e+02	0.189	0.563	GO:0051057
8	38	26	0.44761	0.23961	3.906e+02	0.159	0.465	GO:0030049
9	31	23	0.38028	0.30806	2.209e+02	0.281	0.357	GO:0035065
10	28	22	0.34777	0.34313	1.539e+02	0.218	0.561	GO:0046579
11	42	27	0.25444	0.22752	5.254e+02	0.121	0.495	GO:0023021
12	45	29	0.20571	0.21765	6.003e+02	0.135	0.472	GO:0070252
13	27	19	0.19513	0.1643	1.889e+02	0.188	0.426	GO:0090329
14	39	25	0.16518	0.12757	4.555e+02	0.116	0.492	GO:0038032
15	23	16	0.13357	0.15943	1.409e+02	0.212	0.424	GO:0032369
16	43	28	0.11247	0.10281	5.404e+02	0.209	0.432	GO:0007270
17	33	23	0.10921	0.10973	2.858e+02	0.218	0.357	GO:2000756
18	34	28	0.10617	0.29821	1.899e+02	0.458	0.32	GO:0045840
19	46	32	0.08482	0.08286	5.534e+02	0.18	0.514	GO:0021782
20	21	16	0.05368	0.09752	9.596e+01	0.204	0.468	GO:0001502
21	21	15	0.04975	0.07672	1.119e+02	0.127	0.444	GO:0002720
22	20	14	0.0472	0.04369	1.059e+02	0.121	0.57	GO:0045851
23	139	87	0.04166	0.12497	5.882e+03	0.126	0.437	GO:0051656
