Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	45	38	1.0	0.0	2.948e+02	0.432	0.367	GO:0032655
2	90	74	1.0	0.0	1.319e+03	0.372	0.424	GO:2001234
3	154	85	0.9736	0.07005	8.242e+03	0.048	0.462	GO:0043603
4	111	77	0.75049	0.39663	3.206e+03	0.174	0.477	GO:0060191
5	86	59	0.7	0.45826	1.968e+03	0.21	0.403	GO:0002706
6	93	68	0.69813	0.37187	2.022e+03	0.245	0.445	GO:0006475
7	30	21	0.69752	0.33636	2.348e+02	0.182	0.43	GO:0032465
8	68	54	0.69365	0.41317	8.611e+02	0.223	0.542	GO:0018108
9	49	28	0.59205	0.37644	8.188e+02	0.049	0.479	GO:0035914
10	43	26	0.58146	0.31571	5.953e+02	0.168	0.342	GO:0007369
11	41	32	0.56538	0.38835	3.338e+02	0.327	0.362	GO:0043488
12	94	70	0.54302	0.45565	1.977e+03	0.265	0.412	GO:0050768
13	121	84	0.45698	0.45565	3.802e+03	0.202	0.408	GO:0010721
14	28	19	0.45354	0.30198	2.168e+02	0.219	0.436	GO:0055006
15	44	34	0.43462	0.38835	3.957e+02	0.311	0.379	GO:0043487
16	52	30	0.43398	0.33485	9.126e+02	0.093	0.399	GO:0043647
17	133	77	0.41984	0.40264	5.886e+03	0.083	0.418	GO:0030336
18	165	99	0.40913	0.22543	8.706e+03	0.072	0.512	GO:0032103
19	70	54	0.30635	0.41317	9.998e+02	0.205	0.542	GO:0018212
20	104	74	0.30187	0.37187	2.680e+03	0.213	0.454	GO:0006473
21	26	17	0.29335	0.23991	1.989e+02	0.213	0.41	GO:0055013
22	33	15	0.2701	0.22617	4.454e+02	0.089	0.225	GO:0009069
23	141	80	0.25774	0.32083	6.744e+03	0.069	0.415	GO:0051271
24	78	42	0.25436	0.20681	2.174e+03	0.066	0.426	GO:0007623
25	136	78	0.25154	0.3286	6.211e+03	0.079	0.415	GO:2000146
26	81	60	0.25007	0.39636	1.490e+03	0.242	0.471	GO:0010517
27	109	70	0.21978	0.35266	3.501e+03	0.143	0.423	GO:0002703
28	35	19	0.21446	0.17103	4.405e+02	0.054	0.394	GO:0034308
29	63	36	0.18807	0.24281	1.348e+03	0.061	0.432	GO:0051781
30	41	21	0.15062	0.12675	6.301e+02	-0.009	0.425	GO:0009247
31	30	20	0.14096	0.18012	2.558e+02	0.098	0.551	GO:0060135
32	41	22	0.14059	0.13089	6.082e+02	0.053	0.406	GO:0050764
33	120	75	0.12784	0.16	4.397e+03	0.157	0.386	GO:0048638
34	128	70	0.12496	0.19107	5.749e+03	0.036	0.492	GO:0044262
35	24	16	0.11949	0.11067	1.649e+02	0.175	0.442	GO:0042474
36	77	41	0.09984	0.11079	2.138e+03	0.028	0.466	GO:0021953
37	43	29	0.08748	0.10214	5.115e+02	0.204	0.377	GO:0030516
38	40	26	0.0853	0.11217	4.695e+02	0.152	0.451	GO:0035137
39	69	41	0.08417	0.09047	1.552e+03	0.114	0.41	GO:0042102
40	25	18	0.0781	0.10147	1.549e+02	0.127	0.495	GO:0042311
41	51	36	0.07563	0.07703	6.603e+02	0.232	0.379	GO:0061387
42	107	44	0.06643	0.08088	4.868e+03	-0.006	0.358	GO:0008652
43	31	18	0.06141	0.07839	3.257e+02	0.054	0.497	GO:0019692
44	52	27	0.05822	0.1212	9.993e+02	-0.016	0.483	GO:0055008
45	28	16	0.05636	0.0837	2.708e+02	0.122	0.412	GO:0060674
46	30	17	0.05395	0.07561	3.127e+02	0.105	0.402	GO:0050766
47	157	90	0.05259	0.11808	8.271e+03	0.084	0.421	GO:0040013
48	94	53	0.05228	0.11985	3.026e+03	0.059	0.468	GO:0019751
49	36	21	0.05163	0.11752	4.355e+02	0.063	0.529	GO:0021515
50	22	14	0.04907	0.05829	1.489e+02	0.132	0.44	GO:0048048
51	66	33	0.04752	0.05287	1.647e+03	0.044	0.445	GO:0006026
52	40	23	0.04703	0.09355	5.443e+02	0.097	0.481	GO:0044273
53	24	15	0.04685	0.05456	1.809e+02	0.163	0.429	GO:0071514
54	46	27	0.04329	0.06144	7.030e+02	0.092	0.479	GO:0007266
55	46	28	0.0425	0.11439	6.751e+02	0.148	0.397	GO:0055024
56	23	15	0.04154	0.04225	1.569e+02	0.134	0.457	GO:1903313
57	34	20	0.03996	0.05029	3.856e+02	0.035	0.526	GO:0009262
58	86	39	0.03773	0.10049	2.973e+03	-0.086	0.466	GO:0046467
59	59	31	0.03759	0.04748	1.273e+03	0.059	0.474	GO:0006027
