Creation Time:	2022-12-30 15:47:31

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/crfe_v018_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	1533
threshold:	2
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	5
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.35503125403484775
Maximal possible value for alpha and beta:	0.35503125403484775
Probability parameter change:	0.2
seed for RNG:	1062947925

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1821
Total number of genes:	6482
Number of perturbed genes:	1540
Proportion perturbed genes:	0.23758099352051837

OUTPUT:
Learnt parameters:
alpha (FPR):	0.21301875242090867
beta (FNR):	0.35503125403484775
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-3742.342917998074 +- 2.317590839293883

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	1.0	0.0	4.723e+02	2.84	GO:0046364
2	73	33	0.9322	0.1004	2.149e+03	2.793	GO:0002576
3	53	27	0.92187	0.099	1.051e+03	2.447	GO:0007051
4	31	14	0.79726	0.3091	3.954e+02	3.396	GO:1901888
5	28	13	0.59793	0.32689	3.175e+02	3.022	GO:0007566
6	30	15	0.59172	0.35523	3.455e+02	2.617	GO:0045646
7	102	39	0.49078	0.41435	4.603e+03	2.695	GO:0030336
8	52	19	0.47095	0.19397	1.241e+03	2.257	GO:0032943
9	25	12	0.38169	0.19677	2.487e+02	3.291	GO:0030834
10	24	11	0.36863	0.18881	2.367e+02	2.472	GO:0046456
11	49	20	0.3562	0.31792	1.038e+03	2.779	GO:0007569
12	21	11	0.28363	0.19451	1.658e+02	3.566	GO:0051693
13	21	11	0.268	0.35736	1.658e+02	3.566	GO:0030835
14	25	9	0.23803	0.09992	2.965e+02	2.528	GO:0032570
15	26	13	0.23523	0.20617	2.607e+02	3.471	GO:0001954
16	33	13	0.22406	0.08102	4.861e+02	3.105	GO:0051492
17	105	39	0.2	0.4	4.952e+03	2.636	GO:2000146
18	22	8	0.19547	0.21763	2.297e+02	2.719	GO:0050873
19	27	12	0.18736	0.2372	3.046e+02	3.269	GO:0010633
20	95	38	0.17952	0.11965	3.900e+03	2.746	GO:0031589
21	33	15	0.16624	0.09525	4.452e+02	3.22	GO:0006909
22	23	10	0.16178	0.15699	2.257e+02	2.477	GO:0006636
23	37	13	0.15743	0.22681	6.475e+02	2.815	GO:0032231
24	24	10	0.14118	0.20469	2.517e+02	2.828	GO:0021954
25	108	42	0.11592	0.10139	5.109e+03	2.376	GO:0000302
26	75	29	0.11497	0.06187	2.486e+03	2.351	GO:0042542
27	26	10	0.11069	0.12904	3.085e+02	2.472	GO:0045599
28	31	16	0.09467	0.09112	3.605e+02	2.314	GO:0030397
29	75	27	0.08614	0.16418	2.583e+03	2.689	GO:0030097
30	28	13	0.07401	0.0413	3.175e+02	2.427	GO:0042451
31	22	12	0.07162	0.07125	1.758e+02	2.461	GO:0060334
32	35	15	0.06534	0.08963	5.190e+02	2.288	GO:0010717
33	40	17	0.0641	0.09948	6.785e+02	2.601	GO:0048661
34	87	34	0.06256	0.12512	3.318e+03	2.68	GO:0010632
35	26	11	0.05854	0.07569	2.916e+02	2.613	GO:0048286
36	22	10	0.05224	0.08588	2.008e+02	2.593	GO:0034405
37	31	12	0.05173	0.05108	4.342e+02	2.401	GO:0031214
38	110	40	0.04865	0.0973	5.491e+03	2.567	GO:0051271
39	23	12	0.04582	0.05612	1.988e+02	2.391	GO:0060330
40	29	13	0.03995	0.0799	3.485e+02	3.282	GO:0030837
41	29	12	0.03802	0.04642	3.664e+02	1.99	GO:0010770
