Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	0.86522	0.26957	4.723e+02	2.84	GO:0046364
2	53	27	0.62778	0.22114	1.051e+03	2.447	GO:0007051
3	73	33	0.39898	0.27548	2.149e+03	2.793	GO:0002576
4	30	15	0.25708	0.25395	3.455e+02	2.617	GO:0045646
5	21	11	0.18674	0.07738	1.658e+02	3.566	GO:0051693
6	31	14	0.16338	0.08489	3.954e+02	3.396	GO:1901888
7	21	11	0.15158	0.10739	1.658e+02	3.566	GO:0030835
8	27	12	0.11852	0.18938	3.046e+02	3.269	GO:0010633
9	32	17	0.11274	0.22549	3.754e+02	2.855	GO:0019319
10	26	13	0.11233	0.11686	2.607e+02	3.471	GO:0001954
11	25	12	0.11062	0.04784	2.487e+02	3.291	GO:0030834
12	50	23	0.1053	0.11839	1.003e+03	2.769	GO:0010811
13	21	12	0.09226	0.06795	1.539e+02	3.012	GO:0007052
14	21	11	0.06897	0.05734	1.658e+02	2.784	GO:0030511
15	31	16	0.0571	0.02775	3.605e+02	2.314	GO:0030397
16	22	12	0.05523	0.06321	1.758e+02	2.461	GO:0060334
17	22	10	0.05145	0.06181	2.008e+02	2.593	GO:0034405
18	33	15	0.0512	0.04226	4.452e+02	3.22	GO:0006909
19	33	13	0.04187	0.08374	4.861e+02	3.105	GO:0051492
20	24	10	0.03866	0.04872	2.517e+02	3.091	GO:0010596
21	24	12	0.03846	0.03748	2.227e+02	2.65	GO:0014910
22	37	18	0.03547	0.03198	5.330e+02	2.153	GO:0006998
23	71	35	0.03458	0.03058	1.922e+03	2.026	GO:0006613
24	70	34	0.03086	0.03061	1.887e+03	1.983	GO:0031145
25	71	34	0.02993	0.03657	1.959e+03	2.082	GO:0045047
26	23	10	0.02492	0.03015	2.257e+02	2.477	GO:0006636
27	30	15	0.02486	0.01827	3.455e+02	1.978	GO:0006334
28	22	12	0.02177	0.04354	1.758e+02	2.585	GO:0048008
29	24	12	0.02154	0.01418	2.227e+02	2.713	GO:0022409
30	20	11	0.02035	0.01715	1.449e+02	2.213	GO:0043666
31	23	12	0.01919	0.02263	1.988e+02	2.391	GO:0060330
