Gene ID	Gene Name	Design Element	g1_g3.p-value	g1_g3.t-statistic	g1_g3.log2foldchange	g2_g4.p-value	g2_g4.t-statistic	g2_g4.log2foldchange
ENSG00000000003	TSPAN6	209108_at	0.740881035653088	-0.390616596004732	0	0.000863828333882233	-3.57752233291788	-0.3
ENSG00000000005	TNMD	220065_at	0.0115911930801049	-2.74658870323228	-0.1	0.00350678589111643	-3.13100514947376	-0.1
ENSG00000000419	DPM1	202673_at	1.41228162548736e-09	6.93850474447138	0.5	4.09672675183743e-13	8.39351856710066	0.5
ENSG00000000457	SCYL3	205607_s_at	1.07658246176872e-09	6.99824471265537	0.3	1.93937778162232e-06	5.19350228178233	0.2
ENSG00000000460	C1orf112	220840_s_at	1.42650030926817e-09	6.93594064917649	0.3	8.16933464158926e-09	6.41567025890204	0.3
ENSG00000000938	FGR	208438_s_at	0.446478412468118	0.864287514168149	0	0.730740772387182	-0.395719704198743	0
ENSG00000000971	CFH	213800_at	0.707513045308237	-0.441172286433654	-0.1	0.571911227337305	-0.637760755206025	-0.1
ENSG00000001084	GCLC	202923_s_at	0.443991889609947	0.868742281153873	0.1	0.229386845545861	-1.31289337094034	-0.1
ENSG00000001167	NFYA	204108_at	1.60985372415555e-10	7.40633326348363	0.5	4.34495758339566e-13	8.38151268599735	0.4
ENSG00000001461	NIPAL3	214579_at	1.65787709592746e-07	-5.87644094264917	-0.2	0.000363233601994184	-3.8358157562789	-0.1
ENSG00000001497	LAS1L	208117_s_at	0.00191474207674701	3.38009968993698	0.1	0.000112923609507006	4.16364067775835	0.2
ENSG00000001561	ENPP4	204160_s_at	0.0441732198953233	-2.19912017968641	-0.2	0.0024941751076097	-3.24377681206905	-0.2
ENSG00000001617	SEMA3F	35666_at	0.0451273567839812	2.18949872964542	0.1	0.0136951525583125	-2.64420632523044	-0.1
ENSG00000001626	CFTR	205043_at	0.00194990512890319	3.37429391819712	0.4	0.824893884155355	-0.257090986118733	0
ENSG00000002016	RAD52	205647_at	0.528488307342977	-0.724556069363481	0	0.238976873761288	1.28714070616573	0
ENSG00000002330	BAD	209364_at	0.00656798439241768	-2.95687804229884	-0.1	0.00405441756362511	-3.08204085501268	-0.1
ENSG00000002549	LAP3	217933_s_at	1.25133013287673e-09	6.96507013913808	0.8	1.50236385640909e-10	7.24161757155197	0.7
ENSG00000002586	CD99	201029_s_at	0.00398760370177944	3.13350932861995	0.3	7.70683025785596e-09	6.42785639745781	0.5
ENSG00000002587	HS3ST1	205466_s_at	0.736607703281073	0.397387148583928	0	0.340177051596051	-1.05068700639234	-0.1
ENSG00000002726	AOC1	203559_s_at	2.46871612306229e-09	6.81723772448058	1.5	0.00206755269741427	3.30434513165227	0.9
ENSG00000002745	WNT16	221113_s_at	0.239961806087188	-1.30714773747112	0	0.196138043017855	-1.40880436240593	0
ENSG00000002746	HECW1	215584_at	6.60217953756813e-14	-8.99986814073908	-0.4	2.62437920971792e-15	-9.34683198845572	-0.4
ENSG00000002834	LASP1	200618_at	0.00445749615156589	3.09537700167699	0.2	0.699207117653639	-0.442477768781438	0
ENSG00000002919	SNX11	220140_s_at	0.0715557069539031	1.97496627662548	0.1	0.0024522816739005	3.24934223577238	0.1
ENSG00000002933	TMEM176A	218345_at	1.1272334623101e-12	8.42488773787639	0.9	7.02916438165721e-11	7.39194882801463	0.7
ENSG00000003056	M6PR	200901_s_at	2.99835929394833e-05	4.59410296867047	0.2	7.10495528158384e-10	6.92687098018178	0.3
ENSG00000003137	CYP26B1	219825_at	0.161740115735305	1.54694347847073	0.1	0.0131086516584202	2.66043675144664	0.1
ENSG00000003147	ICA1	210547_x_at	0.490174390330546	-0.788430349687606	-0.1	0.000104955586455744	-4.18419999447064	-0.2
ENSG00000003249	DBNDD1	222234_s_at	0.0177627403034455	-2.5816373619993	-0.1	0.00425688554757356	-3.06528418929466	-0.1
ENSG00000003400	CASP10	211888_x_at	0.00150336382825367	-3.45781800431654	-0.1	1.74268061723457e-07	-5.749313218854	-0.2
ENSG00000003402	CFLAR	209939_x_at	1.88194086570405e-07	5.84739083543935	0.4	0.0113381533549793	2.71531304804627	0.2
ENSG00000003436	TFPI	213258_at	0.00156458385991786	3.44513476080076	0.4	1.56309940680874e-05	4.68259210642442	0.5
ENSG00000003509	NDUFAF7	220943_s_at	0.00124188168664852	3.51924576803104	0.1	7.48518774047132e-11	7.38001007388911	0.2
ENSG00000003756	RBM5	201395_at	0.00316344516042047	-3.21293667441741	-0.1	0.0346777738599296	-2.26892604955189	-0.1
ENSG00000003987	MTMR7	215793_at	0.00176402098496742	-3.40629467238593	-0.1	0.0110225788079738	-2.72596664330807	-0.1
ENSG00000003989	SLC7A2	207626_s_at	0.586863479748597	-0.62954891170323	0	0.31381881295412	1.10797343726314	0
ENSG00000004139	SARM1	213257_at	1.2681744122556e-08	-6.45764621552284	-0.3	1.63747097362334e-06	-5.23441608143907	-0.2
ENSG00000004142	POLDIP2	217806_s_at	0.0273511524763171	-2.40616774439387	-0.1	0.00454664139946851	-3.04233508534558	-0.1
ENSG00000004399	PLXND1	38671_at	4.87100593211646e-11	7.65269248798196	0.5	2.49968714458639e-15	9.35556915389984	0.6
ENSG00000004455	AK2	212174_at	0.00800848736325027	2.88480046297662	0.2	1.54564059416203e-06	5.24778215559802	0.3
