Gene ID	Gene Name	g1_g2.p-value	g1_g2.log2foldchange
ENSG00000000003	TSPAN6	0.053015998936756	-0.5
ENSG00000000005	TNMD	NA	0
ENSG00000000419	DPM1	2.80946954298185e-06	0.5
ENSG00000000457	SCYL3	0.00881921792469127	0.2
ENSG00000000460	C1orf112	0.000787701327803846	0.4
ENSG00000000938	FGR	0.304738328014896	0.2
ENSG00000000971	CFH	0.478120181577134	0.2
ENSG00000001036	FUCA2	0.870337086539217	0
ENSG00000001084	GCLC	0.241040546166854	-0.1
ENSG00000001167	NFYA	0.0574942536086009	0.2
ENSG00000001460	STPG1	0.216071921047082	-0.1
ENSG00000001461	NIPAL3	0.421312670605655	-0.1
ENSG00000001497	LAS1L	0.0163505365950898	-0.2
ENSG00000001561	ENPP4	0.944899025058585	0
ENSG00000001617	SEMA3F	0.010474251729883	0.9
ENSG00000001626	CFTR	NA	0
ENSG00000001629	ANKIB1	0.971104845949138	0
ENSG00000001630	CYP51A1	0.680875729327273	0.1
ENSG00000001631	KRIT1	0.497191648259197	-0.1
ENSG00000002016	RAD52	0.751649836775808	0
ENSG00000002079	MYH16	0.692340636788077	0.2
ENSG00000002330	BAD	0.317159990736467	0.2
ENSG00000002549	LAP3	7.49124348367817e-08	1.3
ENSG00000002586	CD99	0.127265818705213	-0.2
ENSG00000002587	HS3ST1	0.271549344677629	-0.4
ENSG00000002726	AOC1	0.755751050579843	0.2
ENSG00000002745	WNT16	0.0376220960308097	-0.5
ENSG00000002746	HECW1	0.119271073771812	0.7
ENSG00000002822	MAD1L1	0.244811033099292	-0.2
ENSG00000002834	LASP1	0.897449039401521	0
ENSG00000002919	SNX11	0.180881163894943	0.2
ENSG00000002933	TMEM176A	0.728939878649021	-0.2
ENSG00000003056	M6PR	0.996288442968635	0
ENSG00000003096	KLHL13	8.58793084498597e-06	-0.9
ENSG00000003137	CYP26B1	0.704503705840849	0.2
ENSG00000003147	ICA1	4.61986144303914e-08	0.8
ENSG00000003249	DBNDD1	0.000164542808485178	-1
ENSG00000003393	ALS2	0.0769668980793217	-0.2
ENSG00000003400	CASP10	6.60174660626729e-05	0.4
ENSG00000003402	CFLAR	0.00402109890888155	0.5
ENSG00000003436	TFPI	0.348479701900383	0.3
ENSG00000003509	NDUFAF7	0.176834831454861	0.1
ENSG00000003756	RBM5	0.0245312462083238	0.2
ENSG00000003987	MTMR7	0.435506374614894	-0.1
ENSG00000003989	SLC7A2	NA	0
ENSG00000004059	ARF5	0.715829184791338	0.1
ENSG00000004139	SARM1	0.894981672092706	0
ENSG00000004142	POLDIP2	0.965432992526153	0
ENSG00000004399	PLXND1	0.507194812000318	-0.1
ENSG00000004455	AK2	0.52723201279331	0.1
ENSG00000004468	CD38	0.000518242243880245	0.8
ENSG00000004478	FKBP4	0.000906329005591434	-0.4
ENSG00000004487	KDM1A	6.55834041671253e-05	-0.3
ENSG00000004534	RBM6	0.472752008758686	-0.1
ENSG00000004660	CAMKK1	0.274597016543618	0.3
ENSG00000004700	RECQL	0.0462046538869477	0.2
ENSG00000004766	VPS50	0.917695054120822	0
ENSG00000004776	HSPB6	0.773499833769583	0.2
ENSG00000004777	ARHGAP33	0.850399392337038	0
ENSG00000004779	NDUFAB1	0.195691710226187	0.2
ENSG00000004799	PDK4	0.56928864721333	0.2
ENSG00000004809	SLC22A16	0.00252359954812599	0.7
ENSG00000004838	ZMYND10	0.998623191844043	0
ENSG00000004846	ABCB5	0.483382208190419	0.4
ENSG00000004848	ARX	NA	0.3
ENSG00000004864	SLC25A13	0.388426370605895	-0.1
ENSG00000004866	ST7	0.860718563144897	0
ENSG00000004897	CDC27	0.0171728452642446	0.2
ENSG00000004939	SLC4A1	0.452828076162998	-0.3
ENSG00000004948	CALCR	0.8196661373681	0.1
ENSG00000004961	HCCS	0.925615292787885	0
ENSG00000004975	DVL2	0.00346800761385726	-0.2
ENSG00000005001	PRSS22	5.80801548874093e-07	-1.6
ENSG00000005007	UPF1	0.696458470197228	0.1
ENSG00000005020	SKAP2	0.368426147157456	0.2
ENSG00000005022	SLC25A5	0.000411205017899848	-0.3
ENSG00000005059	MCUB	0.948710378733615	0
ENSG00000005073	HOXA11	NA	0
ENSG00000005075	POLR2J	0.117935996521413	0.2
ENSG00000005100	DHX33	0.949878412398273	0
ENSG00000005102	MEOX1	0.605915262272954	-0.1
ENSG00000005108	THSD7A	0.000768125715109434	-1.1
ENSG00000005156	LIG3	0.586109389026293	0
ENSG00000005175	RPAP3	0.0740740910490285	0.2
ENSG00000005187	ACSM3	2.16492030065157e-05	-0.7
ENSG00000005189	REXO5	0.156566845030178	-0.2
ENSG00000005194	CIAPIN1	0.285534949449211	-0.1
ENSG00000005206	SPPL2B	0.996481215982791	0
ENSG00000005238	FAM214B	0.526073076068292	0.1
ENSG00000005243	COPZ2	0.291501132268078	-0.2
ENSG00000005249	PRKAR2B	0.582689819002696	-0.2
ENSG00000005302	MSL3	0.000596282807290076	0.5
ENSG00000005339	CREBBP	0.806314255597047	0.1
ENSG00000005379	TSPOAP1	0.666599129328434	-0.1
ENSG00000005381	MPO	0.000220950409525411	1.2
ENSG00000005421	PON1	NA	0.2
ENSG00000005436	GCFC2	0.596973373753611	-0.1
ENSG00000005448	WDR54	0.508224697059105	-0.1
ENSG00000005469	CROT	0.558922432651669	-0.1
ENSG00000005471	ABCB4	0.166506475092197	-0.5
ENSG00000005483	KMT2E	0.747566959197604	0.1
ENSG00000005486	RHBDD2	0.657815052096195	-0.1
ENSG00000005513	SOX8	0.248974622046588	-0.3
ENSG00000005700	IBTK	0.727826787239802	0.1
ENSG00000005801	ZNF195	0.531810970252873	0.1
ENSG00000005810	MYCBP2	0.14813762046208	0.2
ENSG00000005812	FBXL3	0.806522873676773	0
ENSG00000005844	ITGAL	0.410680640538719	0.1
ENSG00000005882	PDK2	0.00468321728734643	-0.3
ENSG00000005884	ITGA3	0.557117812089963	-0.1
ENSG00000005889	ZFX	0.897497643579041	0
ENSG00000005893	LAMP2	0.531318834574485	0.1
ENSG00000005961	ITGA2B	0.788250008874027	0.1
ENSG00000005981	ASB4	NA	0.1
ENSG00000006007	GDE1	0.0932662782753798	0.3
ENSG00000006015	REX1BD	0.698729051392644	-0.1
ENSG00000006016	CRLF1	0.744651796069949	0.1
ENSG00000006025	OSBPL7	0.826275815885085	0
ENSG00000006042	TMEM98	0.711044110684364	-0.2
ENSG00000006047	YBX2	0.30770612636482	-0.4
ENSG00000006059	KRT33A	NA	0
ENSG00000006062	MAP3K14	0.0143511024538921	-0.2
ENSG00000006071	ABCC8	NA	0.1
ENSG00000006116	CACNG3	NA	0.1
ENSG00000006118	TMEM132A	0.195516147299691	0.3
ENSG00000006125	AP2B1	0.936781698006781	0
ENSG00000006128	TAC1	NA	0
ENSG00000006194	ZNF263	0.209532746426155	-0.1
ENSG00000006210	CX3CL1	0.351080772070129	0.5
ENSG00000006282	SPATA20	0.471335615291615	0.2
ENSG00000006283	CACNA1G	NA	0.3
ENSG00000006327	TNFRSF12A	0.594117811890163	0.1
ENSG00000006377	DLX6	NA	0.1
