GO:0002250	IGKV3-7
GO:1904881	KDR PINK1
GO:0033625	CXCL13 PLEK SRC RAP1B RASIP1 SKAP1 PIEZO1 FERMT2 FERMT1
GO:0038145	CSF1R CSF1 MST1R DOK1
GO:1902991	APOE CHRNA7 FKBP1A ABCA7
GO:0032976	BAX
GO:0007283	TSPY9 SYCE3 SPATA48 ODAD3 RBMY1B MGAT4D WIPF3 TSPY2 MEI4 EFCAB9 BTBD18 SPATA31C2 MEIOSIN AP3B1 BMAL1 USP9Y BPY2 OVOL1 MSH4 CLOCK RAD51C BCL2L11 TDRD6 SLC19A2 HSF2BP FKBP6 CLDN11 DEDD GJB3 CRTAP OR7C1 SUN1 REC8 PGM3 ADAMTS2 SGPL1 HERC2 PTTG1 SOD1 FSHB IL1A APOB MAS1 PRM1 PRM2 SLC4A2 SERPINA5 RB1 ERCC1 ROS1 INHBB SNRPA1 ZGLP1 SPATA31D3 TSPY3 TSPY4 TSPY8 TSPY10 SPATA31C1 MYBL1 AR KIT KIT IGF2R SKIL ACE SRC ZNF35 ZNF35 TRIM27 PGAM2 H2AX H2AX YBX3 GJA1 TSPAN8 GGT1 CSNK2A2 PMCH NPR2 MAK CNR1 PRKACG LHCGR ATP2B4 FSHR BRD2 YY1 ACRV1 ACVR2A CALR ARID4A CDC25C AXL SSTR1 SSTR2 HOXA10 HOXA9 HOXA11 DNAJA1 INPP5B SSTR3 KRT9 CYLC1 GPX4 MLH1 BCL6 CETN2 RGS2 ADCYAP1R1 ATRX CRKL BAG6 NOTCH1 SOX9 NR2C2 DNM2 INSL3 BCAP31 BRCA2 MSH6 LIMK2 ATN1 PRKAG1 HSPA2 RAD23B FOXA3 NME5 SOX8 TPPP2 H1-9P NANOS2 NANOS3 BTG1 UBE2B PAFAH1B2 CCNA1 CDK16 CDK16 B4GALNT1 E2F1 TSPY1 BNC1 PAX5 CREM HSF2 TYRO3 KHDRBS1 BCL2L1 SPAG11B BRME1 ADIG MERTK DAZ2 PRDX4 SMAD4 BIRC3 BIRC3 ATP1A4 ATP1A4 CCIN CYLC2 CCNI SEPTIN6 FAM50A GAMT GK2 GALNT3 WFDC2 DMC1 PUM1 ODF1 SEPTIN2 ACOX1 PAFAH1B3 SYCP1 RGN SPA17 TESK1 TRIP13 STK11 SEPTIN7 MEA1 RNF151 ODF4 TSNAXIP1 LARP7 SLC9C1 ARID4B TMEM119 MORN2 C2CD6 TDRD12 ODF2 ZNF628 ACSBG2 HERC4 TAF7L SOHLH1 SOHLH1 FAM209B FAM209A NKAPL LRRK2 ATAT1 CELF3 SPATA46 UTP14C SPATA31A1 SPATA31A5 SPATA31A6 SPATA31A3 GGNBP1 TXNDC8 TXNDC8 KLC3 ALKBH5 HOATZ SPAG17 SPOCD1 SLCO4C1 SPATA31D1 CATSPERG SHISA6 SPATA31D4 SPATA31E1 C3orf62 SETX PIWIL3 PIWIL4 CFAP91 PRSS42P SPATA19 MROH2B STRA8 ZSCAN2 DAZ4 METTL3 GGN MORC1 TXNDC2 TXNRD3 SLC22A16 NLRP14 SPATA24 HORMAD1 CATSPERD DZIP1 TDRP SIAH1 SPATA31A7 LRRC8A UBR2 PHC2 IFT20 DRC7 IHO1 SEPTIN12 TBC1D21 DND1 ADGRG2 ASPM SIX6OS1 NME8 SPATA6L KASH5 CCNYL1 ADGB CNTD1 ZFP41 BOLL PNLDC1 TEX19 SPATA5 SMRP1 CCNY TDRD9 TDRD9 GMCL2 SYNE1 KDM2B PFN4 TDRD7 PSMA8 WDR48 SPATA20 PMFBP1 MYCBPAP SUN5 M1AP M1AP M1AP PIWIL2 SLC2A14 CREB3L4 ZNF296 ANKRD49 GTSF1 ASZ1 TCP11 IFT81 TAF4B BCL2L2 GHSR DAZL BAD FOXJ1 TMEM203 AZIN2 SIRT1 RPL39L GMCL1 PIWIL1 CCDC136 MAEL CALR3 RPL10L RPL10L TBATA LRGUK YTHDC1 CFAP54 DEFB118 ADCY10 TSSK3 ODF3 SLC26A8 TESK2 IMMP2L MYCBP TSNAX SPAG8 GAL3ST1 PAIP2 SPATA25 HERPUD2 NDC1 DPCD KATNAL1 IFT27 SPATA9 LGR4 TDRD1 TEX15 MOV10L1 MOV10L1 SCAPER CADM1 SHCBP1L TSGA10 ROPN1B SPEF2 WDR33 EIF5A2 MKRN2 SPATC1L SLC25A31 ZNF541 XRN2 RACGAP1 ZCWPW1 ING2 UPF3A DHX36 VCX GGNBP2 TP63 SOX17 CATSPERB GORASP2 VIPAS39 USP42 PLEKHA1 ELL3 PATZ1 PROK2 METTL14 BCL2L10 PRM3 SPAG4 LZTFL1 DDX4 DAZ1 PARP11 CYP26B1 DAZ3 SPANXA1 CATSPERZ CCDC87 ASF1B SPATA6 SOHLH2 NPAP1 RAI14 FOXJ2 NDRG3 SFMBT1 DUSP13 DNMT3L DNMT3L ADAM29 ADAM28 TCFL5 SPATA2 OAZ3 FOXJ3 JAG2 CDYL DLEC1 RUVBL1 YBX2 TDRKH ADAM18 TESMIN TESMIN RNF114 HSPB11 ZSCAN21 SPO11 PCYT1B DMRT1 CDY2A CDY1 DNMT3A SPATA6 SPATA32 TDRD7 TNP2 M1AP THEG H1-6 SPATA16 TEX19 CNBD2 CATSPER1 TDRKH CFAP97 DAZAP1 PMFBP1 SHCBP1L FKBP6 STRA8 TDRD6 SPATA25 TDRD1 MAEL TDRP H1-1 SIX6OS1 SPATA48 CABS1 ZGLP1 TXNDC8 PRSS21 NR0B1 TDRD5 IFTAP MEI4
GO:0006099	SDHD SDHD SDHD IDH3B CS IDH1 FH PDHA1 DLAT PDHB SDHB SDHB PDHA2 SDHA SDHA SDHA DLST DLST MDH2 IDH2 IDH3A IDH3G ACLY SUCLG1 SUCLG1 MRPS36 NNT DHTKD1 SUCLG2 SUCLG2 SDHC SDHC SDHC ACO2 ACO2 ACO2 SUCLA2 SUCLA2 OGDHL SUCLG1 SUCLA2 MDH1 ACO2 IDH3A ACO1 IREB2 OGDHL IDH3B MDH1B OGDH IDH3G CS FH MDH2 DLST SDHD SUCLG2 SDHAF2
GO:0003085	ARHGAP42 GPR37L1 TNF ADORA1 NTSR1 IER3 BMPR2 TRPV1 BBS4 KL KCNK6 NPPB PRCP NPPA
GO:1903779	ATP2A1 AGT ATP2A2 PRKACA ATP2B1 ATP2B4 SLC8A1 TRPC1 NKX2-5 SLC8A3 ATP2B2 ATP2B3 TNNI3K TMEM65 ATP2A3 ACE2 EHD3 SLC8A2 CORIN TMEM65
GO:0060385	NRP1 NTRK1 EDN1 ITGA4 NPR2 EDNRA ECE1 SEMA3A NPTX1
