# Original number of entities in query: 8541,,,,,,,
# Number of entities in query: 8541,,,,,,,
# Total number of entities: 8541,,,,,,,
# Total number of attributes: 2000,,,,,,,
# Translation required: no,,,,,,,
# Mode: ordered,,,,,,,
# Number of simulations: 1000,,,,,,,
# Adjusted P-value cutoff: 0.05,,,,,,,
# Over/under: over,,,,,,,
OVERREPRESENTED ATTRIBUTES,,,,,,,
N,M,X,LOD,P,P_adj,attrib ID,attrib name
7,83,52,1.258365131,5.95E-07,0.02,MaxNala694,regulation of cell-matrix adhesion
9,203,32,1.237624505,3.54E-08,0.001,MaxNala326,regulation of stress fiber assembly
9,203,36,1.169150715,1.09E-07,0.006,MaxNala5,regulation of actin filament bundle assembly
15,930,29,0.947976056,5.71E-08,0.001,MaxNala1253,glycolysis
17,930,38,0.830161422,1.15E-07,0.006,MaxNala1948,glucose catabolic process
16,1064,33,0.826645395,4.42E-07,0.017,MaxNala1715,hexose biosynthetic process
21,1362,38,0.816874369,2.88E-08,0.001,MaxNala1822,monosaccharide biosynthetic process
18,930,44,0.763677194,2.57E-07,0.012,MaxNala996,monosaccharide catabolic process
17,930,42,0.755830779,6.66E-07,0.022,MaxNala713,hexose catabolic process
61,4168,73,0.718023407,6.17E-10,0,MaxNala211,M/G1 transition of mitotic cell cycle
19,762,59,0.70001152,4.14E-07,0.016,MaxNala1397,single-organism carbohydrate catabolic process
49,4168,59,0.698406373,4.69E-08,0.001,MaxNala67,signal transduction involved in cell cycle checkpoint & signal transduction involved in DNA damage checkpoint & signal transduction involved in DNA integrity checkpoint
42,4292,50,0.698049455,6.47E-07,0.02,MaxNala1701,regulation of cellular amino acid metabolic process
48,4168,58,0.689437501,8.06E-08,0.002,MaxNala467,signal transduction involved in mitotic G1 DNA damage checkpoint & signal transduction involved in mitotic cell cycle checkpoint & DNA damage response
19,762,61,0.67896537,7.40E-07,0.024,MaxNala944,carbohydrate catabolic process
54,3368,72,0.661077542,8.06E-10,0,MaxNala1893,cotranslational protein targeting to membrane
57,3850,72,0.660216997,2.97E-09,0,MaxNala448,protein targeting to ER
67,4210,82,0.656736477,1.05E-09,0,MaxNala1483,antigen processing and presentation of peptide antigen via MHC class I
53,4028,66,0.651889022,2.90E-08,0.001,MaxNala1485,antigen processing and presentation of exogenous peptide antigen via MHC class I
52,3368,70,0.644578365,2.97E-09,0,MaxNala1897,SRP-dependent cotranslational protein targeting to membrane
57,3850,73,0.632971873,7.62E-09,0,MaxNala430,establishment of protein localization to endoplasmic reticulum
54,3890,69,0.628319866,2.55E-08,0.001,MaxNala1482,antigen processing and presentation of exogenous peptide antigen via MHC class I
22,609,94,0.618286813,4.82E-07,0.018,MaxNala1055,positive regulation of cell cycle
26,1498,56,0.616825532,5.29E-07,0.018,MaxNala203,translational termination
59,3890,76,0.614112974,9.91E-09,0,MaxNala61,DNA damage response
21,558,98,0.610742564,9.89E-07,0.034,MaxNala60,negative regulation of cell migration
29,1801,56,0.608852072,3.63E-07,0.015,MaxNala1592,spindle organization
42,3603,56,0.607750121,5.86E-07,0.02,MaxNala1416,negative regulation of protein complex assembly
47,4028,60,0.599573887,7.08E-07,0.024,MaxNala398,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
50,4028,64,0.59536827,3.61E-07,0.015,MaxNala142,negative regulation of ligase activity & negative regulation of ubiquitin-protein ligase activity
33,1607,70,0.592562583,5.88E-08,0.001,MaxNala783,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process
49,4168,62,0.588963214,9.03E-07,0.03,MaxNala63,mitotic G1 DNA damage checkpoint
22,558,107,0.5881913,1.15E-06,0.039,MaxNala1042,negative regulation of cellular component movement
52,3890,68,0.5846104,1.82E-07,0.01,MaxNala230,mitotic DNA damage checkpoint
28,1498,63,0.582776556,5.97E-07,0.02,MaxNala1824,cellular protein complex disassembly
81,4071,105,0.568982506,4.97E-10,0,MaxNala166,S phase
53,3890,70,0.567270231,2.45E-07,0.011,MaxNala231,mitotic DNA integrity checkpoint
50,4168,64,0.566620988,1.32E-06,0.045,MaxNala1545,negative regulation of G1/S transition of mitotic cell cycle
80,4071,104,0.563511959,8.13E-10,0,MaxNala1925,S phase of mitotic cell cycle
28,1498,65,0.55884969,1.30E-06,0.043,MaxNala1472,protein complex disassembly
71,4028,93,0.557094004,7.43E-09,0,MaxNala1708,signal transduction by p53 class mediator
38,1681,83,0.545177347,5.72E-08,0.001,MaxNala1678,protein localization to endoplasmic reticulum
30,1607,68,0.539498482,1.38E-06,0.049,MaxNala397,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
36,2164,67,0.538442941,5.90E-07,0.02,MaxNala204,translational elongation
52,3890,70,0.534735197,8.95E-07,0.029,MaxNala701,positive regulation of cell cycle arrest
78,3890,106,0.523785806,3.52E-09,0,MaxNala1453,mitotic cell cycle checkpoint
113,4357,146,0.520329559,3.33E-11,0,MaxNala1922,G1/S transition of mitotic cell cycle
52,3390,76,0.517347508,3.43E-07,0.015,MaxNala303,platelet degranulation
63,3890,86,0.514230932,1.50E-07,0.007,MaxNala656,signal transduction in response to DNA damage
92,5199,110,0.512487966,1.63E-07,0.009,MaxNala967,regulation of interphase of mitotic cell cycle
61,4168,81,0.502382231,9.07E-07,0.03,MaxNala699,regulation of cell cycle arrest
62,2935,100,0.49774631,1.31E-08,0,MaxNala206,translational initiation
70,3368,105,0.490480636,1.28E-08,0,MaxNala1894,protein targeting to membrane
132,3850,185,0.489871871,2.43E-13,0,MaxNala207,translation
36,1064,127,0.457106177,1.10E-06,0.038,MaxNala1040,monosaccharide metabolic process
130,3890,186,0.450649241,1.03E-11,0,MaxNala1800,cell cycle checkpoint
66,1502,181,0.44332245,7.34E-10,0,MaxNala1328,cellular component disassembly
129,3584,195,0.440379284,4.92E-12,0,MaxNala1092,interphase
126,3584,191,0.43649228,1.17E-11,0,MaxNala164,interphase of mitotic cell cycle
113,5208,142,0.397092796,1.39E-06,0.049,MaxNala711,aging
78,3204,133,0.378357746,5.14E-07,0.018,MaxNala1431,negative regulation of cell cycle process
87,3427,142,0.378011194,2.40E-07,0.01,MaxNala1827,cellular protein complex assembly
121,4732,163,0.368398396,4.17E-07,0.016,MaxNala562,RNA splicing
100,3765,158,0.344680931,7.37E-07,0.024,MaxNala34,mRNA splicing & RNA splicing
99,3639,161,0.337768689,8.74E-07,0.029,MaxNala434,regulation of protein complex assembly
112,3412,193,0.324577537,2.22E-07,0.01,MaxNala1671,platelet activation
