# Original number of entities in query: 8541,,,,,,,
# Number of entities in query: 8541,,,,,,,
# Total number of entities: 8541,,,,,,,
# Total number of attributes: 2000,,,,,,,
# Translation required: no,,,,,,,
# Mode: ordered,,,,,,,
# Number of simulations: 1000,,,,,,,
# Adjusted P-value cutoff: 0.05,,,,,,,
# Over/under: over,,,,,,,
OVERREPRESENTED ATTRIBUTES,,,,,,,
N,M,X,LOD,P,P_adj,attrib ID,attrib name
9,350,25,1.139363276,3.36E-07,0.012,MaxNala80,neuron recognition
39,5108,41,1.029175963,2.66E-07,0.01,MaxNala117,cell fate specification
18,1724,25,0.99318317,3.19E-08,0.001,MaxNala1847,phototransduction
20,1724,30,0.891955206,4.21E-08,0.002,MaxNala1790,detection of light stimulus
14,843,32,0.860769377,6.46E-07,0.019,MaxNala46,glutamate receptor signaling pathway
15,484,52,0.848866277,1.03E-07,0.004,MaxNala78,cell recognition
36,3246,46,0.757616968,2.81E-08,0.001,MaxNala1713,regulation of amine transport
53,4616,61,0.732645807,4.40E-08,0.002,MaxNala791,digestion
32,1759,59,0.664790109,1.15E-08,0.001,MaxNala840,detection of abiotic stimulus
45,3497,61,0.60383222,1.86E-07,0.005,MaxNala806,diencephalon development
66,2369,110,0.599427608,1.09E-12,0,MaxNala816,sensory perception of light stimulus
47,2923,70,0.594600269,1.75E-08,0.001,MaxNala42,neuropeptide signaling pathway
65,2369,109,0.592658767,2.41E-12,0,MaxNala1848,visual perception
52,4092,67,0.570237153,5.74E-07,0.018,MaxNala1791,detection of external stimulus
32,1782,66,0.558626728,4.95E-07,0.015,MaxNala902,feeding behavior
43,1759,97,0.495367204,1.01E-07,0.004,MaxNala518,detection of stimulus
88,3743,128,0.454011533,8.61E-09,0.001,MaxNala24,G-protein coupled receptor signaling pathway
42,1843,97,0.45085862,1.18E-06,0.032,MaxNala22,adenylate cyclase-modulating G-protein coupled receptor signaling pathway
150,5927,174,0.440014058,1.58E-07,0.005,MaxNala956,anion transport
94,2987,159,0.437299811,3.21E-10,0,MaxNala797,cell fate commitment
51,2196,106,0.434670894,5.01E-07,0.015,MaxNala133,endocrine system development
99,2859,185,0.36773573,1.16E-08,0.001,MaxNala595,positive regulation of secretion
95,3413,161,0.340604941,6.58E-07,0.019,MaxNala1005,embryonic organ morphogenesis
101,3718,162,0.337017375,8.94E-07,0.025,MaxNala1493,epidermis development
