# Original number of entities in query: 11095,,,,,,,
# Number of entities in query: 11094,,,,,,,
# Total number of entities: 11094,,,,,,,
# Total number of attributes: 2073,,,,,,,
# Translation required: no,,,,,,,
# Mode: ordered,,,,,,,
# Number of simulations: 1000,,,,,,,
# Adjusted P-value cutoff: 0.05,,,,,,,
# Over/under: over,,,,,,,
OVERREPRESENTED ATTRIBUTES,,,,,,,
N,M,X,LOD,P,P_adj,attrib ID,attrib name
14,357,30,1.438212867,9.05E-14,0,MaxNala696,collagen fibril organization
17,873,29,1.222405142,3.08E-12,0,MaxNala1584,sprouting angiogenesis
17,1589,24,1.149041158,5.28E-10,0,MaxNala382,regulation of pathway-restricted SMAD protein phosphorylation
86,7195,89,1.131783685,3.02E-13,0,MaxNala1962,SRP-dependent cotranslational protein targeting to membrane
13,1374,21,1.054228229,1.19E-07,0.007,MaxNala580,keratan sulfate biosynthetic process
10,310,47,1.000621009,5.20E-07,0.025,MaxNala1777,artery development
16,1244,29,0.99065976,9.31E-09,0.002,MaxNala1522,complement activation
12,913,26,0.987790461,2.93E-07,0.019,MaxNala1706,negative regulation of BMP signaling pathway
16,646,46,0.95130421,2.80E-09,0.001,MaxNala417,positive regulation of endothelial cell proliferation
14,1396,25,0.946216737,2.70E-07,0.018,MaxNala49,keratan sulfate metabolic process
16,675,45,0.945083575,3.64E-09,0.001,MaxNala17,regulation of leukocyte chemotaxis
19,597,60,0.929069493,1.49E-10,0,MaxNala1873,positive regulation of chemotaxis
22,1244,43,0.925026617,1.07E-10,0,MaxNala1916,protein activation cascade
50,662,152,0.919582762,1.52E-24,0,MaxNala695,extracellular matrix organization
50,662,153,0.915324235,2.13E-24,0,MaxNala503,extracellular structure organization
26,675,77,0.914575421,1.86E-13,0,MaxNala1849,regulation of chemotaxis
13,1302,25,0.913363466,1.01E-06,0.048,MaxNala921,regulation of smooth muscle cell migration
16,1267,32,0.894304554,7.70E-08,0.006,MaxNala955,regulation of protein processing
20,646,63,0.893606482,1.90E-10,0,MaxNala802,regulation of endothelial cell proliferation
13,675,40,0.886535225,3.64E-07,0.022,MaxNala1106,positive regulation of leukocyte chemotaxis
77,7314,82,0.866324911,1.50E-09,0.001,MaxNala224,translational elongation
20,597,70,0.865922874,3.90E-10,0,MaxNala925,positive regulation of behavior
12,226,98,0.861186076,6.62E-07,0.031,MaxNala569,cardiac chamber development
19,2938,26,0.860795832,9.15E-07,0.045,MaxNala789,negative regulation of cell-substrate adhesion
16,1630,29,0.854612865,4.44E-07,0.024,MaxNala192,smooth muscle cell differentiation
18,1520,35,0.827663506,1.17E-07,0.007,MaxNala1101,regulation of epithelial to mesenchymal transition
81,6030,91,0.819166042,8.79E-13,0,MaxNala452,establishment of protein localization to endoplasmic reticulum
