# Original number of entities in query: 8541,,,,,,,
# Number of entities in query: 8541,,,,,,,
# Total number of entities: 8541,,,,,,,
# Total number of attributes: 2000,,,,,,,
# Translation required: no,,,,,,,
# Mode: ordered,,,,,,,
# Number of simulations: 1000,,,,,,,
# Adjusted P-value cutoff: 0.05,,,,,,,
# Over/under: over,,,,,,,
OVERREPRESENTED ATTRIBUTES,,,,,,,
N,M,X,LOD,P,P_adj,attrib ID,attrib name
29,2083,49,0.654146709,2.06E-07,0.01,MaxNala1664,lens development in camera-type eye
52,3990,66,0.620277089,8.68E-08,0.004,MaxNala902,feeding behavior
56,4699,67,0.607873987,6.84E-07,0.043,MaxNala1791,detection of external stimulus
80,4699,97,0.580851067,9.35E-09,0,MaxNala518,detection of stimulus
34,752,133,0.569523818,7.39E-09,0,MaxNala705,regulation of peptide secretion & regulation of peptide transport
28,1212,76,0.55778891,6.89E-07,0.043,MaxNala56,hormone-mediated signaling pathway
30,752,122,0.545669953,1.45E-07,0.006,MaxNala286,regulation of insulin secretion
37,2086,70,0.545042651,2.64E-07,0.015,MaxNala42,neuropeptide signaling pathway
36,1396,90,0.542935923,6.22E-08,0.003,MaxNala1643,eye morphogenesis
32,752,131,0.542380872,6.60E-08,0.003,MaxNala651,regulation of peptide hormone secretion
31,515,178,0.540723412,6.68E-08,0.003,MaxNala976,response to alcohol
39,710,189,0.477460614,7.10E-08,0.003,MaxNala792,reproductive system development & reproductive structure development
40,1092,139,0.45372672,3.64E-07,0.024,MaxNala1696,kidney development
38,752,185,0.445901923,5.19E-07,0.032,MaxNala595,positive regulation of secretion
66,2011,155,0.390954386,9.85E-08,0.004,MaxNala219,regulation of hormone secretion
92,2485,192,0.359933385,2.03E-08,0,MaxNala1408,eye development
