Creation Time:	2023-06-01 18:01:15

INPUT:
File name:	crfe_v019.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/Fazhir_GO_cleanG.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/cortisolrankedlistG.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	1e-10
threshold type:	levels
belief:	100.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	30
burnin steps:	20000
MCMC steps:	50000
Maximal value for alpha and beta:	0.2525
Maximal possible value for alpha and beta:	0.2525
Probability parameter change:	0.2
seed for RNG:	3528179712

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	6862
Total number of genes:	7970
Number of perturbed genes:	7954
Proportion perturbed genes:	0.9979924717691343

OUTPUT:
Learnt parameters:
alpha (FPR):	0.2525
beta (FNR):	0.012625
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-2340.0530588324577 +- 40.45639881947408

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	188	186	0.90658	0.20573	3.672e+02	0.006	0.537	GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY
2	136	136	0.8256	0.28141	9.829e-01	0.007	0.482	GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING
3	188	187	0.82228	0.37011	1.846e+02	0.007	0.432	GO_RNA_POLYMERASE_CORE_ENZYME_BINDING
4	200	199	0.73906	0.37766	1.960e+02	0.005	0.529	GO_PHOTORECEPTOR_CELL_DEVELOPMENT
5	186	186	0.7079	0.418	9.766e-01	0.007	0.486	GO_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION
6	177	177	0.70454	0.40243	9.777e-01	0.006	0.473	GO_CORECEPTOR_ACTIVITY
7	185	184	0.70151	0.39573	1.817e+02	0.006	0.503	GO_RHYTHMIC_BEHAVIOR
8	173	173	0.69875	0.43251	9.783e-01	0.01	0.435	GO_CARBOXYPEPTIDASE_ACTIVITY
9	192	191	0.69287	0.41325	1.884e+02	0.006	0.491	GO_AMINOPEPTIDASE_ACTIVITY
10	188	188	0.68433	0.31829	9.764e-01	0.007	0.491	GO_EXCITATORY_SYNAPSE
11	188	187	0.67654	0.36481	1.846e+02	0.006	0.518	GO_MICROTUBULE_DEPOLYMERIZATION
12	175	175	0.6674	0.39494	9.780e-01	0.006	0.506	GO_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES
13	155	155	0.62328	0.43997	9.805e-01	0.007	0.468	GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS
14	167	167	0.61855	0.45061	9.790e-01	0.007	0.475	GO_NUCLEAR_REPLICATION_FORK
15	197	197	0.61844	0.45558	9.752e-01	0.005	0.516	GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION
16	185	184	0.61658	0.42996	1.817e+02	0.006	0.541	GO_CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS
17	125	125	0.61627	0.44916	9.843e-01	0.005	0.541	GO_SYNAPTIC_MEMBRANE_ADHESION
18	125	125	0.60866	0.44238	9.843e-01	0.007	0.424	GO_AXONEME_PART
19	65	65	0.5969	0.37608	9.918e-01	0.006	0.494	GO_GLYCOPROTEIN_COMPLEX
20	189	189	0.57909	0.43681	9.762e-01	0.005	0.511	GO_VENTRAL_SPINAL_CORD_DEVELOPMENT
21	173	173	0.5688	0.4837	9.783e-01	0.005	0.551	GO_DEVELOPMENTAL_PIGMENTATION
22	183	183	0.56382	0.44783	9.770e-01	0.005	0.515	GO_SULFOTRANSFERASE_ACTIVITY
23	171	169	0.55906	0.44845	3.347e+02	0.004	0.619	GO_OLFACTORY_RECEPTOR_ACTIVITY
24	166	166	0.55801	0.46544	9.791e-01	0.005	0.527	GO_ATPASE_REGULATOR_ACTIVITY
25	186	185	0.55708	0.42887	1.827e+02	0.006	0.504	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY
26	189	189	0.55583	0.45909	9.762e-01	0.005	0.508	GO_PROTEIN_SERINE_THREONINE_PHOSPHATASE_COMPLEX
27	184	184	0.55581	0.41294	9.769e-01	0.006	0.502	GO_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY
28	150	150	0.54023	0.41881	9.811e-01	0.006	0.512	GO_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX
29	200	200	0.53754	0.44761	9.749e-01	0.006	0.497	GO_PROTEIN_KINASE_A_BINDING
30	183	183	0.52872	0.45496	9.770e-01	0.005	0.531	GO_PRESYNAPSE_ORGANIZATION
31	192	191	0.52577	0.44515	1.884e+02	0.006	0.491	GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY
32	115	115	0.52255	0.43785	9.855e-01	0.005	0.554	GO_DNA_PACKAGING_COMPLEX
33	148	148	0.52222	0.45317	9.814e-01	0.006	0.473	GO_PALMITOYLTRANSFERASE_ACTIVITY
34	152	152	0.52136	0.46614	9.809e-01	0.007	0.435	GO_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS
35	181	181	0.52049	0.46978	9.772e-01	0.006	0.505	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY
36	188	188	0.51084	0.43707	9.764e-01	0.005	0.528	GO_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION
37	190	189	0.49689	0.45343	1.865e+02	0.006	0.504	GO_O_GLYCAN_PROCESSING
38	184	184	0.48318	0.39096	9.769e-01	0.005	0.521	GO_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
39	179	179	0.48169	0.43589	9.775e-01	0.006	0.512	GO_CALCIUM_CHANNEL_REGULATOR_ACTIVITY
40	186	186	0.48066	0.43958	9.766e-01	0.006	0.52	GO_HSP70_PROTEIN_BINDING
41	187	187	0.47987	0.45401	9.765e-01	0.006	0.501	GO_TOXIN_TRANSPORT
42	145	144	0.47875	0.47514	1.434e+02	0.006	0.488	GO_CYCLIC_NUCLEOTIDE_BINDING
43	196	196	0.47133	0.45957	9.754e-01	0.008	0.508	GO_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING
44	192	192	0.46724	0.48362	9.759e-01	0.007	0.5	GO_NEGATIVE_CHEMOTAXIS
45	75	75	0.46229	0.46237	9.906e-01	0.005	0.522	GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY
46	185	184	0.45912	0.41063	1.817e+02	0.005	0.534	GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING
47	155	155	0.45709	0.47209	9.805e-01	0.005	0.554	GO_REGULATION_OF_NEURON_MIGRATION
48	195	194	0.45251	0.45875	1.912e+02	0.005	0.548	GO_LUNG_ALVEOLUS_DEVELOPMENT
49	159	159	0.45186	0.46504	9.800e-01	0.009	0.47	GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE
50	123	123	0.45178	0.39447	9.845e-01	0.006	0.488	GO_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY
51	195	195	0.45121	0.44471	9.755e-01	0.008	0.44	GO_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING
52	151	151	0.44536	0.47317	9.810e-01	0.005	0.508	GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
53	80	80	0.44172	0.37753	9.899e-01	0.005	0.508	GO_FIBROBLAST_APOPTOTIC_PROCESS
54	197	196	0.44108	0.49001	1.931e+02	0.006	0.478	GO_NEUROTRANSMITTER_TRANSPORTER_ACTIVITY
55	181	181	0.43914	0.42772	9.772e-01	0.005	0.537	GO_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
56	138	138	0.43512	0.44855	9.827e-01	0.005	0.559	GO_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER
57	98	98	0.42838	0.39262	9.877e-01	0.005	0.518	GO_OVULATION
58	175	175	0.42776	0.48502	9.780e-01	0.007	0.474	GO_THIOESTER_METABOLIC_PROCESS
59	166	166	0.42747	0.48047	9.791e-01	0.006	0.5	GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX
60	168	165	0.42127	0.44337	4.915e+02	0.006	0.516	GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY
61	164	162	0.41732	0.43358	3.213e+02	0.006	0.508	GO_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION
62	200	200	0.41156	0.45062	9.749e-01	0.006	0.476	GO_INTRACILIARY_TRANSPORT
63	179	178	0.41045	0.48317	1.760e+02	0.006	0.497	GO_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS
64	141	140	0.40854	0.43795	1.395e+02	0.005	0.55	GO_MEDIATOR_COMPLEX
65	95	95	0.40114	0.39038	9.881e-01	0.005	0.525	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_GLYCOPROTEIN
66	126	126	0.3992	0.4349	9.842e-01	0.006	0.478	GO_UBIQUITIN_CONJUGATING_ENZYME_BINDING
67	130	129	0.39866	0.45473	1.289e+02	0.006	0.44	GO_MAP_KINASE_KINASE_KINASE_ACTIVITY
68	199	199	0.39752	0.4647	9.750e-01	0.005	0.53	GO_TRNA_BINDING
69	152	152	0.39513	0.44822	9.809e-01	0.005	0.539	GO_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION
70	180	180	0.39429	0.43784	9.774e-01	0.008	0.469	GO_ENDOCRINE_HORMONE_SECRETION
71	166	166	0.3942	0.42403	9.791e-01	0.005	0.544	GO_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY
72	173	173	0.39403	0.44161	9.783e-01	0.006	0.538	GO_REGULATION_OF_CENTROSOME_DUPLICATION
73	125	125	0.39327	0.44428	9.843e-01	0.005	0.528	GO_PROTEIN_DEGLYCOSYLATION
74	165	165	0.39288	0.44777	9.793e-01	0.005	0.521	GO_SMALL_SUBUNIT_PROCESSOME
75	179	179	0.39276	0.41856	9.775e-01	0.006	0.493	GO_REGULATION_OF_CELL_AGING
76	170	170	0.38992	0.44873	9.786e-01	0.006	0.498	GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS
77	165	165	0.38969	0.43241	9.793e-01	0.006	0.489	GO_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS
78	182	182	0.38758	0.44013	9.771e-01	0.007	0.47	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS
79	165	165	0.38293	0.40299	9.793e-01	0.005	0.573	GO_RAB_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY
80	138	138	0.38224	0.37545	9.827e-01	0.005	0.536	GO_WALKING_BEHAVIOR
81	182	182	0.37959	0.43595	9.771e-01	0.007	0.477	GO_NEGATIVE_REGULATION_OF_GTPASE_ACTIVITY
82	164	163	0.37761	0.4479	1.616e+02	0.005	0.516	GO_CELL_CORTEX_REGION
83	135	133	0.3776	0.41142	2.655e+02	0.005	0.555	GO_ERYTHROCYTE_DEVELOPMENT
84	175	175	0.37463	0.4268	9.780e-01	0.006	0.518	GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY
