Creation Time:	2023-05-02 11:05:18

INPUT:
File name:	crfe_v019.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/Fazhir_GO_cleanG.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/fazhir_real_G.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	16
threshold:	0.01
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	20000
MCMC steps:	50000
Maximal value for alpha and beta:	0.49381115879828325
Maximal possible value for alpha and beta:	0.49381115879828325
Probability parameter change:	0.2
seed for RNG:	1026677558

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	6862
Total number of genes:	7970
Number of perturbed genes:	3495
Proportion perturbed genes:	0.4385194479297365

OUTPUT:
Learnt parameters:
alpha (FPR):	0.41973948497854074
beta (FNR):	0.29628669527896995
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-5469.12873686565 +- 1.9858072716407391

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	35	29	0.88877	0.20673	1.959e+02	0.014	0.429	GO_STRUCTURAL_CONSTITUENT_OF_MYELIN_SHEATH
2	30	26	0.63133	0.20773	1.149e+02	0.013	0.389	GO_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION
3	30	22	0.45898	0.28809	2.128e+02	0.021	0.371	GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY
4	110	71	0.40876	0.35667	3.535e+03	0.008	0.477	GO_TETRAPYRROLE_METABOLIC_PROCESS
5	50	36	0.37251	0.32095	6.090e+02	0.009	0.535	GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY
6	25	18	0.3715	0.21793	1.549e+02	0.025	0.307	GO_SOFT_PALATE_DEVELOPMENT
7	25	21	0.3121	0.18159	9.495e+01	0.011	0.461	GO_MITOGEN_ACTIVATED_PROTEIN_KINASE_P38_BINDING
8	30	24	0.2924	0.25956	1.659e+02	0.009	0.502	GO_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR
9	45	32	0.28903	0.20469	5.072e+02	0.01	0.298	GO_NEUROTROPHIN_BINDING
10	20	17	0.28363	0.19354	5.797e+01	0.018	0.353	GO_ENDOLYSOSOME_LUMEN
11	50	35	0.25998	0.21487	6.449e+02	0.007	0.462	GO_INSEMINATION
12	25	20	0.23246	0.23403	1.159e+02	0.013	0.442	GO_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY
13	80	54	0.2212	0.19906	1.751e+03	0.008	0.448	GO_COBALAMIN_METABOLIC_PROCESS
14	25	20	0.2211	0.21672	1.159e+02	0.013	0.442	GO_AMINOACYL_TRNA_EDITING_ACTIVITY
15	95	61	0.17734	0.2247	2.660e+03	0.007	0.457	GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT
16	35	26	0.15486	0.12869	2.797e+02	0.008	0.527	GO_REGULATION_OF_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE
17	55	37	0.14413	0.17988	8.363e+02	0.008	0.578	GO_V_D_J_RECOMBINATION
18	35	26	0.12353	0.11731	2.797e+02	0.008	0.509	GO_REGULATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY
19	25	20	0.11641	0.16494	1.159e+02	0.01	0.395	GO_EARP_COMPLEX
20	35	25	0.10616	0.09293	3.056e+02	0.008	0.57	GO_SUPEROXIDE_GENERATING_NADPH_OXIDASE_ACTIVITY
21	45	31	0.10219	0.13114	5.391e+02	0.009	0.423	GO_VASCULAR_WOUND_HEALING
22	40	28	0.09902	0.09151	4.144e+02	0.008	0.555	GO_MHC_CLASS_I_PROTEIN_BINDING
23	50	33	0.09538	0.13321	7.137e+02	0.007	0.571	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_OXYGEN_AS_ACCEPTOR
24	65	42	0.08675	0.14147	1.240e+03	0.008	0.481	GO_REGULATION_OF_CILIUM_MOVEMENT
25	25	19	0.0853	0.08452	1.359e+02	0.01	0.473	GO_RDNA_BINDING
26	35	23	0.07563	0.0846	3.545e+02	0.017	0.508	GO_DIET_INDUCED_THERMOGENESIS
27	25	19	0.06864	0.09054	1.359e+02	0.01	0.276	GO_NERVE_GROWTH_FACTOR_BINDING
28	20	15	0.06435	0.09764	9.094e+01	0.009	0.542	GO_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION
29	40	29	0.06356	0.1137	3.855e+02	0.013	0.439	GO_GLUCOCORTICOID_SECRETION
30	35	24	0.06169	0.08991	3.306e+02	0.008	0.539	GO_DRINKING_BEHAVIOR
31	25	19	0.06146	0.06056	1.359e+02	0.008	0.535	GO_POSITIVE_REGULATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY
32	50	35	0.05989	0.08414	6.449e+02	0.009	0.415	GO_REGULATION_OF_ENDOCYTIC_RECYCLING
33	30	22	0.058	0.052	2.128e+02	0.01	0.362	GO_PREFOLDIN_COMPLEX
34	40	27	0.05182	0.05197	4.423e+02	0.011	0.338	GO_INTERLEUKIN_23_PRODUCTION
35	25	19	0.05175	0.05554	1.359e+02	0.01	0.493	GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY
36	45	30	0.04879	0.08219	5.700e+02	0.007	0.536	GO_REGULATION_OF_AMINO_ACID_TRANSMEMBRANE_TRANSPORT
