Creation Time:	2023-04-28 21:07:34

INPUT:
File name:	crfe_v019.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/Fazhir_GO_cleanG.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/Dekker/Fazhir_G_full.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	24
threshold:	0.01
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	20000
MCMC steps:	50000
Maximal value for alpha and beta:	0.4702117833344329
Maximal possible value for alpha and beta:	0.4702117833344329
Probability parameter change:	0.2
seed for RNG:	3754103777

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	6862
Total number of genes:	7970
Number of perturbed genes:	1977
Proportion perturbed genes:	0.2480552070263488

OUTPUT:
Learnt parameters:
alpha (FPR):	0.18808471333377316
beta (FNR):	0.3761694266675463
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-4224.133854940077 +- 13.859228997687724

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	75	44	0.81551	0.3706	1.856e+03	0.014	0.497	GO_SEX_DETERMINATION
2	20	20	0.74705	0.23833	1.000e+00	0.034	0.35	GO_RESPONSE_TO_METHYLMERCURY
3	30	25	0.73343	0.40267	1.409e+02	0.02	0.453	GO_AMINO_ACID_SALVAGE
4	61	34	0.73228	0.39406	1.294e+03	0.012	0.504	GO_CONNEXIN_COMPLEX
5	20	20	0.71211	0.3845	1.000e+00	0.019	0.627	GO_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III
6	25	20	0.68682	0.37002	1.159e+02	0.019	0.517	GO_PHOSPHOSERINE_RESIDUE_BINDING
7	25	20	0.67881	0.42977	1.159e+02	0.026	0.359	GO_BRUSH_BORDER_ASSEMBLY
8	30	25	0.64939	0.40488	1.409e+02	0.026	0.408	GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE
9	50	35	0.64876	0.45043	6.452e+02	0.014	0.558	GO_MICROFIBRIL
10	30	20	0.61531	0.36645	2.558e+02	0.014	0.521	GO_FEMALE_MEIOSIS_CHROMOSOME_SEGREGATION
11	54	39	0.61131	0.47705	7.051e+02	0.025	0.454	GO_I_SMAD_BINDING
12	40	25	0.60965	0.32973	4.954e+02	0.013	0.554	GO_TRNA_SPLICING_LIGASE_COMPLEX
