Creation Time:	2023-01-11 15:47:21

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_2.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	933477966

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4711
Proportion perturbed genes:	0.40251196172248804

OUTPUT:
Learnt parameters:
alpha (FPR):	0.4
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7873.512470241893 +- 1.7757132927835302

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	66	48	1.0	0.0	1.035e+03	0.213	0.445	GO:0007043
2	40	29	0.85591	0.12318	3.857e+02	0.272	0.39	GO:0006383
3	58	44	0.82673	0.30162	7.213e+02	0.229	0.48	GO:0010955
4	20	17	0.67419	0.2438	5.798e+01	0.388	0.406	GO:0030902
5	21	15	0.10687	0.09723	1.119e+02	0.101	0.586	GO:0009084
6	161	94	0.08828	0.21835	8.539e+03	0.072	0.459	GO:0070613
7	26	18	0.04627	0.07448	1.809e+02	0.091	0.615	GO:0006298
8	42	31	0.0444	0.11519	4.077e+02	0.195	0.499	GO:0045861
9	30	19	0.0348	0.04217	2.758e+02	0.082	0.534	GO:0046632
10	25	16	0.02042	0.04157	1.899e+02	0.143	0.456	GO:0030206
11	23	16	0.015	0.02333	1.409e+02	0.16	0.49	GO:0045930
12	27	17	0.01269	0.03623	2.258e+02	0.088	0.515	GO:0034446
13	21	14	0.00969	0.0154	1.269e+02	0.07	0.563	GO:0014003
14	32	21	0.00949	0.021	2.978e+02	0.114	0.461	GO:0045931
15	26	16	0.00754	0.01267	2.158e+02	0.014	0.594	GO:0006904
16	44	25	0.00666	0.01996	6.651e+02	-0.021	0.522	GO:1903310
