Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	187	166	0.9872	0.03441	3.712e+03	0.439	0.399	GO:0031396
2	185	146	0.93188	0.14379	6.457e+03	0.275	0.464	GO:0098609
3	64	45	0.79952	0.20402	1.045e+03	0.141	0.516	GO:0030509
4	22	16	0.64564	0.32439	1.179e+02	0.244	0.384	GO:0010718
5	26	19	0.29242	0.27642	1.619e+02	0.159	0.525	GO:0045814
6	21	16	0.29081	0.2922	9.596e+01	0.21	0.506	GO:0006342
7	141	113	0.08336	0.15072	3.564e+03	0.317	0.431	GO:0007156
8	20	13	0.0616	0.1361	1.199e+02	0.229	0.367	GO:0043537
9	68	57	0.05214	0.09371	6.934e+02	0.353	0.435	GO:0072401
10	67	56	0.05166	0.09489	6.824e+02	0.343	0.443	GO:0006977
11	29	24	0.0504	0.14588	1.359e+02	0.263	0.497	GO:0007157
12	25	17	0.0275	0.04385	1.729e+02	0.127	0.487	GO:0050691
13	107	95	0.02743	0.03519	1.218e+03	0.459	0.378	GO:1903321
14	135	121	0.02271	0.04023	1.798e+03	0.423	0.417	GO:0031398
15	36	23	0.01888	0.02917	3.906e+02	0.172	0.454	GO:0002711
16	72	64	0.01542	0.02315	5.486e+02	0.462	0.38	GO:0051352
17	25	14	0.01466	0.04365	2.208e+02	-0.035	0.549	GO:0001937
18	22	17	0.01282	0.02492	1.010e+02	0.253	0.483	GO:0016338
19	67	59	0.01258	0.02648	5.087e+02	0.448	0.386	GO:0051436
20	20	12	0.01122	0.0241	1.329e+02	0.067	0.561	GO:0072676
21	80	71	0.01058	0.01831	6.845e+02	0.433	0.401	GO:0031145
22	24	15	0.01048	0.02927	1.809e+02	0.199	0.457	GO:0001916
23	53	34	0.00876	0.02014	8.359e+02	0.097	0.518	GO:0009799
24	30	17	0.0085	0.01128	3.127e+02	0.105	0.425	GO:0010596
25	39	24	0.00819	0.0157	4.805e+02	0.05	0.517	GO:0006691
26	29	18	0.0076	0.01483	2.648e+02	0.083	0.478	GO:0019370
27	82	66	0.00619	0.01155	1.192e+03	0.289	0.455	GO:0071158
