Creation Time:	2023-01-19 00:12:08

INPUT:
File name:	crfe_v019_b5copy.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.1_0.4_1_20_seed_2.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	537
threshold:	0
threshold type:	levels
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	5
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.09938309685379396
Maximal possible value for alpha and beta:	0.09938309685379396
Probability parameter change:	0.2
seed for RNG:	1608102830

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	1621
Proportion perturbed genes:	0.13849965823650034

OUTPUT:
Learnt parameters:
alpha (FPR):	0.009938309685379395
beta (FNR):	0.09938309685379396
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-1350.575092487166 +- 35.50392453606479

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	40	27	0.968	0.04335	4.427e+02	0.205	0.158	GO:0006383
2	41	27	0.93933	0.12134	4.837e+02	0.178	0.15	GO:0048168
3	81	49	0.87938	0.15282	2.094e+03	0.071	0.189	GO:0002576
4	77	45	0.86715	0.17651	1.966e+03	0.114	0.133	GO:0010821
5	35	20	0.7802	0.27289	4.207e+02	0.187	0.122	GO:0051058
6	195	113	0.74119	0.3877	1.262e+04	0.077	0.165	GO:0010769
7	32	19	0.64854	0.35628	3.388e+02	0.052	0.164	GO:0007528
8	86	51	0.61784	0.44972	2.412e+03	0.053	0.182	GO:0046467
9	25	17	0.60388	0.48518	1.729e+02	0.245	0.155	GO:0019400
10	58	33	0.56835	0.37469	1.150e+03	0.08	0.166	GO:0010955
11	66	37	0.54958	0.31973	1.507e+03	0.029	0.189	GO:0007043
12	52	30	0.54728	0.39625	9.130e+02	0.063	0.147	GO:0060688
13	27	17	0.40584	0.286	2.259e+02	0.064	0.14	GO:0048536
14	23	16	0.38956	0.4774	1.409e+02	0.294	0.147	GO:0006071
15	41	30	0.38216	0.44972	3.968e+02	0.244	0.156	GO:0009247
16	33	19	0.37664	0.19388	3.717e+02	0.126	0.136	GO:0019320
17	26	18	0.2914	0.3364	1.809e+02	0.133	0.203	GO:0061098
18	40	26	0.27001	0.38936	4.697e+02	0.226	0.143	GO:0010717
19	21	13	0.26778	0.29977	1.409e+02	0.108	0.139	GO:0043299
20	51	33	0.23998	0.32169	7.653e+02	0.126	0.184	GO:0061387
21	42	23	0.23339	0.38872	6.274e+02	0.069	0.168	GO:0045861
22	34	19	0.2198	0.27289	4.057e+02	0.188	0.114	GO:0046580
23	50	26	0.2189	0.28966	9.240e+02	-0.043	0.178	GO:0007498
24	38	21	0.18039	0.16911	5.515e+02	nan	0.136	GO:0046365
25	40	23	0.14104	0.13828	5.446e+02	0.017	0.186	GO:0006953
26	47	27	0.11044	0.20511	7.503e+02	0.068	0.169	GO:0048814
27	22	14	0.06862	0.0716	1.489e+02	0.101	0.151	GO:0010823
28	22	13	0.06445	0.1289	1.629e+02	0.13	0.123	GO:0090200
29	48	24	0.04476	0.08952	8.760e+02	-0.002	0.135	GO:0010822
30	34	18	0.04216	0.07399	4.247e+02	-0.012	0.158	GO:1901028
31	23	13	0.03968	0.07936	1.859e+02	0.031	0.169	GO:0010771
32	60	33	0.02936	0.05872	1.268e+03	-0.003	0.186	GO:0030148
33	32	19	0.02701	0.05402	3.388e+02	-0.01	0.221	GO:0070830
34	24	16	0.02554	0.05108	1.649e+02	0.154	0.179	GO:0006506
35	43	26	0.02476	0.04952	5.955e+02	0.072	0.184	GO:0050771
36	28	14	0.01506	0.03012	3.018e+02	0.006	0.136	GO:0045055
37	43	25	0.01228	0.01967	6.215e+02	0.051	0.194	GO:0030516
38	20	11	0.00986	0.01972	1.449e+02	0.004	0.177	GO:0030902
39	20	11	0.00767	0.01534	1.449e+02	0.053	0.164	GO:0045773
40	24	11	0.00645	0.00908	2.369e+02	-0.052	0.141	GO:1900739
41	29	20	0.00491	0.00982	2.259e+02	0.145	0.168	GO:0046513
42	58	26	0.00303	0.00606	1.440e+03	nan	0.191	GO:0002526
43	100	56	0.00226	0.00452	3.448e+03	0.043	0.177	GO:0050770
44	22	14	0.00101	0.00202	1.489e+02	0.205	0.146	GO:0010718
45	40	25	0.00091	0.00182	4.956e+02	0.103	0.177	GO:0050772
