Creation Time:	2023-01-04 16:51:48

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random8.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	2816570007

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7151.61128047244 +- 2.246286209852491e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	53	29	0.24913	0.20852	9.956e+02	0.626	0.563	GO:0002460
2	21	14	0.18755	0.16064	1.269e+02	0.698	0.467	GO:0046173
3	27	16	0.05954	0.04417	2.428e+02	0.651	0.392	GO:0044253
4	47	24	0.02652	0.03239	8.279e+02	0.622	0.483	GO:0001776
5	32	18	0.02503	0.02668	3.577e+02	0.633	0.434	GO:0044246
6	75	35	0.02358	0.02278	2.225e+03	0.565	0.588	GO:0006892
7	42	21	0.02132	0.01548	6.722e+02	0.585	0.476	GO:0050994
8	21	12	0.01456	0.01182	1.539e+02	0.65	0.5	GO:0043029
9	24	13	0.01338	0.0158	2.099e+02	0.598	0.44	GO:0043500
10	38	19	0.0121	0.01467	5.514e+02	0.638	0.382	GO:0030858
11	23	13	0.01073	0.01516	1.859e+02	0.629	0.44	GO:0032965
12	20	11	0.01026	0.01554	1.449e+02	0.659	0.414	GO:0032757
13	22	12	0.00946	0.0134	1.759e+02	0.597	0.632	GO:0051181
14	30	15	0.00943	0.01139	3.457e+02	0.624	0.415	GO:0030261
15	24	13	0.00843	0.01557	2.099e+02	0.619	0.44	GO:0010712
16	26	14	0.00843	0.01273	2.468e+02	0.635	0.437	GO:0044060
17	39	19	0.00725	0.00902	5.913e+02	0.621	0.463	GO:0002260
18	20	11	0.00672	0.01121	1.449e+02	0.587	0.405	GO:0009268
19	23	13	0.00654	0.00808	1.859e+02	0.699	0.312	GO:0006071
20	47	23	0.0065	0.00916	8.528e+02	0.533	0.656	GO:0002449
21	26	14	0.00645	0.01113	2.468e+02	0.664	0.375	GO:0097028
22	79	37	0.00627	0.01312	2.461e+03	0.61	0.497	GO:0032675
23	36	17	0.00591	0.00879	5.154e+02	0.612	0.466	GO:0006323
24	32	17	0.00463	0.00791	3.757e+02	0.66	0.494	GO:2000107
