Creation Time:	2023-01-04 16:41:38

INPUT:
File name:	crfe_v019_b10.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random7.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.275
Maximal possible value for alpha and beta:	0.275
Probability parameter change:	0.2
seed for RNG:	3135065358

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.275
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7681.823068544414 +- 0.24794398734893547

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	43	22	0.5063	0.33023	6.932e+02	0.627	0.408	GO:0030516
2	22	11	0.50273	0.34165	1.879e+02	0.584	0.3	GO:0001909
3	51	25	0.07885	0.13283	1.002e+03	0.598	0.411	GO:0061387
4	25	13	0.06846	0.09518	2.348e+02	0.628	0.479	GO:0030212
5	31	15	0.06742	0.11293	3.776e+02	0.592	0.41	GO:0051966
6	29	12	0.04231	0.06434	3.666e+02	0.582	0.328	GO:0022029
7	49	23	0.04027	0.06115	9.526e+02	0.607	0.439	GO:0060485
8	22	11	0.03742	0.07233	1.879e+02	0.586	0.387	GO:0019933
9	26	12	0.0346	0.05776	2.758e+02	0.59	0.374	GO:0009954
10	37	19	0.0327	0.05945	5.135e+02	0.626	0.48	GO:1901264
11	22	9	0.02641	0.04525	2.148e+02	0.598	0.298	GO:0006699
12	27	13	0.02448	0.04628	2.888e+02	0.635	0.412	GO:0008625
13	33	15	0.0143	0.03231	4.455e+02	0.603	0.392	GO:0032648
14	20	11	0.01189	0.02966	1.449e+02	0.621	0.485	GO:2000677
15	20	8	0.01023	0.02089	1.809e+02	0.539	0.282	GO:0045851
16	23	11	0.00712	0.01336	2.118e+02	0.618	0.422	GO:0006270
17	45	21	0.00577	0.01411	8.079e+02	0.532	0.461	GO:0000096
18	35	17	0.0055	0.01651	4.785e+02	0.541	0.47	GO:0002712
19	32	12	0.00541	0.01575	4.705e+02	0.557	0.328	GO:0021885
20	42	18	0.00528	0.01107	7.440e+02	0.525	0.351	GO:0007249
21	20	11	0.00467	0.00787	1.449e+02	0.576	0.528	GO:0000381
22	21	7	0.0044	0.00972	2.198e+02	0.516	0.205	GO:2000351
23	26	13	0.00437	0.01089	2.608e+02	0.605	0.475	GO:0007215
24	52	22	0.00434	0.01303	1.144e+03	0.587	0.392	GO:0097191
25	39	17	0.00344	0.01032	6.362e+02	0.575	0.418	GO:0002260
26	27	13	0.00336	0.01009	2.888e+02	0.638	0.47	GO:0032570
27	25	12	0.00311	0.00619	2.488e+02	0.587	0.459	GO:0060444
28	27	11	0.00274	0.00823	3.217e+02	0.545	0.387	GO:0019935
29	34	16	0.00233	0.00326	4.615e+02	0.534	0.457	GO:0002889
30	24	9	0.00215	0.00644	2.678e+02	0.589	0.388	GO:0032228
31	20	10	0.00169	0.00506	1.559e+02	0.636	0.438	GO:0045773
32	24	12	0.00133	0.00398	2.228e+02	0.612	0.567	GO:0000045
33	21	8	0.00096	0.00254	2.048e+02	0.567	0.387	GO:0033198
34	21	10	0.00082	0.00247	1.779e+02	0.598	0.484	GO:0043029
35	24	10	0.00077	0.00232	2.518e+02	0.567	0.39	GO:0035329
36	47	19	0.0006	0.0018	9.625e+02	0.566	0.431	GO:0001776
37	26	12	0.00045	0.00136	2.758e+02	0.553	0.519	GO:0002286
38	28	11	0.00041	0.00122	3.527e+02	0.551	0.391	GO:0030032
39	23	10	0.00035	0.00104	2.258e+02	0.545	0.52	GO:0042346
40	40	17	0.00034	0.00074	6.791e+02	0.594	0.381	GO:0050772
41	22	8	0.00032	0.00095	2.298e+02	0.546	0.354	GO:0043576
42	26	12	0.00032	0.00095	2.758e+02	0.579	0.53	GO:0061098
43	23	6	0.0003	0.0009	2.917e+02	0.586	0.182	GO:0006706
44	30	10	0.00028	0.00083	4.405e+02	0.49	0.381	GO:0048640
45	20	6	0.00025	0.00074	2.098e+02	0.518	0.251	GO:0001782
46	32	16	0.00024	0.00073	3.926e+02	0.566	0.576	GO:0050732
47	27	10	0.00022	0.00065	3.397e+02	0.497	0.491	GO:0034453
48	32	13	0.00021	0.00062	4.495e+02	0.552	0.521	GO:0051353
49	26	13	0.0002	0.00059	2.608e+02	0.572	0.583	GO:0010862
50	22	9	0.0002	0.00059	2.148e+02	0.576	0.466	GO:0051181
51	22	8	0.00018	0.00054	2.298e+02	0.498	0.525	GO:0006278
