Creation Time:	2023-01-04 16:51:44

INPUT:
File name:	crfe_v019_b5.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random8.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3
Maximal possible value for alpha and beta:	0.3
Probability parameter change:	0.2
seed for RNG:	1269943704

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.3
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7452.474917709823 +- 1.0369835082193622e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	27	16	0.78286	0.18848	2.428e+02	0.651	0.392	GO:0044253
2	23	13	0.5439	0.20348	1.859e+02	0.699	0.312	GO:0006071
3	38	19	0.32526	0.23203	5.514e+02	0.638	0.382	GO:0030858
4	21	14	0.28268	0.17715	1.269e+02	0.698	0.467	GO:0046173
5	20	11	0.09059	0.10863	1.449e+02	0.587	0.405	GO:0009268
6	32	18	0.08662	0.11715	3.577e+02	0.633	0.434	GO:0044246
7	26	14	0.08608	0.10107	2.468e+02	0.664	0.375	GO:0097028
8	32	17	0.08426	0.05252	3.757e+02	0.66	0.494	GO:2000107
9	25	13	0.07432	0.07167	2.348e+02	0.682	0.312	GO:0019400
10	24	13	0.07348	0.08111	2.099e+02	0.598	0.44	GO:0043500
11	30	15	0.02632	0.05359	3.457e+02	0.624	0.415	GO:0030261
12	20	11	0.02512	0.05111	1.449e+02	0.659	0.414	GO:0032757
13	20	11	0.01955	0.03636	1.449e+02	0.636	0.38	GO:0010714
14	22	9	0.01469	0.0294	2.148e+02	0.619	0.331	GO:0033032
15	23	9	0.01253	0.02079	2.408e+02	0.553	0.259	GO:0032892
16	26	14	0.01189	0.01917	2.468e+02	0.635	0.437	GO:0044060
17	27	13	0.01084	0.02461	2.888e+02	0.605	0.405	GO:0050663
18	20	10	0.00987	0.02078	1.559e+02	0.642	0.462	GO:0007029
19	21	12	0.00884	0.013	1.539e+02	0.65	0.5	GO:0043029
20	42	21	0.00654	0.01571	6.722e+02	0.585	0.476	GO:0050994
21	30	15	0.00549	0.01046	3.457e+02	0.624	0.449	GO:0032465
22	21	8	0.00528	0.01584	2.048e+02	0.554	0.318	GO:0032715
23	32	14	0.00499	0.01498	4.296e+02	0.57	0.403	GO:0046928
24	44	20	0.00474	0.01423	7.859e+02	0.604	0.407	GO:0051279
25	20	8	0.00464	0.01391	1.809e+02	0.622	0.246	GO:0051881
26	20	10	0.00431	0.01116	1.559e+02	0.656	0.473	GO:0060479
27	23	13	0.00362	0.01087	1.859e+02	0.629	0.44	GO:0032965
28	47	24	0.00352	0.00901	8.279e+02	0.622	0.483	GO:0001776
29	39	19	0.00322	0.00671	5.913e+02	0.621	0.463	GO:0002260
30	36	17	0.0032	0.00801	5.154e+02	0.612	0.466	GO:0006323
31	21	9	0.00293	0.00878	1.909e+02	0.608	0.336	GO:0031670
32	28	12	0.00238	0.00714	3.347e+02	0.547	0.445	GO:0016574
33	33	16	0.00236	0.00558	4.266e+02	0.588	0.535	GO:0022409
34	20	9	0.00227	0.0063	1.679e+02	0.621	0.496	GO:0002262
35	53	29	0.00191	0.00572	9.956e+02	0.626	0.563	GO:0002460
36	23	10	0.00175	0.00338	2.258e+02	0.63	0.405	GO:0032459
37	21	11	0.00171	0.00514	1.659e+02	0.578	0.528	GO:0046320
38	20	8	0.00157	0.00428	1.809e+02	0.544	0.256	GO:0098581
39	42	20	0.00151	0.00423	6.951e+02	0.615	0.439	GO:0034637
40	23	11	0.0015	0.00335	2.118e+02	0.59	0.418	GO:0034405
41	21	9	0.0013	0.00279	1.909e+02	0.61	0.346	GO:0006110
42	22	10	0.00128	0.00383	2.009e+02	0.612	0.441	GO:1901532
43	39	15	0.00126	0.00377	6.851e+02	0.533	0.309	GO:0035690
44	20	11	0.00124	0.00269	1.449e+02	0.58	0.611	GO:0019724
45	22	11	0.00122	0.00217	1.879e+02	0.624	0.409	GO:0010718
46	35	13	0.00121	0.00364	5.643e+02	0.529	0.367	GO:2001239
47	31	13	0.00109	0.00269	4.146e+02	0.595	0.362	GO:0006206
48	22	10	0.00106	0.00269	2.009e+02	0.615	0.455	GO:0060314
49	34	15	0.00099	0.00298	4.815e+02	0.572	0.482	GO:0000271
50	24	10	0.00094	0.00281	2.518e+02	0.557	0.401	GO:0008089
51	21	7	0.00087	0.00262	2.198e+02	0.49	0.351	GO:0071312
52	22	8	0.00086	0.00259	2.298e+02	0.54	0.433	GO:0051491
53	25	9	0.00086	0.00257	2.967e+02	0.621	0.349	GO:0060444
54	22	8	0.00083	0.0025	2.298e+02	0.614	0.326	GO:0010823
55	25	9	0.00071	0.00182	2.967e+02	0.55	0.227	GO:0070534
56	21	9	0.00063	0.0013	1.909e+02	0.573	0.542	GO:0046135
57	23	10	0.0006	0.0018	2.258e+02	0.638	0.491	GO:0043030
58	21	7	0.00052	0.00156	2.198e+02	0.587	0.454	GO:0015844
59	29	11	0.00042	0.00125	3.856e+02	0.505	0.552	GO:0042304
60	20	7	0.0004	0.0012	1.948e+02	0.557	0.309	GO:0002861
61	24	8	0.0004	0.00119	2.847e+02	0.474	0.372	GO:0051568
62	23	10	0.00038	0.00113	2.258e+02	0.621	0.436	GO:0000083
63	24	8	0.00031	0.00092	2.847e+02	0.48	0.355	GO:0009190
64	27	11	0.00024	0.00071	3.217e+02	0.529	0.51	GO:0045912
65	41	17	0.00023	0.00068	7.240e+02	0.58	0.457	GO:0043967
66	21	6	0.00022	0.00067	2.358e+02	0.482	0.223	GO:1901099
67	23	9	0.00022	0.00065	2.408e+02	0.532	0.281	GO:0009595
68	22	8	0.00021	0.00064	2.298e+02	0.545	0.34	GO:0051293
69	24	10	0.00021	0.00062	2.518e+02	0.596	0.563	GO:0035329
70	20	8	0.0002	0.00061	1.809e+02	0.496	0.538	GO:0060045
71	30	13	0.0002	0.0006	3.806e+02	0.558	0.461	GO:0048265
72	39	14	0.00016	0.00049	7.110e+02	0.554	0.348	GO:0002763
73	27	10	0.00016	0.00047	3.397e+02	0.508	0.644	GO:0042517
74	22	8	0.00015	0.00046	2.298e+02	0.546	0.339	GO:0030201
75	23	8	0.00012	0.00036	2.568e+02	0.577	0.313	GO:0032689
76	20	7	0.00012	0.00036	1.948e+02	0.532	0.318	GO:0045648
77	21	10	0.00011	0.00032	1.779e+02	0.568	0.449	GO:0045446
78	21	6	9e-05	0.00028	2.358e+02	0.522	0.117	GO:0042116
79	20	8	9e-05	0.00026	1.809e+02	0.555	0.365	GO:0001953
80	21	8	9e-05	0.00026	2.048e+02	0.542	0.383	GO:0008045
81	31	14	6e-05	0.00018	3.956e+02	0.55	0.55	GO:0048663
82	29	11	6e-05	0.00017	3.856e+02	0.528	0.349	GO:0010524
