Creation Time:	2023-01-18 21:46:41

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random6.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	1186442586

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.375
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7219.02670326015 +- 8.134767913360664e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	28	16	0.17759	0.1206	2.708e+02	0.631	0.376	GO:0070670
2	25	14	0.08358	0.0834	2.209e+02	0.64	0.343	GO:0071353
3	34	17	0.05158	0.04819	4.426e+02	0.635	0.327	GO:0000271
4	23	13	0.04673	0.03642	1.859e+02	0.627	0.423	GO:0032892
5	26	14	0.04548	0.03731	2.468e+02	0.674	0.385	GO:2000243
6	33	16	0.03006	0.02792	4.266e+02	0.629	0.315	GO:0033692
7	23	13	0.0271	0.02158	1.859e+02	0.588	0.467	GO:0007032
8	46	23	0.02442	0.03948	8.049e+02	0.575	0.446	GO:0007588
9	26	13	0.02266	0.03133	2.608e+02	0.608	0.303	GO:0002286
10	27	15	0.02192	0.02392	2.588e+02	0.621	0.504	GO:0021983
11	22	12	0.01976	0.03432	1.759e+02	0.612	0.452	GO:0090200
12	30	16	0.01708	0.01728	3.297e+02	0.624	0.476	GO:0060135
13	20	11	0.0167	0.02014	1.449e+02	0.679	0.361	GO:0006949
14	22	11	0.01558	0.01955	1.879e+02	0.653	0.287	GO:0010507
15	57	26	0.01452	0.02923	1.310e+03	0.566	0.383	GO:0045669
16	23	12	0.01244	0.02164	1.989e+02	0.638	0.371	GO:2000191
17	20	10	0.01161	0.013	1.559e+02	0.672	0.318	GO:0045851
18	62	28	0.01112	0.02627	1.557e+03	0.597	0.352	GO:0031330
19	20	10	0.01094	0.01778	1.559e+02	0.58	0.373	GO:0045648
20	24	13	0.00928	0.01445	2.099e+02	0.669	0.464	GO:1901989
21	21	11	0.00928	0.01093	1.659e+02	0.613	0.375	GO:0046329
22	24	13	0.00692	0.00815	2.099e+02	0.566	0.563	GO:0000045
23	24	11	0.00652	0.01047	2.368e+02	0.596	0.344	GO:0030857
24	23	12	0.00582	0.00854	1.989e+02	0.581	0.46	GO:0010677
25	23	12	0.0056	0.01116	1.989e+02	0.661	0.463	GO:1901992
26	40	18	0.0044	0.00706	6.552e+02	0.604	0.38	GO:0032890
27	21	10	0.00381	0.0074	1.779e+02	0.591	0.353	GO:0006482
28	23	10	0.00381	0.00572	2.258e+02	0.575	0.294	GO:0043278
29	26	11	0.00332	0.00528	2.917e+02	0.597	0.242	GO:0032350
30	22	11	0.0033	0.00376	1.879e+02	0.664	0.419	GO:0034105
31	22	11	0.00324	0.00778	1.879e+02	0.575	0.462	GO:0045909
32	42	18	0.00319	0.00764	7.440e+02	0.604	0.366	GO:0006081
33	31	13	0.00313	0.00481	4.146e+02	0.625	0.287	GO:0030318
34	25	12	0.00296	0.0038	2.488e+02	0.644	0.425	GO:0070534
35	31	16	0.0027	0.00487	3.607e+02	0.614	0.528	GO:0070192
36	24	11	0.00234	0.00405	2.368e+02	0.592	0.273	GO:0014072
37	22	12	0.00234	0.00502	1.759e+02	0.571	0.604	GO:0010880
38	31	14	0.0022	0.0034	3.956e+02	0.613	0.397	GO:0045600
39	20	9	0.00211	0.00476	1.679e+02	0.583	0.368	GO:0051954
