Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	102	56	1.0	0.0	3.649e+03	0.42	cellular amino acid biosynthetic process
2	57	28	0.99308	0.01501	1.247e+03	0.495	digestion
3	97	54	0.78641	0.37085	3.261e+03	0.513	nucleosome assembly
4	84	46	0.68562	0.42206	2.485e+03	0.519	chromosome segregation
5	25	17	0.66159	0.43911	1.729e+02	0.543	regulation of mesonephros development
6	28	15	0.6585	0.26433	2.868e+02	0.83	keratinization
7	40	24	0.6315	0.27786	5.205e+02	0.481	purine nucleobase metabolic process
8	70	40	0.60308	0.41903	1.663e+03	0.764	collagen catabolic process
9	20	11	0.57662	0.24184	1.449e+02	0.586	calcium-independent cell-cell adhesion
10	35	21	0.4926	0.38245	3.997e+02	0.615	DNA strand elongation
11	51	23	0.45548	0.33868	1.058e+03	0.59	O-glycan processing
12	21	12	0.37328	0.2763	1.539e+02	0.936	neuron fate specification
13	22	13	0.35403	0.21637	1.629e+02	0.204	regulation of astrocyte differentiation
14	22	15	0.3079	0.44488	1.339e+02	0.594	regulation of branching involved in ureteric bud morphogenesis
15	21	15	0.2918	0.41053	1.120e+02	0.852	sister chromatid segregation
16	33	20	0.28415	0.32991	3.517e+02	0.508	DNA strand elongation involved in DNA replication
17	92	48	0.25389	0.19386	3.096e+03	0.229	protein N-linked glycosylation via asparagine
18	77	42	0.2504	0.31422	2.097e+03	0.664	multicellular organismal catabolic process
19	31	18	0.24996	0.21866	3.258e+02	0.211	central nervous system neuron development
20	25	15	0.22337	0.11507	2.059e+02	0.635	regulation of chromosome segregation
21	23	13	0.19624	0.11681	1.859e+02	0.489	regulation of transcription involved in G1/S transition of mitotic cell cycle
22	20	11	0.19226	0.18868	1.449e+02	0.336	retinoic acid metabolic process
23	20	11	0.18935	0.19139	1.449e+02	0.629	positive regulation of tissue remodeling
24	44	22	0.1715	0.28285	7.371e+02	0.36	glycolytic process
25	25	13	0.15122	0.13402	2.348e+02	0.404	tumor necrosis factor-mediated signaling pathway
26	78	42	0.1402	0.29496	2.175e+03	0.628	extracellular matrix disassembly
27	34	19	0.11968	0.11427	4.057e+02	0.484	base-excision repair
28	98	50	0.11902	0.18968	3.568e+03	0.203	protein N-linked glycosylation
29	119	62	0.11459	0.29832	5.172e+03	0.438	nucleosome organization
30	93	48	0.10027	0.14643	3.188e+03	0.224	peptidyl-asparagine modification
31	32	18	0.09399	0.10028	3.577e+02	0.383	dolichol-linked oligosaccharide biosynthetic process
32	55	26	0.09362	0.16839	1.192e+03	0.355	keratinocyte differentiation
33	30	15	0.08666	0.08621	3.457e+02	0.406	regulation of meiotic cell cycle
34	40	19	0.08656	0.11583	6.323e+02	0.592	endocrine pancreas development
35	110	58	0.07593	0.22778	4.383e+03	0.455	protein-DNA complex assembly
36	45	30	0.07146	0.12531	5.705e+02	0.615	chromatin assembly or disassembly
