Creation Time:	2023-01-03 12:45:43

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	70750154

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3515.421080027584 +- 4.547473508864641e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	72	35	0.06889	0.09687	1.993e+03	0.6	0.414	GO:0070374
2	23	14	0.03188	0.05165	1.718e+02	0.609	0.603	GO:0097028
3	54	25	0.00619	0.01132	1.163e+03	0.549	0.464	GO:0048514
4	20	11	0.00524	0.00669	1.448e+02	0.644	0.49	GO:0030316
5	22	11	0.00468	0.01027	1.877e+02	0.62	0.492	GO:0045620
6	20	11	0.00434	0.0071	1.448e+02	0.649	0.408	GO:0006305
7	31	15	0.00405	0.00762	3.773e+02	0.605	0.383	GO:0016571
8	21	11	0.00396	0.00849	1.658e+02	0.643	0.472	GO:0048710
9	22	11	0.00342	0.00657	1.877e+02	0.626	0.382	GO:0048536
10	23	12	0.00334	0.00507	1.987e+02	0.624	0.392	GO:0035162
11	26	13	0.00318	0.00642	2.606e+02	0.629	0.529	GO:0032648
12	22	12	0.00316	0.0061	1.758e+02	0.614	0.514	GO:0048864
13	32	16	0.00309	0.00537	3.923e+02	0.583	0.441	GO:0071347
14	23	12	0.00298	0.00512	1.987e+02	0.579	0.455	GO:0034446
15	25	12	0.00268	0.00611	2.486e+02	0.591	0.596	GO:0045777
16	21	11	0.00265	0.00397	1.658e+02	0.584	0.442	GO:0034968
17	59	27	0.00262	0.00747	1.397e+03	0.59	0.458	GO:0007565
