Creation Time:	2023-01-03 00:42:35

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	2
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	4291494016

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1397
Proportion perturbed genes:	0.24287204450625868

OUTPUT:
Learnt parameters:
alpha (FPR):	0.225
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3184.9757777238474 +- 1.0204843514918027

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	0.87978	0.10229	4.722e+02	2.84	0.427	GO:0046364
2	62	29	0.69518	0.14561	1.520e+03	1.922	0.626	GO:0019058
3	53	27	0.6936	0.20803	1.051e+03	2.447	0.496	GO:0007051
4	73	33	0.63702	0.23164	2.148e+03	2.793	0.38	GO:0002576
5	70	34	0.6273	0.24709	1.886e+03	1.983	0.599	GO:0031145
6	50	23	0.22296	0.13732	1.003e+03	2.769	0.462	GO:0010811
7	30	15	0.17714	0.09303	3.454e+02	2.617	0.434	GO:0045646
8	55	26	0.17514	0.14272	1.190e+03	1.993	0.595	GO:0006415
9	22	12	0.17247	0.10006	1.758e+02	2.461	0.569	GO:0060334
10	31	16	0.11514	0.08146	3.604e+02	2.314	0.554	GO:0030397
11	38	17	0.09968	0.0688	5.937e+02	2.132	0.584	GO:0006458
12	21	11	0.09812	0.0587	1.658e+02	2.784	0.476	GO:0030511
13	68	31	0.09045	0.13464	1.856e+03	1.86	0.616	GO:0051439
14	21	11	0.08698	0.07705	1.658e+02	1.969	0.703	GO:0006270
15	23	12	0.08336	0.06133	1.988e+02	2.391	0.569	GO:0060330
16	37	18	0.08266	0.08029	5.329e+02	2.153	0.556	GO:0006998
17	21	11	0.0739	0.05354	1.658e+02	3.566	0.364	GO:0051693
18	25	12	0.06872	0.06339	2.486e+02	3.291	0.359	GO:0030834
19	55	25	0.06404	0.08945	1.221e+03	1.903	0.61	GO:0019083
20	26	13	0.06057	0.05426	2.606e+02	3.471	0.367	GO:0001954
21	24	12	0.05874	0.04368	2.227e+02	2.713	0.439	GO:0022409
22	27	12	0.05555	0.09322	3.045e+02	3.269	0.301	GO:0010633
23	20	11	0.05309	0.02996	1.448e+02	2.213	0.58	GO:0043666
24	32	17	0.05204	0.05722	3.754e+02	2.855	0.395	GO:0019319
25	35	15	0.04795	0.03755	5.189e+02	2.288	0.471	GO:0010717
26	31	14	0.04616	0.03228	3.953e+02	3.396	0.294	GO:1901888
27	63	28	0.04402	0.0672	1.621e+03	1.866	0.602	GO:0051437
28	21	11	0.04193	0.02753	1.658e+02	3.566	0.364	GO:0030835
29	69	29	0.04082	0.04489	2.009e+03	1.915	0.61	GO:0042590
30	24	12	0.0375	0.04136	2.227e+02	2.65	0.408	GO:0014910
31	56	23	0.03725	0.04872	1.346e+03	2.706	0.423	GO:0001952
32	81	34	0.03524	0.04271	2.762e+03	1.78	0.611	GO:0051438
33	21	12	0.03474	0.03149	1.538e+02	3.012	0.447	GO:0007052
34	28	13	0.03446	0.03643	3.175e+02	2.427	0.418	GO:0042451
35	23	11	0.03316	0.03248	2.117e+02	2.913	0.431	GO:0034446
36	35	15	0.03147	0.01575	5.189e+02	2.606	0.483	GO:0007044
37	33	15	0.03115	0.03347	4.451e+02	3.22	0.324	GO:0006909
38	27	12	0.02912	0.02869	3.045e+02	1.96	0.572	GO:0006284
39	48	21	0.02636	0.02344	9.553e+02	2.231	0.517	GO:0032075
40	70	30	0.02636	0.03756	2.042e+03	1.783	0.611	GO:0051443
41	37	16	0.02521	0.02811	5.757e+02	2.02	0.597	GO:0001508
42	64	26	0.02512	0.02557	1.765e+03	2.52	0.414	GO:0018108
43	24	11	0.02436	0.01952	2.367e+02	2.472	0.387	GO:0046456
44	29	12	0.02204	0.03672	3.663e+02	1.99	0.547	GO:0010770
45	38	16	0.02108	0.01961	6.165e+02	2.151	0.492	GO:0048592
46	60	25	0.01921	0.01784	1.530e+03	2.952	0.328	GO:0001936
47	51	22	0.0186	0.01942	1.087e+03	2.204	0.504	GO:0032069
48	40	17	0.01703	0.01035	6.783e+02	2.601	0.387	GO:0048661
49	66	28	0.01668	0.0216	1.829e+03	1.95	0.604	GO:0002479
50	60	27	0.01654	0.03558	1.460e+03	1.829	0.642	GO:0051436
51	20	9	0.01598	0.01404	1.678e+02	1.83	0.67	GO:0000722
52	28	12	0.01593	0.01455	3.344e+02	1.736	0.666	GO:0022616
53	34	15	0.01572	0.02579	4.810e+02	1.731	0.612	GO:0006767
54	64	26	0.01559	0.01778	1.765e+03	2.214	0.49	GO:0007229
55	29	14	0.01538	0.01799	3.315e+02	1.984	0.61	GO:0007077
56	35	15	0.01532	0.01298	5.189e+02	1.847	0.548	GO:0006901
57	24	10	0.01494	0.02381	2.516e+02	3.091	0.297	GO:0010596
58	44	18	0.01481	0.01475	8.377e+02	1.934	0.517	GO:0060688
59	21	10	0.01301	0.01666	1.778e+02	1.618	0.713	GO:0086001
60	29	13	0.01288	0.0089	3.484e+02	3.282	0.346	GO:0030837
61	23	10	0.01141	0.01986	2.257e+02	2.477	0.342	GO:0006636
62	38	16	0.01126	0.01182	6.165e+02	2.276	0.489	GO:0033143
63	27	12	0.01106	0.01048	3.045e+02	2.087	0.62	GO:0035637
64	65	26	0.01068	0.01025	1.836e+03	2.5	0.414	GO:0018212
65	64	28	0.01021	0.01424	1.689e+03	1.849	0.626	GO:0051352
66	73	30	0.01004	0.01869	2.276e+03	1.718	0.611	GO:0051351
67	22	10	0.00989	0.01258	2.007e+02	2.593	0.383	GO:0034405
68	27	12	0.00946	0.00989	3.045e+02	1.791	0.666	GO:0006271
69	21	9	0.00942	0.0172	1.907e+02	2.427	0.516	GO:0010862
70	25	11	0.00876	0.01302	2.636e+02	3.111	0.317	GO:0001569
71	32	14	0.00873	0.01081	4.292e+02	2.95	0.378	GO:1901880
72	30	15	0.00848	0.01604	3.454e+02	2.936	0.318	GO:0006096
73	23	10	0.0083	0.01371	2.257e+02	1.863	0.664	GO:0060397
74	22	12	0.00822	0.01304	1.758e+02	2.585	0.466	GO:0048008
