Creation Time:	2023-01-03 12:48:49

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b2510_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.275
Maximal possible value for alpha and beta:	0.275
Probability parameter change:	0.2
seed for RNG:	446714169

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.275
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3772.0565369703836 +- 0.11165179215687811

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	72	35	0.94828	0.0919	1.993e+03	0.6	0.414	GO:0070374
2	36	17	0.87697	0.1558	5.149e+02	0.566	0.322	GO:0010332
3	25	12	0.27981	0.13525	2.486e+02	0.612	0.353	GO:0032508
4	25	12	0.23317	0.0823	2.486e+02	0.612	0.353	GO:0032392
5	23	12	0.21582	0.11976	1.987e+02	0.624	0.392	GO:0035162
6	20	11	0.16094	0.10599	1.448e+02	0.649	0.408	GO:0006305
7	22	11	0.12769	0.07183	1.877e+02	0.626	0.382	GO:0048536
8	54	25	0.08446	0.05712	1.163e+03	0.549	0.464	GO:0048514
9	31	15	0.07714	0.05934	3.773e+02	0.605	0.383	GO:0016571
10	30	13	0.0705	0.09751	3.802e+02	0.545	0.381	GO:0034644
11	21	10	0.06002	0.04929	1.778e+02	0.565	0.377	GO:0006904
12	20	9	0.05236	0.07959	1.678e+02	0.584	0.306	GO:0000083
13	40	16	0.03404	0.03809	7.030e+02	0.56	0.342	GO:0008637
14	37	16	0.03236	0.043	5.756e+02	0.557	0.393	GO:0002244
15	26	13	0.02297	0.01875	2.606e+02	0.65	0.385	GO:0044728
16	23	12	0.02289	0.02535	1.987e+02	0.579	0.455	GO:0034446
17	20	11	0.01828	0.02268	1.448e+02	0.644	0.49	GO:0030316
18	41	17	0.01676	0.03312	7.230e+02	0.57	0.324	GO:0046165
19	27	12	0.0134	0.01539	3.045e+02	0.601	0.414	GO:0030101
20	21	11	0.01098	0.01598	1.658e+02	0.584	0.442	GO:0034968
21	23	10	0.00956	0.01435	2.256e+02	0.558	0.377	GO:0048278
22	23	14	0.0083	0.02304	1.718e+02	0.609	0.603	GO:0097028
23	49	20	0.00815	0.01096	1.038e+03	0.55	0.458	GO:0007569
24	22	11	0.00524	0.01404	1.877e+02	0.62	0.492	GO:0045620
25	20	8	0.00464	0.01145	1.807e+02	0.597	0.43	GO:0002828
26	32	16	0.00463	0.00779	3.923e+02	0.583	0.441	GO:0071347
27	20	10	0.00451	0.00713	1.558e+02	0.598	0.493	GO:0046365
28	21	11	0.00423	0.0065	1.658e+02	0.643	0.472	GO:0048710
29	31	13	0.00386	0.00488	4.141e+02	0.594	0.311	GO:0045668
30	25	10	0.00366	0.00772	2.795e+02	0.6	0.296	GO:0050732
31	21	9	0.00362	0.00537	1.907e+02	0.532	0.343	GO:0048147
32	25	12	0.0036	0.00596	2.486e+02	0.599	0.507	GO:0031572
33	20	8	0.00298	0.00833	1.807e+02	0.589	0.348	GO:0046470
34	35	14	0.00294	0.0047	5.407e+02	0.554	0.298	GO:0043487
35	23	9	0.00287	0.00828	2.406e+02	0.583	0.384	GO:0031060
36	42	16	0.00256	0.007	7.956e+02	0.557	0.407	GO:0008630
37	20	7	0.00254	0.00763	1.947e+02	0.529	0.203	GO:0042180
38	29	13	0.00209	0.00626	3.483e+02	0.6	0.479	GO:0006333
39	20	10	0.002	0.00597	1.558e+02	0.597	0.51	GO:0007616
40	20	10	0.00182	0.00545	1.558e+02	0.527	0.618	GO:0001958
41	42	19	0.00176	0.0035	7.181e+02	0.568	0.43	GO:0006479
42	21	7	0.00174	0.00521	2.196e+02	0.456	0.385	GO:0051145
43	22	12	0.00166	0.00447	1.758e+02	0.614	0.514	GO:0048864
44	20	7	0.00136	0.00408	1.947e+02	0.567	0.373	GO:0001892
45	59	27	0.0013	0.0039	1.397e+03	0.59	0.458	GO:0007565
46	25	12	0.0011	0.00329	2.486e+02	0.567	0.498	GO:0045103
47	23	9	0.00082	0.00164	2.406e+02	0.519	0.257	GO:0043489
48	50	21	0.00082	0.00159	1.061e+03	0.538	0.383	GO:0070555
49	23	8	0.00081	0.00163	2.565e+02	0.543	0.287	GO:0001836
50	23	11	0.00074	0.00162	2.117e+02	0.532	0.487	GO:0046580
51	24	11	0.00059	0.00178	2.366e+02	0.569	0.548	GO:0021885
52	49	21	0.00058	0.00173	1.008e+03	0.544	0.447	GO:1903046
