Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	0.29968	0.28445	4.722e+02	2.84	0.427	GO:0046364
2	21	12	0.02805	0.05051	1.538e+02	3.012	0.447	GO:0007052
3	21	11	0.01194	0.0195	1.658e+02	3.566	0.364	GO:0051693
4	32	17	0.01046	0.01782	3.754e+02	2.855	0.395	GO:0019319
5	22	12	0.01032	0.02498	1.758e+02	2.585	0.466	GO:0048008
6	30	15	0.00597	0.01283	3.454e+02	2.936	0.318	GO:0006096
7	31	16	0.0055	0.00974	3.604e+02	2.314	0.554	GO:0030397
8	22	12	0.00492	0.00832	1.758e+02	2.461	0.569	GO:0060334
9	30	15	0.00371	0.00697	3.454e+02	2.617	0.434	GO:0045646
10	33	15	0.00327	0.00858	4.451e+02	3.22	0.324	GO:0006909
11	26	13	0.00306	0.00509	2.606e+02	3.471	0.367	GO:0001954
12	53	27	0.00294	0.00588	1.051e+03	2.447	0.496	GO:0007051
13	24	12	0.00232	0.00454	2.227e+02	2.713	0.439	GO:0022409
14	21	11	0.00187	0.00357	1.658e+02	2.784	0.476	GO:0030511
15	21	11	0.00175	0.00386	1.658e+02	3.566	0.364	GO:0030835
16	31	14	0.00164	0.00328	3.953e+02	3.396	0.294	GO:1901888
17	25	12	0.00147	0.00326	2.486e+02	3.291	0.359	GO:0030834
18	20	8	0.00142	0.00348	1.808e+02	3.279	0.214	GO:0050926
19	29	14	0.00136	0.00264	3.315e+02	2.763	0.38	GO:0006094
20	20	11	0.00109	0.00222	1.448e+02	2.213	0.58	GO:0043666
21	29	13	0.00098	0.00293	3.484e+02	3.282	0.346	GO:0030837
22	22	8	0.00048	0.00145	2.296e+02	2.719	0.327	GO:0050873
23	37	18	0.00043	0.00128	5.329e+02	2.153	0.556	GO:0006998
24	21	9	0.00039	0.00118	1.907e+02	2.427	0.516	GO:0010862
25	22	9	0.00036	0.00105	2.147e+02	2.618	0.392	GO:0043534
26	24	12	0.00034	0.00071	2.227e+02	2.65	0.408	GO:0014910
27	70	34	0.00033	0.001	1.886e+03	1.983	0.599	GO:0031145
28	21	11	0.00027	0.0008	1.658e+02	1.969	0.703	GO:0006270
29	24	11	0.00025	0.00076	2.367e+02	2.472	0.387	GO:0046456
30	22	10	0.00019	0.00056	2.007e+02	2.593	0.383	GO:0034405
31	23	9	0.00018	0.00053	2.406e+02	3.142	0.169	GO:0035162
32	26	11	0.00014	0.00043	2.915e+02	1.68	0.627	GO:0045841
33	26	11	0.00014	0.00043	2.915e+02	2.613	0.364	GO:0048286
34	25	10	0.00014	0.00041	2.795e+02	1.63	0.619	GO:0090199
35	27	12	0.0001	0.00029	3.045e+02	2.087	0.62	GO:0035637
36	50	23	3e-05	8e-05	1.003e+03	2.769	0.462	GO:0010811
37	23	10	1e-05	2e-05	2.257e+02	2.477	0.342	GO:0006636
