Creation Time:	2023-01-03 00:45:33

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b2510.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	2
threshold type:	levels
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.2751189433021499
Maximal possible value for alpha and beta:	0.2751189433021499
Probability parameter change:	0.2
seed for RNG:	3636584298

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1397
Proportion perturbed genes:	0.24287204450625868

OUTPUT:
Learnt parameters:
alpha (FPR):	0.23385110180682744
beta (FNR):	0.2751189433021499
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3308.2969759916173 +- 6.667905062665877e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	0.90885	0.12861	4.722e+02	2.84	0.427	GO:0046364
2	26	13	0.55913	0.24988	2.606e+02	3.471	0.367	GO:0001954
3	73	33	0.37452	0.34602	2.148e+03	2.793	0.38	GO:0002576
4	27	12	0.31909	0.30547	3.045e+02	3.269	0.301	GO:0010633
5	30	15	0.26945	0.2162	3.454e+02	2.617	0.434	GO:0045646
6	21	12	0.26734	0.12062	1.538e+02	3.012	0.447	GO:0007052
7	21	11	0.24694	0.09154	1.658e+02	3.566	0.364	GO:0051693
8	21	11	0.18983	0.1481	1.658e+02	3.566	0.364	GO:0030835
9	33	15	0.18375	0.16801	4.451e+02	3.22	0.324	GO:0006909
10	25	12	0.14873	0.12424	2.486e+02	3.291	0.359	GO:0030834
11	31	14	0.10543	0.09554	3.953e+02	3.396	0.294	GO:1901888
12	53	27	0.09562	0.09505	1.051e+03	2.447	0.496	GO:0007051
13	24	10	0.09261	0.08768	2.516e+02	3.091	0.297	GO:0010596
14	28	13	0.0489	0.05598	3.175e+02	3.022	0.375	GO:0007566
15	33	13	0.04338	0.06737	4.859e+02	3.105	0.304	GO:0051492
16	22	10	0.03257	0.05205	2.007e+02	2.593	0.383	GO:0034405
17	24	12	0.03226	0.03491	2.227e+02	2.713	0.439	GO:0022409
