Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	36	17	0.04308	0.08101	5.149e+02	0.566	0.322	GO:0010332
2	72	35	0.02719	0.04233	1.993e+03	0.6	0.414	GO:0070374
3	20	11	0.01485	0.03096	1.448e+02	0.649	0.408	GO:0006305
4	23	12	0.01321	0.03201	1.987e+02	0.624	0.392	GO:0035162
5	25	12	0.00934	0.02506	2.486e+02	0.612	0.353	GO:0032392
6	25	12	0.0079	0.01105	2.486e+02	0.612	0.353	GO:0032508
7	26	13	0.00733	0.00903	2.606e+02	0.65	0.385	GO:0044728
8	22	11	0.00621	0.01836	1.877e+02	0.626	0.382	GO:0048536
9	22	12	0.00579	0.01397	1.758e+02	0.614	0.514	GO:0048864
10	23	12	0.00526	0.01035	1.987e+02	0.579	0.455	GO:0034446
11	20	9	0.00476	0.00834	1.678e+02	0.584	0.306	GO:0000083
12	23	14	0.00397	0.00795	1.718e+02	0.609	0.603	GO:0097028
13	21	11	0.0034	0.00697	1.658e+02	0.643	0.472	GO:0048710
14	21	10	0.00305	0.00786	1.778e+02	0.565	0.377	GO:0006904
15	30	13	0.00216	0.00637	3.802e+02	0.545	0.381	GO:0034644
16	20	11	0.00173	0.0042	1.448e+02	0.644	0.49	GO:0030316
17	31	13	0.00122	0.00247	4.141e+02	0.594	0.311	GO:0045668
18	21	11	0.00114	0.00281	1.658e+02	0.584	0.442	GO:0034968
19	25	12	0.00084	0.0018	2.486e+02	0.599	0.507	GO:0031572
20	20	10	0.00084	0.00251	1.558e+02	0.611	0.584	GO:0048701
21	27	13	0.00062	0.00185	2.885e+02	0.575	0.518	GO:0050853
22	32	16	0.00059	0.00176	3.923e+02	0.583	0.441	GO:0071347
23	21	9	0.00052	0.00155	1.907e+02	0.542	0.403	GO:0006270
24	35	14	0.00044	0.00104	5.407e+02	0.554	0.298	GO:0043487
25	24	11	0.00038	0.00115	2.366e+02	0.529	0.487	GO:0051058
26	31	15	0.00037	0.0009	3.773e+02	0.605	0.383	GO:0016571
27	27	12	0.00032	0.00088	3.045e+02	0.601	0.414	GO:0030101
28	41	17	0.0003	0.00091	7.230e+02	0.57	0.324	GO:0046165
29	24	11	0.00024	0.00073	2.366e+02	0.609	0.504	GO:0045058
30	26	10	0.00023	0.0007	3.084e+02	0.577	0.355	GO:0051209
31	23	11	0.00022	0.00065	2.117e+02	0.532	0.487	GO:0046580
32	20	8	0.0002	0.00059	1.807e+02	0.589	0.348	GO:0046470
33	25	10	0.00015	0.00046	2.795e+02	0.6	0.296	GO:0050732
34	31	14	0.00014	0.00043	3.952e+02	0.553	0.472	GO:1901983
35	25	9	0.00013	0.00038	2.964e+02	0.506	0.53	GO:0072175
36	29	13	0.00012	0.00037	3.483e+02	0.539	0.468	GO:0035065
37	21	9	0.00012	0.00037	1.907e+02	0.532	0.343	GO:0048147
38	20	8	0.00012	0.00036	1.807e+02	0.558	0.407	GO:0009190
39	26	13	0.0001	0.00031	2.606e+02	0.629	0.529	GO:0032648
40	34	13	0.0001	0.00029	5.237e+02	0.487	0.463	GO:0006879
41	20	10	0.0001	0.00029	1.558e+02	0.597	0.51	GO:0007616
42	22	7	0.0001	0.00029	2.456e+02	0.531	0.429	GO:0046676
43	20	9	0.0001	0.00029	1.678e+02	0.523	0.471	GO:1903018
44	26	11	9e-05	0.00028	2.915e+02	0.6	0.433	GO:0010043
45	26	10	9e-05	0.00026	3.084e+02	0.511	0.42	GO:0051893
46	21	6	8e-05	0.00025	2.356e+02	0.451	0.5	GO:0032731
47	20	9	6e-05	0.00019	1.678e+02	0.58	0.554	GO:0018208
48	49	21	6e-05	0.00018	1.008e+03	0.544	0.447	GO:1903046
49	24	10	5e-05	0.00016	2.516e+02	0.556	0.425	GO:0008625
50	23	9	5e-05	0.00014	2.406e+02	0.528	0.446	GO:0043124
51	24	9	3e-05	8e-05	2.675e+02	0.529	0.479	GO:0006890
52	29	13	3e-05	8e-05	3.483e+02	0.596	0.438	GO:0035019
53	26	10	3e-05	8e-05	3.084e+02	0.577	0.355	GO:0051282
54	20	7	2e-05	7e-05	1.947e+02	0.518	0.509	GO:0086002
55	20	8	2e-05	5e-05	1.807e+02	0.636	0.413	GO:0045687
56	24	11	2e-05	5e-05	2.366e+02	0.537	0.553	GO:0046579
57	24	8	1e-05	4e-05	2.845e+02	0.46	0.405	GO:0034333
