Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
ENSG00000000003	TSPAN6	0.489158292454121	0.4
ENSG00000000005	TNMD	0.70546107219945	-0.7
ENSG00000000419	DPM1	0.187103758292167	-0.3
ENSG00000000457	SCYL3	0.954038192354167	0
ENSG00000000460	C1orf112	0.115689780278195	0.5
ENSG00000000938	FGR	3.11985011741722e-05	-1.5
ENSG00000000971	CFH	6.73740671976036e-09	-3.2
ENSG00000001036	FUCA2	0.688009490880368	-0.2
ENSG00000001084	GCLC	6.021247635814e-18	-2.6
ENSG00000001167	NFYA	0.282060922970039	0.3
ENSG00000001460	STPG1	8.54430743882938e-05	1.2
ENSG00000001461	NIPAL3	5.6141642394251e-07	1.3
ENSG00000001497	LAS1L	0.250170703647015	0.3
ENSG00000001561	ENPP4	0.0036066198309875	0.9
ENSG00000001617	SEMA3F	0.321017126749776	0.4
ENSG00000001626	CFTR	1.38215199573459e-10	4.3
ENSG00000001629	ANKIB1	1.0649845876451e-05	1.1
ENSG00000001630	CYP51A1	0.423510191273179	-0.7
ENSG00000001631	KRIT1	0.703066122946448	-0.2
ENSG00000002016	RAD52	0.556762756112191	0.2
ENSG00000002079	MYH16	0.00486631718586428	2.7
ENSG00000002330	BAD	0.824244010574853	0.1
ENSG00000002549	LAP3	7.51830881425281e-06	-1.5
ENSG00000002586	CD99	0.0512126239381459	-0.6
ENSG00000002587	HS3ST1	1.94031823439361e-27	4.8
ENSG00000002726	AOC1	0.295203126268771	-1.4
ENSG00000002745	WNT16	0.412859860483073	-0.8
ENSG00000002746	HECW1	0.000363437939103527	2.9
ENSG00000002822	MAD1L1	0.335850362718519	-0.3
ENSG00000002834	LASP1	0.0224895264160092	0.5
ENSG00000002919	SNX11	0.716589876009302	0.1
ENSG00000002933	TMEM176A	3.5456441651739e-15	-3.4
ENSG00000003056	M6PR	0.0173727730469911	1
ENSG00000003096	KLHL13	0.37994083860086	0.7
ENSG00000003137	CYP26B1	0.00236150421025417	2.4
ENSG00000003147	ICA1	0.001119818364896	1.8
ENSG00000003249	DBNDD1	0.000527799263268997	2
ENSG00000003393	ALS2	0.03783721879864	-0.6
ENSG00000003400	CASP10	0.588991019334121	0.2
ENSG00000003402	CFLAR	0.0417835230040034	0.6
ENSG00000003436	TFPI	9.24340150638552e-05	-2.4
ENSG00000003509	NDUFAF7	0.0173321104763664	-0.6
ENSG00000003756	RBM5	0.0170209987433509	-0.6
ENSG00000003987	MTMR7	0.0409102125766976	-1.1
ENSG00000003989	SLC7A2	4.43891646190568e-19	-4.5
ENSG00000004059	ARF5	0.195209399006976	0.3
ENSG00000004139	SARM1	0.467049353714598	0.4
ENSG00000004142	POLDIP2	2.16604800518957e-05	-1
ENSG00000004399	PLXND1	0.46344154867565	0.3
ENSG00000004455	AK2	0.0267675725923791	-0.7
ENSG00000004468	CD38	9.67966728943818e-07	-2.1
ENSG00000004478	FKBP4	0.144447016613917	0.6
ENSG00000004487	KDM1A	0.246768848674115	-0.2
ENSG00000004534	RBM6	0.0602793702805587	-0.7
ENSG00000004660	CAMKK1	0.337567836424134	0.4
ENSG00000004700	RECQL	0.00492820023461919	0.7
ENSG00000004766	VPS50	0.00109665178382985	0.8
ENSG00000004776	HSPB6	0.935080449576024	-0.1
ENSG00000004777	ARHGAP33	0.104750744907676	0.6
ENSG00000004779	NDUFAB1	0.0557035422375106	-0.7
ENSG00000004799	PDK4	1.84424144083721e-05	-2.6
ENSG00000004809	SLC22A16	0.914333708440622	-0.2
ENSG00000004838	ZMYND10	0.753069920162444	0.2
ENSG00000004846	ABCB5	0.219013002722441	1.2
ENSG00000004848	ARX	NA	1.2
ENSG00000004864	SLC25A13	4.2479396574113e-24	-2.6
ENSG00000004866	ST7	0.000629277675276749	-1
ENSG00000004897	CDC27	0.982279516134591	0
ENSG00000004939	SLC4A1	0.0022055456725336	-5.3
ENSG00000004948	CALCR	0.566752031338634	0.7
ENSG00000004961	HCCS	0.82040585381413	-0.1
ENSG00000004975	DVL2	0.000457593798389088	0.9
ENSG00000005001	PRSS22	1.67394494576644e-31	4.2
ENSG00000005007	UPF1	0.904394158387788	0
ENSG00000005020	SKAP2	0.0170412633155566	1.1
ENSG00000005022	SLC25A5	0.96762418188079	0
ENSG00000005059	MCUB	0.000600375375216349	1.4
ENSG00000005073	HOXA11	0.119406347108962	3.1
ENSG00000005075	POLR2J	0.570146665556718	-0.2
ENSG00000005100	DHX33	0.465915867014741	0.2
ENSG00000005102	MEOX1	0.000259792793861948	2.4
ENSG00000005108	THSD7A	0.759683074632203	0.2
ENSG00000005156	LIG3	0.0743982877728762	0.4
ENSG00000005175	RPAP3	0.799306209428471	-0.1
ENSG00000005187	ACSM3	0.00793806239707241	-1.2
ENSG00000005189	REXO5	0.890918510603252	0.1
ENSG00000005194	CIAPIN1	0.234890582396075	0.3
ENSG00000005206	SPPL2B	0.456546857950735	0.3
ENSG00000005238	FAM214B	0.0123009790319994	0.8
ENSG00000005243	COPZ2	0.00178834071454206	-1.3
ENSG00000005249	PRKAR2B	0.46353057235593	-0.4
ENSG00000005302	MSL3	0.190976000727112	0.3
ENSG00000005339	CREBBP	0.817243398085293	-0.1
ENSG00000005379	TSPOAP1	0.16915597522867	0.8
ENSG00000005381	MPO	3.92047183342095e-05	-4.1
ENSG00000005421	PON1	1.08810459380688e-28	-6.1
ENSG00000005436	GCFC2	3.73522888198572e-06	-1.1
ENSG00000005448	WDR54	7.4953688093827e-11	2
ENSG00000005469	CROT	0.246944662758885	-0.7
ENSG00000005471	ABCB4	1.30807654133483e-29	-6.1
ENSG00000005483	KMT2E	0.07291074709931	0.3
ENSG00000005486	RHBDD2	0.174529293846011	0.4
ENSG00000005513	SOX8	0.000684444052185978	2
ENSG00000005700	IBTK	4.09178954225164e-06	-1.3
ENSG00000005801	ZNF195	0.377153716782352	0.3
ENSG00000005810	MYCBP2	0.117401586164442	-0.5
ENSG00000005812	FBXL3	0.00436700364940425	-0.8
ENSG00000005844	ITGAL	2.5948925887347e-08	-1.8
ENSG00000005882	PDK2	6.36993621750777e-05	-1.6
ENSG00000005884	ITGA3	9.27948286199231e-18	5.4
ENSG00000005889	ZFX	0.786302955374877	-0.1
ENSG00000005893	LAMP2	0.314534781421498	0.5
ENSG00000005961	ITGA2B	0.0142445026950592	1.4
ENSG00000005981	ASB4	0.000205451486827261	-2.3
ENSG00000006007	GDE1	0.178594334883833	0.6
ENSG00000006015	REX1BD	0.868812421471533	-0.1
ENSG00000006016	CRLF1	1.50598169845544e-07	3.1
ENSG00000006025	OSBPL7	1.32250291499561e-06	2.2
ENSG00000006042	TMEM98	0.00181255416345201	1.2
ENSG00000006047	YBX2	2.82176321859224e-05	-2.7
ENSG00000006059	KRT33A	NA	0
ENSG00000006062	MAP3K14	0.122469707450739	-0.6
ENSG00000006071	ABCC8	0.210955065208818	1.4
ENSG00000006116	CACNG3	NA	0
ENSG00000006118	TMEM132A	1.518188110368e-28	5.4
ENSG00000006125	AP2B1	2.34111153305645e-07	1.2
ENSG00000006128	TAC1	0.338412477802055	-1.4
ENSG00000006194	ZNF263	0.528169142476646	0.2
ENSG00000006210	CX3CL1	0.00298722886782997	1.4
ENSG00000006282	SPATA20	1.26294349804754e-06	1.1
ENSG00000006283	CACNA1G	5.79620508525707e-05	3.7
ENSG00000006327	TNFRSF12A	0.103615936522271	1
ENSG00000006377	DLX6	0.118901746377573	2.8
ENSG00000006432	MAP3K9	0.995856327013278	0
ENSG00000006451	RALA	0.000937080001556881	1
ENSG00000006453	BAIAP2L1	0.123564468727121	0.7
ENSG00000006459	KDM7A	1.72652966716902e-06	-1.7
ENSG00000006468	ETV1	0.0193738218774227	1.3
ENSG00000006530	AGK	0.417243848354402	0.3
ENSG00000006534	ALDH3B1	3.60837293506678e-06	1.9
ENSG00000006555	TTC22	0.0648422058777946	1.2
ENSG00000006576	PHTF2	0.0049660498238879	0.8
ENSG00000006606	CCL26	0.00126876407657267	3.4
ENSG00000006607	FARP2	0.794323788439795	0.1
ENSG00000006611	USH1C	4.59475672435171e-43	6.1
ENSG00000006625	GGCT	0.5849338156619	0.2
ENSG00000006634	DBF4	0.971467976204466	0
ENSG00000006638	TBXA2R	6.04675539901788e-09	-1.6
ENSG00000006652	IFRD1	0.0470577968573106	-0.8
ENSG00000006659	LGALS14	NA	0
ENSG00000006695	COX10	0.32507478532026	0.3
ENSG00000006704	GTF2IRD1	1.43325580780717e-07	1.4
ENSG00000006712	PAF1	0.0341152323952274	-0.5
ENSG00000006715	VPS41	9.62892452066023e-07	1.6
ENSG00000006740	ARHGAP44	2.74228030942978e-05	2
ENSG00000006744	ELAC2	0.699060272641177	0.1
ENSG00000006747	SCIN	4.31340092832618e-08	3.9
ENSG00000006756	ARSD	0.741883674621524	-0.2
ENSG00000006757	PNPLA4	0.170960560537799	-0.7
