Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange	g1_g3.p-value	g1_g3.t-statistic	g1_g3.log2foldchange	g2_g4.p-value	g2_g4.t-statistic	g2_g4.log2foldchange	g3_g4.p-value	g3_g4.t-statistic	g3_g4.log2foldchange
ENSG00000000003	TSPAN6	209108_at	0.936018724423946	-0.178024720869846	0	0.0315540407848299	-2.84569552329216	-0.2	NA	-0.419834938409012	0	NA	0.931057231587896	0.1
ENSG00000000005	TNMD	220065_at	0.0653000926799063	2.58936784004643	0.5	0.24471925031397	1.56933953854842	0.2	0.299263968562762	-1.86408147599706	-0.5	0.537762160944853	-1.25209434972289	-0.3
ENSG00000000419	DPM1	202673_at	0.489362163738871	1.16029910814481	0.1	0.264928033168518	1.50843923148949	0.1	NA	0.0635569936709326	0	NA	-0.0142845620607144	0
ENSG00000000457	SCYL3	41329_at	0.593854221042243	0.943064887812295	0.1	0.0173588529265003	3.12477182252709	0.2	NA	2.32324819810534	0.2	NA	0.53786070640619	0
ENSG00000000460	C1orf112	220840_s_at	0.27000047125068	1.68720299057892	0.1	0.0194901224956121	3.07485921264759	0.1	NA	2.10773246772216	0.2	NA	1.49940160881148	0.1
ENSG00000000938	FGR	208438_s_at	0.134507623915891	2.16769751313153	0.3	1.38413958133293e-06	5.6885704738053	0.5	0.135590592091815	2.72363307097687	0.4	0.894211901953619	0.251457483168693	0
ENSG00000000971	CFH	213800_at	0.0611483642977867	2.62459916615629	0.4	0.0055179733614031	3.56894803567287	0.4	0.240907626810252	2.1406380895189	0.4	0.390446309329001	1.88507020165073	0.3
ENSG00000001036	FUCA2	223120_at	0.345250421800506	-1.48573246479286	-0.1	0.825676002325599	-0.341973035007403	0	NA	0.118423607281645	0	NA	-0.561225403517998	0
ENSG00000001084	GCLC	202923_s_at	0.0434937830552138	-2.79616413819129	-0.2	0.398162278616773	-1.16446628580134	-0.1	NA	1.3548885733471	0.1	NA	-0.157614267253237	0
ENSG00000001167	NFYA	204108_at	0.317950094516739	1.55714096454396	0.1	0.149766510260789	1.92822047370273	0.1	NA	1.21739368930688	0.1	NA	0.928725064483056	0.1
ENSG00000001460	STPG1	227694_at	0.635082234754856	0.853675617403095	0	0.022614315235751	-3.00428052634283	-0.1	NA	-1.17090558536279	-0.1	NA	0.768901652847067	0
ENSG00000001461	NIPAL3	225876_at	0.614742274215445	0.900611347830249	0.1	0.44977735749929	1.05019524502657	0.1	NA	2.0737917515589	0.2	NA	1.68579448696791	0.1
ENSG00000001497	LAS1L	208117_s_at	NA	-0.529104821902089	0	0.571450113048131	-0.808937670756696	0	NA	-0.770320504876526	0	NA	-0.532732973735147	0
ENSG00000001561	ENPP4	204160_s_at	0.821899955608421	-0.456830776246305	-0.1	0.963814062427082	0.0750750811053105	0	0.397225199862603	1.40173067924838	0.4	0.528816466252812	1.30105169057701	0.3
ENSG00000001617	SEMA3F	35666_at	0.284979468958077	1.64700592077593	0.1	0.278338465947858	1.46920809073589	0.1	NA	1.88796429333578	0.2	NA	1.97941753982226	0.2
ENSG00000001626	CFTR	205043_at	0.350010125311025	1.47382481565656	0.1	0.0801026892103312	-2.33532715996639	-0.1	0.318360203823528	-1.7657918048885	-0.2	NA	-0.316843285614987	0
ENSG00000001629	ANKIB1	224682_at	0.252198162291807	-1.73842012074503	-0.2	0.694196012615923	-0.578986512510157	0	0.713863099595247	0.56805336051281	0.1	0.98687570967066	-0.0327576759890672	0
ENSG00000002016	RAD52	211904_x_at	0.778396669911578	0.550907521176855	0	0.37328304653009	-1.22292734591237	-0.1	NA	-2.11190002890305	-0.1	NA	-0.538192912134285	0
ENSG00000002079	MYH16	1564072_at	0.524876591655929	1.08544883600507	0	0.582545488071317	-0.786769936066442	0	NA	-2.22784595269918	-0.1	NA	-0.819006561292495	0
ENSG00000002330	BAD	209364_at	0.63183058972071	-0.86096523776704	0	0.453613009181698	-1.04261946645875	0	NA	0.337731716750884	0	NA	-0.120814930533808	0
ENSG00000002549	LAP3	217933_s_at	0.000134886054910079	5.15253064543674	0.4	4.00410830593493e-16	9.88683214229805	0.6	0.196166605453184	2.35984696460418	0.3	0.773789803413027	0.548797938057154	0.1
ENSG00000002586	CD99	201029_s_at	0.0408220957091595	2.82840697255972	0.2	0.00393514382558079	3.68184586702958	0.2	NA	0.7605284940443	0.1	NA	0.373073268963654	0
ENSG00000002587	HS3ST1	205466_s_at	0.000433933533049867	4.73707039627431	1	0.13043543180012	2.02416838855353	0.3	0.922795070105314	0.15510669413261	0	0.27089995741185	2.50160328512143	0.5
ENSG00000002726	AOC1	203559_s_at	0.0776141576799825	-2.48928796859134	-0.5	0.243908694821766	-1.57239140253701	-0.2	0.408614009832939	-1.35400036669575	-0.5	0.286150744125213	-2.38968483918482	-0.7
ENSG00000002745	WNT16	221113_s_at	0.224412033502142	-1.82472252373547	-0.1	0.430598926846173	-1.09079710480006	0	NA	-1.98770935124293	-0.1	NA	-2.54842204755437	-0.1
ENSG00000002746	HECW1	215584_at	0.430565769815534	-1.28814002843527	-0.1	0.201025977773348	-1.71922813854916	-0.1	NA	-2.65209516471025	-0.2	NA	-2.55731148568889	-0.2
ENSG00000002834	LASP1	200618_at	0.262876332678248	1.70783440973282	0.1	0.00282554777168481	3.79288425997573	0.1	NA	0.65666038606953	0	NA	-0.75474810796904	0
ENSG00000002919	SNX11	53912_at	NA	-0.520775798055256	0	0.00471761159283949	3.62226110936624	0.1	NA	0.827177924911069	0	NA	-1.91472657894171	-0.1
ENSG00000002933	TMEM176A	218345_at	0.800545791165563	-0.504954753426401	-0.1	0.485361403963196	-0.978389136688022	-0.1	0.329094762860875	-1.71321487002279	-0.2	0.458743288050648	-1.58211099181448	-0.2
ENSG00000003056	M6PR	200901_s_at	0.743742003073121	0.624598747073908	0	0.0391826230669736	2.73667598480229	0.1	NA	0.631775411305636	0.1	NA	-0.408596796780067	0
ENSG00000003096	KLHL13	227875_at	0.0682078105689579	2.56248332251777	0.3	0.443377063434639	-1.06276821757846	-0.1	0.807486347155788	-0.38239855892539	-0.1	0.28334783926667	2.41855545403459	0.3
ENSG00000003137	CYP26B1	219825_at	0.0892459989632646	-2.40583074165291	-0.3	0.104989811184698	2.16720479280134	0.2	0.928916118573488	-0.14399274393811	0	0.115912898867487	-3.33020148646878	-0.5
ENSG00000003147	ICA1	210547_x_at	0.225695963036373	1.8202060900974	0.1	0.607689711640799	0.740681778330229	0	NA	-0.0976959527410656	0	NA	0.39460685572173	0
ENSG00000003249	DBNDD1	222234_s_at	0.275673810448588	-1.67188499481712	-0.1	0.0352889173711319	-2.78942760192651	-0.1	NA	-0.742039963585794	0	NA	-0.368362231423969	0
ENSG00000003393	ALS2	226291_at	0.344921282518984	-1.48703564961713	-0.1	0.102731503557014	-2.18099859694107	-0.1	NA	1.12730192277922	0.1	NA	1.34344424263807	0.1
ENSG00000003400	CASP10	210955_at	0.568501984048643	0.996228453205219	0	0.930637403306136	-0.141481618378924	0	NA	-2.49964059028862	-0.2	NA	-1.17749599979023	-0.1
ENSG00000003402	CFLAR	209939_x_at	0.340929112205732	1.49865142358837	0.1	1.84088557340204e-07	6.11525760964255	0.3	NA	3.09176191680553	0.2	NA	0.713750635748589	0.1
ENSG00000003436	TFPI	213258_at	0.624455486136832	0.878350006802196	0.1	0.824138968223364	0.345021728095796	0	0.668001809378302	0.663344584650103	0.1	0.549914995823207	1.19642434878705	0.2
ENSG00000003509	NDUFAF7	223560_s_at	0.760715016090363	-0.589204466279943	0	0.494249126456974	0.959597675309454	0	NA	2.54902748319234	0.1	NA	0.708127008095146	0.1
ENSG00000003756	RBM5	201395_at	0.165688453379671	2.03214176438669	0.1	0.0873983777746044	2.28182355406886	0.1	NA	1.9302007835258	0.1	NA	1.60636680770931	0.1
ENSG00000003987	MTMR7	243804_at	NA	-1.04413384084639	0	0.672927089341045	-0.617035062779099	0	NA	-0.983239526025533	0	NA	-1.92584539365338	-0.1
ENSG00000003989	SLC7A2	225516_at	0.284056531680176	-1.65010219144396	-0.2	0.911920675988348	-0.17591566244583	0	0.399941013947231	1.38543001323492	0.2	0.891065598453867	-0.261786064989605	0
ENSG00000004139	SARM1	213257_at	0.149226248945458	-2.09820038948276	-0.1	0.661562781430976	-0.638417602520247	0	NA	-0.350245710612274	0	NA	-1.61720802179919	-0.1
ENSG00000004142	POLDIP2	222425_s_at	0.0324928139357367	-2.94098319546183	-0.2	0.0593554424727789	-2.51768442291877	-0.1	NA	-1.10619132903181	-0.1	NA	-1.99782271398882	-0.2
ENSG00000004399	PLXND1	38671_at	0.0605922190070531	2.62922532350109	0.2	0.00324632794661014	3.74831963264508	0.2	NA	2.6089848379234	0.3	NA	1.81121241368938	0.2
ENSG00000004455	AK2	212174_at	0.0796541948150299	-2.47337055208959	-0.2	0.83027164992844	-0.332944330471104	0	NA	-0.178472800305137	0	NA	-2.37175533335447	-0.2
ENSG00000004468	CD38	205692_s_at	0.0331326920798456	2.9325151971993	0.4	2.96592956502079e-10	7.3422320629851	0.9	0.329094762860875	1.71397912853846	0.4	0.951326758939307	-0.113584229594531	0
ENSG00000004478	FKBP4	200895_s_at	0.000222292505455632	-4.96747365793367	-0.2	0.00950550634227348	-3.36574051491383	-0.1	NA	1.07201684584825	0.1	NA	-1.01556151127109	-0.1
ENSG00000004487	KDM1A	212348_s_at	0.738628287840574	-0.637483222451424	0	0.0891989668746458	-2.26890082296437	-0.1	NA	-0.476488482421953	0	NA	-0.312568749331682	0
ENSG00000004534	RBM6	201967_at	0.918565338125622	0.225750495986599	0	0.39109781587145	1.18083207592621	0.1	NA	2.77881372923768	0.3	NA	2.15305582918046	0.2
ENSG00000004660	CAMKK1	223460_at	0.909619304866423	-0.249786540167251	0	0.303529440369348	-1.40001189806407	0	NA	-2.22598502542305	-0.1	NA	-1.45278568442994	-0.1
ENSG00000004700	RECQL	212918_at	0.504779485499037	1.12617246349014	0.2	0.0246125224723956	2.96112465555106	0.4	0.224013364510262	2.20773531796086	0.6	0.49871624593477	1.39578117114139	0.3
ENSG00000004766	VPS50	226031_at	0.711452674353648	-0.695985257280707	-0.1	0.933660785349208	0.135247212020134	0	0.455269684411041	1.1917494462946	0.3	0.665919173785101	0.825284342273409	0.2
ENSG00000004776	HSPB6	214767_s_at	0.690764465716617	0.739125193098497	0.1	0.783254782317627	-0.419379348660202	0	0.52573000197307	-0.995753232981495	-0.2	0.794745210464298	-0.496543573261423	-0.1
ENSG00000004777	ARHGAP33	213827_at	0.684238555670863	-0.751410225742929	0	0.126119882961853	-2.04653257433424	-0.1	NA	-0.722413148844226	0	NA	0.194165862750772	0
ENSG00000004779	NDUFAB1	202077_at	0.00467904546867797	-3.80812942176451	-0.2	0.173438320388209	-1.82849023688796	-0.1	NA	-0.591906214915088	0	NA	-2.32703980170244	-0.1
ENSG00000004799	PDK4	225207_at	0.415228085792852	1.32009417367113	0.3	0.665991157098021	0.630751672735934	0.1	0.886835631713678	-0.230148289336746	-0.1	0.839709719508782	0.387142356953117	0.1
ENSG00000004809	SLC22A16	232232_s_at	0.255158446438109	-1.72925514984272	-0.1	0.12724328183179	-2.04109798398722	-0.1	NA	-1.80653990223876	-0.1	NA	-1.8367756241412	-0.1
ENSG00000004838	ZMYND10	216663_s_at	0.414013281508657	1.32233537593484	0.1	0.455555088124369	-1.03862082069952	0	NA	-1.76754170055176	-0.1	NA	-0.366612370412412	0
ENSG00000004846	ABCB5	1555371_at	0.522693305220597	1.08940263790775	0.1	0.463613558376964	-1.02171834281197	0	NA	-1.83543042295459	-0.1	NA	-0.153578618090727	0
ENSG00000004848	ARX	238878_at	0.903297525559633	-0.266256134164554	0	0.794859813230473	-0.399098288187615	0	NA	0.241193798010646	0	0.969089752085511	0.0748524696334629	0
ENSG00000004864	SLC25A13	203775_at	0.0720417590459102	-2.53153595668014	-0.2	0.681055434549332	-0.602532777665102	0	NA	-0.955767119976673	-0.1	NA	-2.51329192538909	-0.3
