Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange	g2_g3.p-value	g2_g3.t-statistic	g2_g3.log2foldchange
ENSG00000000003	TSPAN6	209109_s_at	3.03930852803471e-11	-9.46038425408213	-1.8	9.08513786103159e-21	-11.0037677350244	-1.6
ENSG00000000005	TNMD	220065_at	0.727456786735474	-0.609290244458211	-0.1	2.16435358886228e-13	-8.29981048781482	-0.5
ENSG00000000419	DPM1	202673_at	0.68248077304945	0.702258557989838	0.1	0.00282476581327631	3.34269929321311	0.2
ENSG00000000457	SCYL3	205607_s_at	0.397616618012168	-1.2816439972376	-0.1	5.90150570805817e-10	-6.90649765008193	-0.4
ENSG00000000460	C1orf112	220840_s_at	0.252132384572079	1.65295112793581	0.2	4.97536911051941e-05	4.48974669155072	0.6
ENSG00000000938	FGR	208438_s_at	0.380895308541378	-1.32221398640663	-0.2	0.0792427756798677	2.04040989235197	0.2
ENSG00000000971	CFH	213800_at	0.0496383768808057	-2.60362237200965	-0.7	5.36546271898914e-13	-8.14719559015425	-1.5
ENSG00000001036	FUCA2	223120_at	2.59499885135362e-08	7.45120256503528	0.6	2.5793779819208e-13	8.27021164804945	0.6
ENSG00000001084	GCLC	202923_s_at	0.0786119524422076	2.36899576204494	0.4	7.14083679709755e-06	4.96266705313133	0.7
ENSG00000001167	NFYA	204108_at	0.924923513810508	0.189667022562279	0	1.22829337777055e-06	5.36424274268928	0.4
ENSG00000001460	STPG1	227694_at	0.185585068021279	1.86624457661521	0.2	2.10017454897525e-05	4.70525805972364	0.4
ENSG00000001461	NIPAL3	225876_at	0.00181885540737798	-3.96577163952403	-0.3	7.25073720257557e-06	-4.95899664424093	-0.4
ENSG00000001497	LAS1L	208117_s_at	0.998527858230041	0.00405541016468986	0	0.819938734196763	-0.313628264975859	0
ENSG00000001561	ENPP4	204160_s_at	0.00129166645072711	-4.08941515837598	-1	0.00127315962545106	-3.59257164285834	-0.6
ENSG00000001617	SEMA3F	35666_at	0.677491821464221	0.712063650405108	0.1	3.5348100910485e-08	-6.11108508383484	-0.5
ENSG00000001626	CFTR	205043_at	0.55764955335552	-0.952499059092528	-0.1	6.49784478566673e-06	-4.9846924522191	-0.4
ENSG00000001629	ANKIB1	224687_at	0.251384340772226	1.6549384617098	0.1	1.47232567610197e-10	7.16247918394671	0.6
ENSG00000002016	RAD52	211904_x_at	0.967519140582672	-0.085313123940607	0	0.974385046677924	-0.0467763724859683	0
ENSG00000002079	MYH16	1564072_at	NA	0.107209566232648	0	0.134581018100939	1.76389678761578	0.1
ENSG00000002330	BAD	209364_at	0.0760196486575537	-2.38617306357795	-0.2	0.284094229407785	-1.30337802294903	-0.1
ENSG00000002549	LAP3	217933_s_at	0.288476678152847	1.55073636567731	0.3	4.41512636847272e-06	5.07463359481601	0.7
ENSG00000002586	CD99	201029_s_at	0.075064678030742	-2.39237203938253	-0.3	0.0010260727405151	-3.65788316627918	-0.3
ENSG00000002587	HS3ST1	205466_s_at	2.19812029277566e-09	-8.17890688460976	-2	2.16702436866964e-15	-9.06418785217756	-1.9
