Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
ENSG00000000003	TSPAN6	6.61767486393067e-12	-0.4
ENSG00000000005	TNMD	7.86276370116171e-20	-1.3
ENSG00000000419	DPM1	5.44802516541817e-11	0.4
ENSG00000000457	SCYL3	0.00705699748558774	-0.1
ENSG00000000460	C1orf112	2.27213893568413e-18	0.5
ENSG00000000938	FGR	9.07037814115734e-10	0.5
ENSG00000000971	CFH	3.15395343825462e-11	-0.6
ENSG00000001036	FUCA2	4.23330347838589e-08	-0.3
ENSG00000001084	GCLC	0.0562907461988015	0.1
ENSG00000001167	NFYA	0.0220056087862228	0.1
ENSG00000001460	STPG1	0.00675528077225967	0.1
ENSG00000001461	NIPAL3	6.0365750513483e-35	-0.5
ENSG00000001497	LAS1L	0.448275048157029	0
ENSG00000001561	ENPP4	4.21377584775923e-22	-0.9
ENSG00000001617	SEMA3F	0.943155947187269	0
ENSG00000001626	CFTR	1.55924200357177e-28	-1.3
ENSG00000001629	ANKIB1	0.000214768960781727	-0.2
ENSG00000001630	CYP51A1	0.530027012950809	-0.1
ENSG00000001631	KRIT1	0.257673248414892	-0.1
ENSG00000002016	RAD52	2.15715453337249e-07	-0.4
ENSG00000002079	MYH16	4.5282652329584e-07	-0.8
ENSG00000002330	BAD	0.0314923336719233	-0.3
ENSG00000002549	LAP3	1.21210649766302e-82	0.8
ENSG00000002586	CD99	1.26252338390702e-22	-0.7
ENSG00000002587	HS3ST1	1.39882478427107e-13	0.7
ENSG00000002726	AOC1	0.0445518391579719	0.3
ENSG00000002745	WNT16	0.723737320533389	0
ENSG00000002746	HECW1	4.29573622524162e-14	-0.8
ENSG00000002822	MAD1L1	0.00260326515782155	-0.3
ENSG00000002834	LASP1	2.37734151355883e-05	-0.2
ENSG00000002919	SNX11	2.16466063857077e-17	0.3
ENSG00000002933	TMEM176A	0.00650627204470389	0.2
ENSG00000003056	M6PR	1.60562031825877e-17	0.3
ENSG00000003096	KLHL13	6.03013159788871e-33	-0.9
ENSG00000003137	CYP26B1	3.30013876009061e-21	-0.7
ENSG00000003147	ICA1	1.24982049969943e-20	-0.6
ENSG00000003249	DBNDD1	0.281197579885648	-0.1
ENSG00000003393	ALS2	0.00303858982147424	-0.1
ENSG00000003400	CASP10	4.71064781768284e-82	0.9
ENSG00000003402	CFLAR	2.34121276638558e-07	0.2
ENSG00000003436	TFPI	7.63052827320771e-05	-0.3
ENSG00000003509	NDUFAF7	0.57349858903569	0
ENSG00000003756	RBM5	0.0127413279393577	-0.2
ENSG00000003987	MTMR7	7.70240659476388e-09	-0.5
ENSG00000003989	SLC7A2	1.54221040936224e-10	-0.5
ENSG00000004059	ARF5	0.423175424797907	0.1
ENSG00000004139	SARM1	4.29123215803308e-60	-1
ENSG00000004142	POLDIP2	3.68804740402633e-10	0.3
ENSG00000004399	PLXND1	0.000231672040804993	-0.3
ENSG00000004455	AK2	2.43445355304597e-75	0.5
ENSG00000004468	CD38	1.60274944871232e-92	2.2
ENSG00000004478	FKBP4	4.8024023116042e-08	0.3
ENSG00000004487	KDM1A	1.64255192433397e-21	0.2
ENSG00000004534	RBM6	0.132752664440072	-0.1
ENSG00000004660	CAMKK1	0.0048278191747218	-0.2
ENSG00000004700	RECQL	0.16396404827747	-0.1
ENSG00000004766	VPS50	0.0281091732561607	0.1
ENSG00000004776	HSPB6	8.12373090419709e-27	-1.3
ENSG00000004777	ARHGAP33	0.0918829105751641	-0.2
ENSG00000004779	NDUFAB1	9.88655532708708e-21	0.4
ENSG00000004799	PDK4	2.21127847204716e-17	-1.3
