Gene ID	Gene Name	g4_g1.p-value	g4_g1.log2foldchange	g4_g2.p-value	g4_g2.log2foldchange	g4_g3.p-value	g4_g3.log2foldchange	g4_g5.p-value	g4_g5.log2foldchange
ENSG00000000003	TSPAN6	NA	-0.1	NA	0	NA	-0.2	NA	-0.1
ENSG00000000005	TNMD	NA	0	NA	0	NA	0	NA	0
ENSG00000000419	DPM1	0.963041553052172	0	0.489775491953679	0.3	0.272694793230313	0.6	0.801524396194542	-0.2
ENSG00000000457	SCYL3	0.868265923474174	-0.1	0.856163022262675	0.1	0.665815534537941	0.2	0.998853149080476	0
ENSG00000000460	C1orf112	0.895576278462622	0.1	0.634869118915278	-0.3	0.479898385002089	0.4	0.715197396645617	-0.2
ENSG00000000938	FGR	0.0659707970784245	0.5	0.000373969737090681	0.8	2.28628381928056e-05	0.9	0.00753300150760584	0.8
ENSG00000000971	CFH	0.925106931854008	-0.1	0.658396732088078	-0.3	0.796032992037046	0.2	0.530634033551587	-0.4
ENSG00000001036	FUCA2	0.942436573801331	0	0.612925720938391	-0.2	0.655986206199559	-0.2	0.562503074716059	-0.2
ENSG00000001084	GCLC	0.959693853133514	0	0.186489493763149	-0.6	0.1371249116161	-0.7	0.00271715078663515	-1.2
ENSG00000001167	NFYA	0.952338297226837	0	0.842720233170958	0.1	0.504272592257434	0.2	0.805526255537535	0.1
ENSG00000001460	STPG1	0.658467089591958	-0.2	0.110326457976311	-0.6	0.394556278644456	-0.4	0.705009938119396	-0.2
ENSG00000001461	NIPAL3	0.426836458463869	-0.3	0.197603436305068	-0.3	0.0403384838756944	-0.6	0.393062804290777	-0.3
ENSG00000001497	LAS1L	0.936824756799541	0	0.308082694798598	-0.3	0.403101665889229	-0.3	0.634895681475603	-0.2
ENSG00000001561	ENPP4	0.378699125462011	0.6	0.649863690949515	0.3	0.152629312954064	0.9	0.753140576236167	-0.3
ENSG00000001617	SEMA3F	NA	0	NA	-0.1	NA	-0.1	NA	-0.1
ENSG00000001626	CFTR	NA	0	NA	0	NA	0	NA	0
ENSG00000001629	ANKIB1	0.676217980935886	-0.2	0.586924440275371	-0.2	0.194055552495349	-0.5	0.071415500688594	-0.6
ENSG00000001630	CYP51A1	0.961824827617434	0	NA	-0.1	0.844537507205432	-0.2	0.752300473660562	0.2
ENSG00000001631	KRIT1	0.996140940588334	0	0.538441767729483	-0.3	0.406541478262089	-0.4	0.248282600296109	-0.5
ENSG00000002016	RAD52	0.634377422465238	-0.2	0.604665360127699	-0.2	0.353645828288896	-0.4	0.084759470227995	-0.6
ENSG00000002079	MYH16	NA	0	NA	0	NA	0	NA	0
