Gene ID	Gene Name	Design Element	g4_g1.p-value	g4_g1.t-statistic	g4_g1.log2foldchange	g4_g2.p-value	g4_g2.t-statistic	g4_g2.log2foldchange	g4_g3.p-value	g4_g3.t-statistic	g4_g3.log2foldchange
ENSG00000000003	TSPAN6	209109_PM_s_at	0.285196764784646	1.61021937795762	0.2	0.136206904371216	-1.73282099702641	-0.2	0.0291463937423608	-2.54726176892979	-0.4
ENSG00000000005	TNMD	220065_PM_at	0.6876476880021	-0.686241419096617	-0.2	0.445191429451867	0.93695095858745	0.2	0.672053119440879	-0.576274594825187	-0.2
ENSG00000000419	DPM1	202673_PM_at	NA	0.0381352419262432	0	0.816449223494711	0.30830990082574	0	0.349564961826753	1.1778836510961	0.1
ENSG00000000457	SCYL3	205607_PM_s_at	0.168635636864136	2.02355450797248	0.1	0.188152516662243	1.54625936415134	0.1	0.0357186566680473	2.45817930926569	0.2
ENSG00000000460	C1orf112	220840_PM_s_at	0.689491824736714	-0.681394543084095	0	0.00530809560378837	3.12267592730286	0.1	0.142655639776885	1.76752010843838	0.1
ENSG00000000938	FGR	208438_PM_s_at	0.0363478544410851	2.94312945441831	0.5	4.01557777591356e-14	8.72741127204865	1.1	1.05780647463144e-09	7.18731095261501	1.3
ENSG00000000971	CFH	213800_PM_at	0.736161259952584	0.584708163924065	0.1	1.29313092157658e-06	5.40800463758015	0.7	1.52380193018128e-05	4.94813880892528	0.9
ENSG00000001036	FUCA2	223120_PM_at	0.301154394536799	-1.56481455324011	-0.1	0.000408202832350786	-3.93445303298922	-0.2	6.19835581582958e-05	-4.57638839980975	-0.5
ENSG00000001084	GCLC	202922_PM_at	0.897142471973849	-0.246430206750955	0	5.79486921932371e-05	-4.47519941189629	-0.3	3.8430314089423e-05	-4.70635431529421	-0.5
ENSG00000001167	NFYA	204108_PM_at	0.0320329269526138	3.01209119430617	0.3	5.57393180256991e-05	4.48532311402191	0.3	0.000810864052377011	3.83037149610526	0.4
ENSG00000001461	NIPAL3	225876_PM_at	0.0440132462884775	2.84817779583937	0.2	0.00120797701116543	3.61024629729065	0.2	0.00165280862111621	3.60612597494609	0.3
ENSG00000001497	LAS1L	208117_PM_s_at	0.813748845601451	-0.419884892466806	0	0.213943482592965	-1.46638115369637	-0.1	0.79656049363746	-0.370806146559483	0
ENSG00000001561	ENPP4	204160_PM_s_at	0.457856273961094	1.16750312997002	0.1	0.0464964962295403	-2.26821211918923	-0.2	0.152455886128918	-1.72865554097213	-0.2
ENSG00000001617	SEMA3F	35666_PM_at	0.6105773518862	0.841915141782617	0.1	0.280546855911003	1.28656186506699	0.1	0.626950217055725	0.652110244841636	0.1
ENSG00000001626	CFTR	205043_PM_at	0.153154875099829	2.09349545736156	0.1	0.545392394727461	0.756347080629441	0	0.0288722740635001	2.55134034808274	0.2
ENSG00000001629	ANKIB1	224682_PM_at	0.370277702821017	-1.38301646211678	-0.1	6.09527244197581e-08	-6.0772638149073	-0.3	9.0078436178221e-07	-5.65382946542414	-0.5
ENSG00000001630	CYP51A1	202314_PM_at	0.218086059673426	1.82711590755765	0.1	0.881104353723152	-0.202864620205609	0	0.830740919602773	-0.310445706810584	0
ENSG00000001631	KRIT1	216713_PM_at	0.482180563708954	-1.11587862455363	-0.1	0.7259869855851	-0.455164663579213	0	0.962299510410516	-0.0742134842902341	0
ENSG00000002016	RAD52	205647_PM_at	0.465657089274766	-1.15062789674823	-0.1	0.924220308587577	-0.132034543271094	0	0.295849212961167	1.30275144702884	0.1
ENSG00000002079	MYH16	1564072_PM_at	NA	-2.00515515316348	-0.1	0.936612815378062	-0.111034129369743	0	0.982604113723181	0.0362285684976371	0
ENSG00000002330	BAD	209364_PM_at	0.138536486487974	-2.16063790040853	-0.2	0.0396324702607255	-2.34023195641661	-0.2	0.0160772302089929	-2.79250773017809	-0.3
ENSG00000002549	LAP3	217933_PM_s_at	0.316992718035779	1.52313014433917	0.2	0.00773944635808205	2.98815031568959	0.3	0.170636556249992	1.66153283218013	0.2
ENSG00000002586	CD99	201029_PM_s_at	0.421747536737754	1.25500314706712	0.1	1.53834184133982e-06	5.36789954253962	0.4	5.54716387112123e-05	4.60591147642144	0.5
ENSG00000002587	HS3ST1	205466_PM_s_at	2.10716761850412e-05	5.78848437645315	1	6.15354000451012e-19	10.6358658974689	1.3	4.36654032450766e-15	9.99115351082363	1.8
ENSG00000002745	WNT16	221113_PM_s_at	0.123178192635433	-2.23727310848762	-0.1	0.265491656750654	-1.32484417126881	-0.1	0.517490281447181	-0.844176143767852	0
