Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange	g2_g3.p-value	g2_g3.log2foldchange
ENSG00000000003	TSPAN6	3.78884096540936e-07	-0.9	4.42779805692195e-06	-0.9
ENSG00000000005	TNMD	0.00123923390473349	-0.8	4.64136516773403e-05	-1.2
ENSG00000000419	DPM1	0.0900861624747875	-0.1	0.224940876371673	0.1
ENSG00000000457	SCYL3	0.250514905165427	-0.1	0.489502645214256	-0.1
ENSG00000000460	C1orf112	0.995805913441706	0	0.126791323346435	0.2
ENSG00000000938	FGR	1.63473695487744e-10	1.4	3.53566817843742e-16	1.9
ENSG00000000971	CFH	0.000301117984075409	0.9	0.000424384488536229	0.9
ENSG00000001036	FUCA2	7.17251768828197e-09	-0.5	0.370871962125647	-0.1
ENSG00000001084	GCLC	0.0302727462280823	0.3	0.674595967058509	0.1
ENSG00000001167	NFYA	0.00282702745741341	0.3	0.0839288663339523	0.2
ENSG00000001460	STPG1	7.62072283223621e-12	-0.8	1.54629589021557e-07	-0.8
ENSG00000001461	NIPAL3	0.0121482465758791	-0.2	0.000226696763644697	-0.3
ENSG00000001497	LAS1L	0.253994606453171	-0.1	0.128401679447735	-0.1
ENSG00000001561	ENPP4	0.237583543709918	-0.2	0.952699650823404	0
ENSG00000001617	SEMA3F	0.00674579508429364	0.4	2.16838905325095e-07	0.9
ENSG00000001626	CFTR	7.2703496354751e-05	-1	2.18979575758335e-06	-1.5
ENSG00000001629	ANKIB1	0.0424578705841011	0.3	0.013902515638777	0.4
ENSG00000001630	CYP51A1	0.197441591182405	-0.3	0.217493455066208	0.4
ENSG00000001631	KRIT1	0.0459048781415902	0.3	0.0738793943427012	0.3
ENSG00000002016	RAD52	0.261373686588926	-0.1	0.0418820726894458	-0.2
ENSG00000002079	MYH16	0.975812028254162	0	0.904884613362372	0
ENSG00000002330	BAD	4.0989284731699e-09	-1	2.29796425359965e-05	-0.9
ENSG00000002549	LAP3	4.96599634434122e-05	0.4	7.44405515322695e-17	1
