Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange
ENSG00000000003	TSPAN6	209109_s_at	0.541815260281407	0.924106014606786	0
ENSG00000000005	TNMD	220065_at	0.162892360426904	-2.06563134972079	-0.1
ENSG00000000419	DPM1	202673_at	0.0669114252934146	2.90533419785082	0.2
ENSG00000000457	SCYL3	205607_s_at	0.177964026932215	1.99463393771973	0.1
ENSG00000000460	C1orf112	220840_s_at	0.608172004857239	0.794803729878025	0
ENSG00000000938	FGR	208438_s_at	0.766593917487656	-0.487040488492815	0
ENSG00000000971	CFH	213800_at	0.655583491135047	-0.700638933618514	0
ENSG00000001036	FUCA2	223120_at	0.619151441829085	0.771465063635517	0
ENSG00000001084	GCLC	202923_s_at	0.0949823310666301	2.56246363402191	0.1
ENSG00000001167	NFYA	204108_at	0.615165033643055	0.778955857800157	0
ENSG00000001460	STPG1	227694_at	NA	-2.04198708730809	0
ENSG00000001461	NIPAL3	225876_at	0.786863532614489	0.44695629963667	0
ENSG00000001497	LAS1L	208117_s_at	0.949883404246355	0.116557801815673	0
ENSG00000001561	ENPP4	204160_s_at	0.0796762553173099	2.74225592069113	0.2
ENSG00000001617	SEMA3F	209730_at	NA	0.982133816540508	0
ENSG00000001626	CFTR	205043_at	NA	-0.742740087887133	0
ENSG00000001629	ANKIB1	224687_at	0.911230119113978	0.201073272884427	0
ENSG00000002016	RAD52	211904_x_at	0.30493888380343	1.50030853273442	0.1
ENSG00000002079	MYH16	1564072_at	NA	-1.03979060372049	0
ENSG00000002330	BAD	209364_at	0.458298218348492	1.10041919549659	0
ENSG00000002549	LAP3	217933_s_at	0.0666520856769685	2.91478779572261	0.2
ENSG00000002586	CD99	201029_s_at	0.30465533617099	1.50199872418611	0.1
ENSG00000002587	HS3ST1	205465_x_at	NA	0.230931568850056	0
ENSG00000002726	AOC1	203559_s_at	0.32261396704006	-1.4486499034892	0
ENSG00000002745	WNT16	221113_s_at	NA	0.860846608699757	0
ENSG00000002746	HECW1	215584_at	NA	-1.12547452010332	0
ENSG00000002834	LASP1	200618_at	0.265534628678605	1.62751025473052	0.1
ENSG00000002919	SNX11	220140_s_at	NA	-0.765722702981177	0
ENSG00000002933	TMEM176A	218345_at	0.906412967966653	0.212345798587236	0
ENSG00000003056	M6PR	200901_s_at	0.327283245241963	1.43590975721813	0
ENSG00000003096	KLHL13	227875_at	NA	-2.29197905044276	0
ENSG00000003137	CYP26B1	234721_s_at	NA	-0.438547174794648	0
ENSG00000003147	ICA1	210547_x_at	0.135896983194612	-2.21339922820437	-0.1
ENSG00000003249	DBNDD1	222234_s_at	NA	-0.849885667008272	0
ENSG00000003393	ALS2	226291_at	0.917243424323053	-0.188229511352008	0
ENSG00000003400	CASP10	205467_at	0.239716840065086	1.72266558438694	0.1
ENSG00000003402	CFLAR	209939_x_at	0.0386528529072879	3.40735969247835	0.1
ENSG00000003436	TFPI	210664_s_at	0.17439671320556	2.01385055745758	0.1
ENSG00000003509	NDUFAF7	223560_s_at	0.438402791803965	1.14682277687236	0
ENSG00000003756	RBM5	201395_at	0.654591110782408	0.7036075230715	0
ENSG00000003987	MTMR7	243804_at	NA	-1.88529488925243	0
ENSG00000003989	SLC7A2	225516_at	NA	-1.4487796238553	0
ENSG00000004139	SARM1	213259_s_at	NA	1.08054785012217	0
ENSG00000004142	POLDIP2	217806_s_at	NA	0.506767630683038	0
ENSG00000004399	PLXND1	38671_at	0.518705871517082	0.969829521644272	0
ENSG00000004455	AK2	212174_at	0.735078659585022	0.545672721112762	0
ENSG00000004468	CD38	205692_s_at	0.16208582463731	2.0696801017429	0.1
ENSG00000004478	FKBP4	200895_s_at	0.566640701507923	0.875840837136044	0
ENSG00000004487	KDM1A	212348_s_at	NA	-0.609090821704718	0
ENSG00000004534	RBM6	201967_at	0.509165594694213	0.993405299060447	0
ENSG00000004660	CAMKK1	223460_at	NA	1.69752035099384	0
ENSG00000004700	RECQL	212918_at	0.268103010919399	1.61902037852903	0.1
ENSG00000004766	VPS50	226031_at	0.280133181030067	1.57476307889994	0.1
ENSG00000004776	HSPB6	226304_at	0.0806100480265638	-2.73094314654477	-0.1
ENSG00000004777	ARHGAP33	213827_at	NA	-1.17318342914292	0
ENSG00000004779	NDUFAB1	202077_at	0.0462784129469765	3.2605571359628	0.2
ENSG00000004799	PDK4	205960_at	0.590792705957352	0.829568271798363	0
ENSG00000004809	SLC22A16	232232_s_at	0.590540184846661	-0.829984605824164	0
ENSG00000004846	ABCB5	1555371_at	NA	-1.08987386425496	0
ENSG00000004848	ARX	238878_at	0.931858536960417	-0.157027649627363	0
ENSG00000004864	SLC25A13	203775_at	0.984507161289293	0.0384936245655659	0
ENSG00000004866	ST7	207871_s_at	0.835316040157629	0.35279308246929	0
ENSG00000004897	CDC27	217880_at	0.177182587070212	1.9981986016546	0.1
ENSG00000004939	SLC4A1	205592_at	0.866159373107169	0.293244323275016	0
ENSG00000004948	CALCR	207887_s_at	0.691646380176371	-0.631256346618617	0
ENSG00000004961	HCCS	203746_s_at	0.672552294946628	0.66721261802474	0
ENSG00000004975	DVL2	57532_at	NA	0.0627824502614572	0
ENSG00000005001	PRSS22	205847_at	NA	1.17240913338436	0
ENSG00000005007	UPF1	211168_s_at	0.711445742451299	0.590513343469917	0
ENSG00000005020	SKAP2	204362_at	0.420282551759551	1.18967802936717	0.1
ENSG00000005022	SLC25A5	200657_at	0.121098755523412	2.3133852016172	0.1
ENSG00000005059	MCUB	218802_at	0.403674115850983	1.23397281737761	0.1
ENSG00000005073	HOXA11	213823_at	NA	-0.957914098277427	0
ENSG00000005100	DHX33	222875_at	0.992741584563215	0.0172153285660904	0
