Entrez Gene id	Prediction confidence (1 for BKZ HDFs)
6626	1
7818	1
23636	1
24148	1
51010	1
4700	1
29978	1
6634	1
5394	1
23054	1
9330	1
5479	1
3837	1
6613	1
112950	1
4736	1
2147	1
57122	1
57473	1
3146	1
5269	1
219541	1
3187	1
6687	1
200186	1
374291	1
4134	1
2891	1
4023	1
22893	1
30818	1
5347	1
22938	1
9774	1
9743	1
5583	1
4713	1
57154	1
10179	1
2631	1
1956	1
5705	1
10762	1
640	1
57576	1
7805	1
7421	1
29959	1
80762	1
9853	1
11214	1
4771	1
10602	1
2965	1
9140	1
7178	1
1173	1
5439	1
5432	1
1654	1
11337	1
23279	1
23299	1
5438	1
6141	1
10992	1
2071	1
2059	1
26230	1
51586	1
5908	1
27336	1
1207	1
375	1
1380	1
6431	1
3111	1
9282	1
30834	1
166	1
220164	1
5664	1
23291	1
6422	1
6183	1
6924	1
6150	1
9150	1
5903	1
920	1
51003	1
6382	1
5710	1
2923	1
23256	1
2957	1
79879	1
121506	1
6811	1
22796	1
23013	1
858	1
58506	1
5440	1
9441	1
5870	1
1803	1
4820	1
9802	1
5372	1
11193	1
64425	1
2962	1
10594	1
2122	1
4105	1
10728	1
8021	1
790	1
5702	1
1974	1
9972	1
25791	1
5236	1
56893	1
6711	1
5683	1
388677	1
5795	1
8667	1
55746	1
10656	1
6709	1
9440	1
79902	1
11345	1
3185	1
4361	1
84078	1
4904	1
6885	1
4705	1
1410	1
9170	1
65109	1
5704	1
5686	1
51807	1
285761	1
80306	1
331	1
6907	1
8565	1
10928	1
8893	1
5586	1
5297	1
9631	1
10043	1
6427	1
6136	1
5694	1
2966	1
2339	1
10181	1
1778	1
8487	1
10482	1
7386	1
4726	1
5430	1
57551	1
7372	1
10959	1
5437	1
91754	1
5688	1
11065	1
9570	1
51362	1
5886	1
26156	1
7320	1
7450	1
9861	1
5799	1
5211	1
5813	1
56915	1
8863	1
26003	1
54205	1
6627	1
9416	1
9921	1
9443	1
10963	1
2067	1
7332	1
5721	1
5682	1
55791	1
1211	1
7384	1
29882	1
9020	1
