Creation Time:	2022-12-30 01:17:45

INPUT:
File name:	
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.2
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3584577864672758
Maximal possible value for alpha and beta:	0.3584577864672758
Probability parameter change:	0.2
seed for RNG:	2711106143

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2133
Total number of genes:	7039
Number of perturbed genes:	5853
Proportion perturbed genes:	0.8315101576928541

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3584577864672758
beta (FNR):	0.16130600391027408
q (penalization parameter):	0.009376465072667605


Best log-likelihood value (mean +- standard deviation across replicates):	-3826.296030761332 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	263	216	1.0	0.0	1.082e+04	1.395	0.482	immune response-regulating cell surface receptor signaling pathway
2	223	192	1.0	0.0	6.221e+03	1.519	0.486	generation of precursor metabolites and energy
3	270	228	1.0	0.0	1.003e+04	1.251	0.494	DNA repair
4	281	235	1.0	0.0	1.137e+04	1.478	0.465	transcription from RNA polymerase II promoter
5	171	147	1.0	0.0	3.725e+03	1.391	0.504	transcription initiation from RNA polymerase II promoter
6	32	25	1.0	0.0	2.030e+02	1.037	0.524	transcription from RNA polymerase III promoter
7	137	120	1.0	0.0	2.146e+03	1.767	0.379	translation
8	411	338	1.0	0.0	2.562e+04	1.756	0.447	protein phosphorylation
9	151	129	1.0	0.0	3.018e+03	1.431	0.48	cellular amino acid metabolic process
10	184	158	1.0	0.0	4.330e+03	1.688	0.441	protein targeting
11	163	144	1.0	0.0	2.850e+03	1.718	0.485	anion transport
12	212	183	1.0	0.0	5.549e+03	1.912	0.464	endocytosis
13	176	146	1.0	0.0	4.713e+03	1.652	0.459	chemotaxis & taxis
14	178	154	1.0	0.0	3.884e+03	2.029	0.419	response to oxidative stress
15	92	73	1.0	0.0	1.556e+03	1.959	0.383	response to unfolded protein
16	311	263	1.0	0.0	1.312e+04	1.577	0.481	small GTPase mediated signal transduction
17	316	261	1.0	0.0	1.511e+04	1.174	0.542	synaptic transmission
18	246	199	1.0	0.0	1.008e+04	1.089	0.568	multicellular organismal development
19	185	153	1.0	0.0	5.268e+03	1.539	0.505	nervous system development
20	295	245	1.0	0.0	1.290e+04	1.809	0.468	axon guidance & neuron projection guidance
21	81	64	1.0	0.0	1.227e+03	1.165	0.53	central nervous system development
22	394	330	1.0	0.0	2.176e+04	2.009	0.409	hemostasis
23	215	190	1.0	0.0	4.901e+03	1.497	0.483	response to light stimulus
24	161	129	1.0	0.0	4.542e+03	1.256	0.521	Wnt signaling pathway
25	151	128	1.0	0.0	3.144e+03	1.413	0.497	protein processing
26	279	233	1.0	0.0	1.128e+04	1.292	0.504	chromatin modification
27	184	158	1.0	0.0	4.330e+03	2.058	0.424	actin cytoskeleton organization
