Creation Time:	2023-01-02 23:02:09

INPUT:
File name:	/Users/ckadelka/Library/CloudStorage/Box-Box/GOEnrichment_with_Xinglin/python/CRFE/crfe_v019.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.2
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.27937194069692445
Maximal possible value for alpha and beta:	0.27937194069692445
Probability parameter change:	0.2
seed for RNG:	1977070621

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2133
Total number of genes:	7039
Number of perturbed genes:	5853
Proportion perturbed genes:	0.8315101576928541

OUTPUT:
Learnt parameters:
alpha (FPR):	0.27937194069692445
beta (FNR):	0.15365456738330846
q (penalization parameter):	0.009376465072667605


Best log-likelihood value (mean +- standard deviation across replicates):	-3890.6221826292435 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	307	283	1.0	0.0	6.736e+03	1.787	0.41	mitotic cell cycle
2	83	71	1.0	0.0	9.188e+02	1.761	0.452	ossification
3	212	177	1.0	0.0	6.599e+03	1.863	0.452	regulation of cell growth
4	93	82	1.0	0.0	9.546e+02	1.984	0.448	ameboidal cell migration
5	263	216	1.0	0.0	1.082e+04	1.395	0.482	immune response-regulating cell surface receptor signaling pathway
6	223	192	1.0	0.0	6.221e+03	1.519	0.486	generation of precursor metabolites and energy
7	270	228	1.0	0.0	1.003e+04	1.251	0.494	DNA repair
8	195	164	1.0	0.0	5.410e+03	1.344	0.506	DNA-templated transcription, initiation
9	281	235	1.0	0.0	1.137e+04	1.478	0.465	transcription from RNA polymerase II promoter
10	137	120	1.0	0.0	2.146e+03	1.767	0.379	translation
11	129	110	1.0	0.0	2.235e+03	1.835	0.428	protein folding
12	411	338	1.0	0.0	2.562e+04	1.756	0.447	protein phosphorylation
13	100	80	1.0	0.0	1.783e+03	1.566	0.471	protein dephosphorylation
14	184	158	1.0	0.0	4.330e+03	1.688	0.441	protein targeting
15	212	183	1.0	0.0	5.549e+03	1.912	0.464	endocytosis
16	155	128	1.0	0.0	3.742e+03	1.762	0.48	muscle contraction
17	275	224	1.0	0.0	1.221e+04	1.261	0.525	inflammatory response
18	245	205	1.0	0.0	8.674e+03	1.811	0.455	microtubule-based process
19	311	263	1.0	0.0	1.312e+04	1.577	0.481	small GTPase mediated signal transduction
20	246	199	1.0	0.0	1.008e+04	1.089	0.568	multicellular organismal development
21	295	245	1.0	0.0	1.290e+04	1.809	0.468	axon guidance & neuron projection guidance
22	394	330	1.0	0.0	2.176e+04	2.009	0.409	hemostasis
23	90	77	1.0	0.0	1.077e+03	1.431	0.493	lipid catabolic process
24	161	129	1.0	0.0	4.542e+03	1.256	0.521	Wnt signaling pathway
25	279	233	1.0	0.0	1.128e+04	1.292	0.504	chromatin modification
26	164	141	1.0	0.0	3.428e+03	1.595	0.443	antigen processing and presentation
27	226	191	1.0	0.0	7.055e+03	1.982	0.424	actin filament-based process
28	229	202	1.0	0.0	5.618e+03	2.042	0.42	extracellular matrix organization
29	370	311	1.0	0.0	1.895e+04	1.424	0.498	regulation of cellular catabolic process
