Creation Time:	2023-01-02 23:14:03

INPUT:
File name:	
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	10
Method:	MCMC with an empty set as initial set
repeats:	1
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	fixed
Maximal possible value for alpha and beta:	fixed
Probability parameter change:	0
seed for RNG:	3457718176

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	3657
Proportion perturbed genes:	0.3000246123554024

OUTPUT:
Learnt parameters:
alpha (FPR):	0.1 (fixed)
beta (FNR):	0.25 (fixed)
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-9160.98533384223 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	90	39	1.0	0.0	3.349e+03	0.244	0.51	transition metal ion transport
2	150	71	1.0	0.0	8.754e+03	0.324	0.526	G1/S transition of mitotic cell cycle & cell cycle G1/S phase transition
3	305	120	1.0	0.0	4.011e+04	0.316	0.4	nuclear division
4	21	15	1.0	0.0	1.120e+02	0.852	0.326	sister chromatid segregation
5	155	68	1.0	0.0	9.800e+03	0.295	0.368	skeletal system development
6	66	27	1.0	0.0	1.872e+03	0.061	0.449	aminoglycan catabolic process
7	40	24	1.0	0.0	5.205e+02	0.481	0.547	purine nucleobase metabolic process
8	97	54	1.0	0.0	3.261e+03	0.513	0.387	nucleosome assembly
9	255	121	1.0	0.0	2.513e+04	0.31	0.7	translation
10	395	174	1.0	0.0	6.283e+04	0.213	0.514	cellular amino acid metabolic process
11	87	35	1.0	0.0	3.271e+03	0.064	0.357	neuropeptide signaling pathway
12	57	28	1.0	0.0	1.247e+03	0.495	0.232	digestion
13	26	12	1.0	0.0	2.758e+02	0.291	0.474	L-amino acid transport
14	111	49	1.0	0.0	5.025e+03	0.334	0.438	carbohydrate catabolic process
15	20	11	1.0	0.0	1.449e+02	0.586	0.196	calcium-independent cell-cell adhesion
16	35	21	1.0	0.0	3.997e+02	0.615	0.463	DNA strand elongation
17	40	19	1.0	0.0	6.323e+02	0.592	0.27	endocrine pancreas development
18	25	13	1.0	0.0	2.348e+02	0.404	0.369	tumor necrosis factor-mediated signaling pathway
19	22	13	1.0	0.0	1.629e+02	0.204	0.477	regulation of astrocyte differentiation
20	22	15	1.0	0.0	1.339e+02	0.594	0.365	regulation of branching involved in ureteric bud morphogenesis
21	76	34	0.93152	0.0	2.347e+03	0.342	0.441	epidermal cell differentiation
22	29	13	0.8644	0.0	3.487e+02	0.354	0.323	intermediate filament cytoskeleton organization
23	37	15	0.85012	0.0	5.993e+02	0.099	0.349	neural precursor cell proliferation
24	20	11	0.84648	0.0	1.449e+02	0.336	0.34	retinoic acid metabolic process
25	31	18	0.72472	0.0	3.258e+02	0.211	0.435	central nervous system neuron development
26	25	11	0.69348	0.0	2.638e+02	0.132	0.52	regulation of activated T cell proliferation
27	21	12	0.65356	0.0	1.539e+02	0.936	0.268	neuron fate specification
28	60	30	0.64408	0.0	1.364e+03	0.246	0.553	pigment metabolic process
29	92	48	0.56912	0.0	3.096e+03	0.229	0.589	protein N-linked glycosylation via asparagine
30	51	23	0.56792	0.0	1.058e+03	0.59	0.284	O-glycan processing
31	37	18	0.55428	0.0	5.334e+02	0.317	0.479	carbohydrate derivative transport
32	70	40	0.54616	0.0	1.663e+03	0.764	0.322	collagen catabolic process
33	21	10	0.54548	0.0	1.779e+02	0.339	0.521	positive regulation of release of cytochrome c from mitochondria
34	20	9	0.51992	0.0	1.679e+02	0.166	0.452	establishment or maintenance of apical/basal cell polarity & establishment or maintenance of bipolar cell polarity
