Creation Time:	2023-01-02 23:01:37

INPUT:
File name:	/Users/ckadelka/Library/CloudStorage/Box-Box/GOEnrichment_with_Xinglin/python/CRFE/crfe_v019.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.2
threshold type:	levels
belief:	10
Method:	MCMC with an empty set as initial set
repeats:	1
burnin steps:	50000
MCMC steps:	50000
Maximal value for alpha and beta:	fixed
Maximal possible value for alpha and beta:	fixed
Probability parameter change:	0
seed for RNG:	1940997337

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	4438
Proportion perturbed genes:	0.36409877758634834

OUTPUT:
Learnt parameters:
alpha (FPR):	0.1 (fixed)
beta (FNR):	0.25 (fixed)
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-10043.799428031465 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	90	42	1.0	0.0	3.196e+03	0.244	0.46	transition metal ion transport
2	150	86	1.0	0.0	7.556e+03	0.324	0.516	G1/S transition of mitotic cell cycle & cell cycle G1/S phase transition
3	155	76	1.0	0.0	9.127e+03	0.295	0.367	skeletal system development
4	66	30	1.0	0.0	1.755e+03	0.061	0.423	aminoglycan catabolic process
5	22	12	1.0	0.0	1.759e+02	0.342	0.422	glycerol metabolic process
6	175	91	1.0	0.0	1.116e+04	0.365	0.495	DNA replication
7	363	172	1.0	0.0	5.073e+04	0.241	0.56	DNA repair
8	255	158	1.0	0.0	1.996e+04	0.31	0.653	translation
9	395	199	1.0	0.0	5.765e+04	0.213	0.486	cellular amino acid metabolic process
10	46	24	1.0	0.0	7.810e+02	0.197	0.627	protein targeting to mitochondrion
11	321	131	1.0	0.0	4.346e+04	-0.003	0.464	anion transport
12	48	20	1.0	0.0	9.854e+02	-0.011	0.428	regulation of pH
13	37	23	1.0	0.0	4.276e+02	0.211	0.636	vesicle coating
14	87	37	1.0	0.0	3.166e+03	0.064	0.329	neuropeptide signaling pathway
15	38	17	1.0	0.0	5.942e+02	0.082	0.311	peripheral nervous system development
16	57	29	1.0	0.0	1.217e+03	0.495	0.216	digestion
17	46	21	1.0	0.0	8.557e+02	0.056	0.337	excretion
18	109	52	1.0	0.0	4.612e+03	0.5	0.337	epidermis development
19	50	23	1.0	0.0	1.004e+03	0.116	0.464	cellular response to starvation
20	76	37	1.0	0.0	2.221e+03	0.342	0.409	epidermal cell differentiation
21	61	22	1.0	0.0	1.716e+03	-0.058	0.421	epithelial cell migration
22	111	60	1.0	0.0	4.374e+03	0.334	0.464	carbohydrate catabolic process
23	20	11	1.0	0.0	1.449e+02	0.586	0.161	calcium-independent cell-cell adhesion
24	28	12	1.0	0.0	3.347e+02	0.324	0.366	regulation of calcium ion-dependent exocytosis
25	31	19	1.0	0.0	3.068e+02	0.211	0.389	central nervous system neuron development
26	36	16	1.0	0.0	5.364e+02	0.373	0.253	neurogenesis
27	55	33	1.0	0.0	9.787e+02	0.268	0.649	ribonucleoprotein complex biogenesis
28	97	49	1.0	0.0	3.519e+03	0.152	0.698	respiratory electron transport chain
29	40	20	1.0	0.0	6.103e+02	0.592	0.253	endocrine pancreas development
30	63	27	1.0	0.0	1.660e+03	0.119	0.399	biomineral tissue development
31	25	14	1.0	0.0	2.208e+02	0.404	0.347	tumor necrosis factor-mediated signaling pathway
32	20	13	1.0	0.0	1.199e+02	0.629	0.377	positive regulation of tissue remodeling
33	289	152	1.0	0.0	3.004e+04	0.229	0.646	ncRNA metabolic process
