Creation Time:	2022-08-30 17:50:16

INPUT:
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	5000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	3890607908

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	6430
Proportion perturbed genes:	0.5275248174583641

OUTPUT:
Learnt parameters:
alpha (FPR):	0.1064516129032258
beta (FNR):	0.2306451612903226
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-10603.891436165575 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	90	59	1.0	0.0	2.299e+03	0.244	transition metal ion transport
2	380	268	1.0	0.0	3.450e+04	0.327	mitotic cell cycle
3	196	126	1.0	0.0	1.102e+04	0.213	monosaccharide metabolic process
4	213	112	1.0	0.0	1.604e+04	-0.025	DNA-templated transcription, initiation
5	255	235	1.0	0.0	4.724e+03	0.31	translation
6	188	130	1.0	0.0	9.021e+03	0.142	protein folding
7	244	155	1.0	0.0	1.724e+04	0.217	protein glycosylation & macromolecule glycosylation
8	226	147	1.0	0.0	1.434e+04	0.349	mitotic nuclear division
9	323	184	1.0	0.0	3.388e+04	0.118	gamete generation
10	425	214	1.0	0.0	6.405e+04	-0.0	sensory perception
11	175	115	1.0	0.0	8.532e+03	0.134	nucleotide biosynthetic process
12	368	221	1.0	0.0	4.134e+04	0.187	regulation of cell cycle process
13	250	123	1.0	0.0	2.304e+04	0.107	epithelial cell differentiation
14	440	250	1.0	0.0	6.204e+04	0.049	monocarboxylic acid metabolic process
15	429	270	1.0	0.0	5.258e+04	0.154	cellular macromolecular complex assembly
