Creation Time:	2022-11-29 14:43:21

INPUT:
File name:	crfe_v017.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	50000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	3141326238

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	6430
Proportion perturbed genes:	0.5275248174583641

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-8886.716937184814 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	155	91	1.0	0.0	7.751e+03	0.295	skeletal system development
2	125	57	1.0	0.0	6.167e+03	0.057	ameboidal cell migration
3	59	36	1.0	0.0	1.097e+03	0.418	cell fate specification
4	376	240	1.0	0.0	3.992e+04	0.056	generation of precursor metabolites and energy
5	175	127	1.0	0.0	7.101e+03	0.365	DNA replication
6	363	261	1.0	0.0	3.032e+04	0.241	DNA repair
7	255	235	1.0	0.0	4.724e+03	0.31	translation
8	395	265	1.0	0.0	4.074e+04	0.213	cellular amino acid metabolic process
9	226	147	1.0	0.0	1.434e+04	0.349	mitotic nuclear division
10	87	40	1.0	0.0	2.994e+03	0.064	neuropeptide signaling pathway
11	464	247	1.0	0.0	7.286e+04	0.051	multicellular organismal development
12	57	34	1.0	0.0	1.051e+03	0.495	digestion
13	425	214	1.0	0.0	6.405e+04	-0.0	sensory perception
14	109	61	1.0	0.0	4.050e+03	0.5	epidermis development
15	388	178	1.0	0.0	5.706e+04	0.064	organ morphogenesis
16	220	98	1.0	0.0	1.911e+04	-0.062	lipid catabolic process
17	20	12	1.0	0.0	1.327e+02	0.586	calcium-independent cell-cell adhesion
18	402	196	1.0	0.0	5.875e+04	-0.102	metal ion transport
19	440	250	1.0	0.0	6.204e+04	0.049	monocarboxylic acid metabolic process
20	25	15	1.0	0.0	2.054e+02	0.404	tumor necrosis factor-mediated signaling pathway
