Creation Time:	2022-12-29 16:59:26

INPUT:
File name:	/home/ahphan/RotationData/Kadelka/CRFE/gith/crfe_v017.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.9
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	3584765824

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	10970
Proportion perturbed genes:	0.8999917958815326

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.08870967741935484
q (penalization parameter):	0.004


Best log-likelihood value (mean +- standard deviation across replicates):	-5117.489057721485 +- 12.027991381430446

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	380	377	1.0	0.0	1.099e+03	0.327	mitotic cell cycle
2	363	361	1.0	0.0	7.021e+02	0.241	DNA repair
3	327	306	1.0	0.0	6.466e+03	0.013	transcription from RNA polymerase II promoter
4	255	254	1.0	0.0	2.501e+02	0.31	translation
5	188	180	1.0	0.0	1.452e+03	0.142	protein folding
6	395	370	1.0	0.0	9.242e+03	0.213	cellular amino acid metabolic process
7	417	382	1.0	0.0	1.349e+04	-0.102	small GTPase mediated signal transduction
8	464	408	1.0	0.0	2.347e+04	0.051	multicellular organismal development
9	425	367	1.0	0.0	2.217e+04	-0.0	sensory perception
10	133	129	1.0	0.0	5.207e+02	-0.053	endosomal transport
11	393	385	1.0	0.0	3.007e+03	0.099	chromatin modification
12	429	408	1.0	0.0	8.465e+03	0.154	cellular macromolecular complex assembly
13	450	385	1.0	0.0	2.614e+04	-0.136	negative regulation of cell differentiation
14	170	166	1.0	0.0	6.647e+02	0.061	Golgi vesicle transport
15	293	244	0.9931	0.02069	1.286e+04	-0.164	regulation of cell growth
16	220	196	0.98697	0.03908	4.910e+03	-0.062	lipid catabolic process
17	422	355	0.97622	0.07133	2.514e+04	-0.115	synaptic transmission
18	402	337	0.97265	0.08204	2.324e+04	-0.102	metal ion transport
19	477	426	0.96559	0.10324	2.210e+04	-0.097	protein phosphorylation
20	368	347	0.96173	0.1148	7.274e+03	0.026	posttranscriptional regulation of gene expression
21	281	237	0.95634	0.10356	1.115e+04	-0.069	nervous system development
22	254	215	0.951	0.07511	8.970e+03	-0.33	endocytosis
23	162	140	0.90164	0.20057	3.288e+03	-0.118	lipid transport
24	376	344	0.9	0.3	1.116e+04	0.056	generation of precursor metabolites and energy
25	389	332	0.9	0.3	1.990e+04	0.061	pattern specification process
26	258	219	0.9	0.3	9.119e+03	-0.081	detection of stimulus
27	238	201	0.9	0.3	7.978e+03	0.111	epithelium development
28	359	329	0.89791	0.29937	1.001e+04	0.028	microtubule-based process
29	203	195	0.87447	0.29617	1.568e+03	0.059	antigen processing and presentation
30	196	181	0.86858	0.3043	2.787e+03	0.213	monosaccharide metabolic process
31	328	281	0.86803	0.29619	1.394e+04	-0.091	protein oligomerization
32	343	317	0.86028	0.31025	8.336e+03	0.094	carbohydrate derivative biosynthetic process
33	179	144	0.86	0.30292	5.587e+03	-0.291	cell-cell adhesion
34	175	173	0.8582	0.29325	3.445e+02	0.365	DNA replication
35	369	359	0.85702	0.3131	3.525e+03	0.093	mRNA processing
36	72	69	0.84426	0.18816	2.126e+02	-0.038	autophagy
37	388	353	0.83138	0.29038	1.255e+04	0.026	nitrogen compound transport
38	482	435	0.8	0.4	2.067e+04	-0.077	regulation of cellular catabolic process
39	153	141	0.795	0.39778	1.747e+03	-0.076	dephosphorylation
40	308	268	0.78724	0.35931	1.124e+04	-0.154	regulation of cell morphogenesis
41	234	224	0.78423	0.39488	2.248e+03	0.115	cofactor metabolic process
42	213	200	0.77772	0.39441	2.641e+03	-0.025	DNA-templated transcription, initiation
43	209	208	0.76164	0.3889	2.060e+02	0.166	RNA catabolic process
44	461	424	0.76054	0.31533	1.573e+04	0.019	peptidyl-amino acid modification
45	388	339	0.74743	0.34883	1.725e+04	0.064	organ morphogenesis
46	197	184	0.73428	0.41543	2.441e+03	-0.042	regulation of I-kappaB kinase/NF-kappaB signaling
47	374	335	0.73389	0.37831	1.340e+04	-0.024	regulation of protein serine/threonine kinase activity
48	440	393	0.72644	0.42341	1.886e+04	0.049	monocarboxylic acid metabolic process
49	368	350	0.72457	0.39094	6.260e+03	0.187	regulation of cell cycle process
50	248	219	0.71897	0.29764	6.643e+03	-0.098	response to oxidative stress
51	285	247	0.70119	0.37543	9.882e+03	-0.279	actin filament-based process
52	419	374	0.70065	0.45298	1.722e+04	-0.045	organic hydroxy compound metabolic process
53	54	54	0.70007	0.29784	9.951e-01	0.159	cell redox homeostasis
54	229	201	0.7	0.45826	5.917e+03	-0.042	negative regulation of hydrolase activity
55	475	455	0.6908	0.45304	8.917e+03	0.033	protein modification by small protein conjugation
56	184	179	0.68753	0.2962	8.960e+02	0.319	chromosome organization
57	465	393	0.68724	0.45145	2.971e+04	-0.163	secretion
58	350	295	0.67977	0.38401	1.724e+04	-0.212	inflammatory response
59	306	290	0.6716	0.43673	4.647e+03	0.283	cellular component disassembly
60	329	321	0.65991	0.44618	2.528e+03	0.304	organelle fission
61	453	382	0.65932	0.43868	2.855e+04	-0.309	blood coagulation & coagulation
62	151	141	0.65244	0.43764	1.447e+03	0.051	membrane lipid metabolic process
63	312	301	0.6406	0.28166	3.284e+03	0.222	cell division
64	289	287	0.6297	0.4574	5.629e+02	0.229	ncRNA metabolic process
65	443	393	0.61315	0.39083	2.013e+04	-0.202	regulation of defense response
66	437	374	0.60664	0.47502	2.463e+04	-0.103	ion homeostasis
67	194	178	0.60661	0.4747	2.934e+03	0.037	protein processing
68	321	283	0.6	0.4899	1.118e+04	-0.003	anion transport
69	329	298	0.6	0.4899	9.457e+03	-0.165	leukocyte activation
70	218	180	0.6	0.4899	7.444e+03	-0.223	single organism cell adhesion
71	387	359	0.59301	0.41583	1.010e+04	0.047	purine-containing compound metabolic process
72	216	202	0.57569	0.44569	2.878e+03	-0.02	organelle assembly
73	315	309	0.57299	0.4743	1.823e+03	0.103	modification-dependent protein catabolic process
74	470	435	0.56878	0.47307	1.520e+04	-0.004	lipid biosynthetic process
75	378	343	0.56682	0.35049	1.222e+04	0.032	response to radiation
76	273	239	0.56562	0.42118	8.519e+03	-0.179	regulation of small GTPase mediated signal transduction
77	246	207	0.56364	0.32578	8.671e+03	-0.149	ion transmembrane transport
78	294	252	0.55774	0.41965	1.120e+04	-0.076	growth
79	364	317	0.55607	0.46534	1.553e+04	-0.098	response to other organism
80	333	305	0.55252	0.46371	8.687e+03	0.038	carbohydrate derivative catabolic process
81	426	357	0.54742	0.45394	2.608e+04	-0.125	behavior
82	346	302	0.54511	0.43054	1.386e+04	-0.101	axon guidance & neuron projection guidance
83	244	228	0.53776	0.47442	3.704e+03	0.217	protein glycosylation & macromolecule glycosylation
84	407	363	0.51838	0.39867	1.637e+04	-0.136	regulation of protein localization
85	296	260	0.51246	0.43495	9.773e+03	-0.112	macromolecule localization
86	262	255	0.50992	0.47003	1.771e+03	0.126	protein targeting
87	247	231	0.46224	0.47442	3.750e+03	0.215	glycosylation
88	270	262	0.46199	0.46078	2.081e+03	0.156	establishment of protein localization to organelle
89	241	223	0.4573	0.37754	4.098e+03	-0.098	positive regulation of cytokine production
90	316	274	0.45447	0.44664	1.208e+04	-0.092	response to inorganic substance
91	478	441	0.45149	0.46298	1.631e+04	0.081	organonitrogen compound catabolic process
92	326	289	0.44262	0.45194	1.108e+04	-0.124	embryo development
93	74	74	0.42946	0.34337	9.933e-01	0.241	cellular component biogenesis
94	428	380	0.42472	0.40709	1.870e+04	-0.101	positive regulation of kinase activity
95	57	47	0.42216	0.43036	5.235e+02	0.495	digestion
96	187	169	0.41124	0.34614	3.162e+03	-0.022	regulation of apoptotic signaling pathway
97	250	216	0.40106	0.40423	7.771e+03	0.107	epithelial cell differentiation
98	270	237	0.40051	0.48948	8.189e+03	0.008	organic anion transport
99	197	162	0.4	0.4899	6.198e+03	-0.231	single organismal cell-cell adhesion
100	266	248	0.4	0.4899	4.528e+03	-0.106	lymphocyte activation
101	284	260	0.39559	0.40316	6.379e+03	-0.2	immune response-regulating cell surface receptor signaling pathway
102	76	61	0.39464	0.3773	1.030e+03	-0.184	female pregnancy
103	399	341	0.39336	0.47502	2.076e+04	-0.089	cation homeostasis
104	206	188	0.38292	0.46975	3.492e+03	0.037	protein maturation
105	324	312	0.38161	0.47008	3.712e+03	-0.013	modification by symbiont of host morphology or physiology
106	201	201	0.36786	0.45229	9.817e-01	0.219	ncRNA processing
107	135	127	0.35657	0.39416	1.040e+03	-0.062	maintenance of location
108	189	179	0.35008	0.36558	1.815e+03	0.011	nucleocytoplasmic transport
109	439	392	0.34892	0.44965	1.881e+04	0.044	multicellular organismal reproductive process
110	82	79	0.33573	0.36829	2.422e+02	-0.0	maintenance of protein location in cell
111	259	224	0.32355	0.44523	8.285e+03	-0.158	cellular localization
112	373	319	0.31276	0.45145	1.812e+04	-0.2	secretion by cell
113	323	295	0.31141	0.40683	8.423e+03	0.118	gamete generation
114	443	423	0.30962	0.45283	8.329e+03	0.028	protein ubiquitination
115	207	177	0.30434	0.33794	5.675e+03	-0.23	regulation of actin filament-based process
116	255	203	0.30306	0.40509	1.169e+04	-0.195	response to steroid hormone
117	305	298	0.3	0.45826	2.057e+03	0.316	nuclear division
118	328	320	0.3	0.45826	2.520e+03	0.102	proteolysis involved in cellular protein catabolic process
119	327	299	0.29935	0.45298	8.529e+03	-0.019	alcohol metabolic process
120	144	131	0.294	0.33491	1.773e+03	0.048	mitochondrion organization
121	137	127	0.29032	0.40645	1.310e+03	0.133	response to topologically incorrect protein
122	291	267	0.28596	0.43831	6.539e+03	0.153	spermatogenesis
123	250	232	0.28252	0.35462	4.253e+03	-0.034	negative regulation of intracellular signal transduction
124	304	247	0.28176	0.3754	1.534e+04	0.072	extracellular structure organization
125	121	120	0.27902	0.25493	1.207e+02	0.022	protein acylation
126	209	190	0.27738	0.40872	3.732e+03	-0.079	response to virus
127	40	40	0.26755	0.28428	9.964e-01	0.126	transcription from RNA polymerase III promoter
128	327	303	0.26123	0.33415	7.356e+03	-0.166	activation of immune response
129	143	134	0.26087	0.41109	1.236e+03	-0.042	positive regulation of I-kappaB kinase/NF-kappaB signaling
130	395	373	0.25642	0.40706	8.164e+03	0.05	organophosphate biosynthetic process
131	355	337	0.25062	0.38842	6.042e+03	-0.032	modification of morphology or physiology of other organism
132	154	127	0.25058	0.30016	3.759e+03	-0.093	xenobiotic metabolic process
133	441	414	0.24704	0.32152	1.111e+04	0.066	negative regulation of cellular protein metabolic process
134	114	101	0.24436	0.37004	1.391e+03	-0.013	neuron projection development
135	303	246	0.24359	0.38362	1.528e+04	0.074	extracellular matrix organization
136	264	248	0.23378	0.23904	4.009e+03	0.005	apoptotic signaling pathway
137	262	231	0.2304	0.39517	7.486e+03	-0.082	fatty acid metabolic process
138	184	172	0.22248	0.39441	2.108e+03	-0.036	transcription initiation from RNA polymerase II promoter
139	224	195	0.21848	0.34395	5.975e+03	-0.058	response to metal ion
140	110	89	0.21702	0.27654	2.082e+03	-0.182	multi-multicellular organism process
141	121	117	0.2166	0.39477	4.738e+02	0.086	cofactor biosynthetic process
142	310	277	0.21417	0.32096	9.444e+03	-0.063	negative regulation of phosphorus metabolic process & negative regulation of phosphate metabolic process
143	219	185	0.21374	0.35132	6.759e+03	-0.146	response to hypoxia
144	153	130	0.20961	0.29306	3.225e+03	-0.062	response to wounding
145	156	130	0.20525	0.24056	3.683e+03	-0.171	regulation of cellular response to growth factor stimulus
146	132	120	0.205	0.39778	1.502e+03	-0.107	protein dephosphorylation
147	194	184	0.20275	0.34926	1.863e+03	0.009	nuclear transport
148	105	97	0.20172	0.39917	8.055e+02	-0.14	regulation of dephosphorylation
149	287	242	0.20024	0.38566	1.164e+04	-0.21	negative regulation of transport
150	118	109	0.2	0.4	1.016e+03	0.061	sphingolipid metabolic process
151	373	330	0.2	0.4	1.465e+04	0.009	regulation of proteolysis
152	76	76	0.1991	0.20088	9.931e-01	0.05	protein modification by small protein removal
153	359	325	0.19312	0.26845	1.128e+04	-0.024	negative regulation of cellular component organization
154	458	385	0.1904	0.30808	2.962e+04	-0.311	hemostasis
155	155	132	0.18674	0.31186	3.270e+03	0.295	skeletal system development
156	423	377	0.18359	0.31824	1.775e+04	-0.122	regulation of cytokine production
157	226	207	0.18099	0.19692	4.043e+03	-0.005	regulation of DNA metabolic process
158	115	112	0.18036	0.27056	3.395e+02	0.072	macromolecule methylation
159	373	356	0.17621	0.34794	6.000e+03	-0.029	interaction with host
160	96	92	0.17515	0.31062	3.758e+02	-0.038	maintenance of protein location
161	232	202	0.17461	0.31803	6.397e+03	0.073	reproductive structure development
162	83	79	0.17121	0.34842	3.246e+02	-0.041	cilium assembly & cilium organization
163	307	290	0.17031	0.30384	4.946e+03	0.148	regulation of mitotic cell cycle
164	291	237	0.16965	0.28367	1.394e+04	-0.33	regulation of ion transport
165	56	54	0.16551	0.15075	1.114e+02	-0.006	protein lipidation
166	467	406	0.16308	0.30709	2.560e+04	-0.194	response to cytokine
167	44	43	0.16159	0.20599	4.482e+01	0.21	sperm-egg recognition
168	149	143	0.16028	0.28595	8.683e+02	0.096	nucleobase-containing compound transport
169	291	285	0.1563	0.31105	1.687e+03	0.107	RNA splicing
170	159	135	0.15567	0.23576	3.494e+03	-0.204	heart development
171	127	122	0.15542	0.17869	6.189e+02	0.053	methylation
172	160	145	0.15413	0.32488	2.264e+03	-0.194	cell projection assembly
173	52	50	0.1509	0.26536	1.035e+02	0.124	cell-cell recognition
174	202	169	0.15054	0.23214	6.035e+03	-0.019	neuron differentiation
175	282	249	0.1481	0.29743	8.567e+03	-0.112	regulation of cytoskeleton organization
176	406	361	0.1478	0.31781	1.668e+04	-0.106	positive regulation of protein kinase activity
177	61	60	0.14593	0.24027	6.166e+01	0.249	RNA modification
178	155	134	0.14552	0.29325	3.006e+03	-0.18	regulation of Ras protein signal transduction
179	222	197	0.14544	0.23314	5.151e+03	-0.037	Wnt signaling pathway
180	61	51	0.14147	0.15511	5.631e+02	-0.058	epithelial cell migration
181	90	78	0.14003	0.27401	1.007e+03	-0.058	carbohydrate transport
182	27	24	0.13384	0.24146	7.882e+01	-0.11	bone development
183	109	93	0.13031	0.1887	1.610e+03	-0.06	central nervous system development
184	344	286	0.12942	0.17344	1.777e+04	-0.238	negative regulation of multicellular organismal process
185	105	103	0.12762	0.28326	2.080e+02	0.106	regulation of gene expression, epigenetic
186	319	313	0.12701	0.30193	1.845e+03	0.102	modification-dependent macromolecule catabolic process
187	235	217	0.12611	0.24059	3.994e+03	-0.057	negative regulation of cell cycle
188	248	237	0.12102	0.18106	2.615e+03	0.141	protein catabolic process
189	58	51	0.11726	0.29871	3.841e+02	0.024	glycosphingolipid metabolic process
190	270	251	0.11184	0.29779	4.842e+03	-0.053	phospholipid metabolic process
191	173	145	0.11166	0.17306	4.402e+03	-0.158	transmembrane receptor protein serine/threonine kinase signaling pathway
192	165	151	0.1116	0.29815	2.188e+03	0.169	hexose metabolic process
193	116	92	0.11141	0.18902	2.485e+03	-0.298	cell-substrate adhesion
194	221	186	0.11052	0.27031	7.009e+03	-0.151	response to decreased oxygen levels
195	375	312	0.11033	0.29815	2.099e+04	-0.202	regulation of purine nucleotide metabolic process
196	286	243	0.10694	0.14884	1.112e+04	-0.051	morphogenesis of an epithelium
197	137	121	0.10562	0.1416	2.049e+03	-0.178	myeloid cell differentiation
198	20	17	0.1029	0.28871	5.790e+01	0.586	calcium-independent cell-cell adhesion
199	98	86	0.10281	0.29918	1.102e+03	-0.022	glycosaminoglycan biosynthetic process
200	152	138	0.10226	0.29932	2.011e+03	-0.046	microtubule-based movement
201	234	198	0.10076	0.14561	7.642e+03	-0.162	response to oxygen levels
202	86	79	0.10015	0.29995	5.776e+02	-0.196	regulation of phosphatase activity
203	230	198	0.10007	0.29998	6.731e+03	0.155	regionalization
204	286	250	0.1	0.3	9.431e+03	-0.123	protein localization
205	109	97	0.1	0.3	1.231e+03	0.5	epidermis development
206	265	228	0.1	0.3	8.935e+03	-0.157	regulation of nucleoside metabolic process
207	135	122	0.1	0.3	1.658e+03	-0.16	cellular component assembly involved in morphogenesis
208	135	129	0.1	0.3	7.865e+02	0.144	electron transport chain
209	198	181	0.1	0.3	3.175e+03	-0.087	regulation of protein complex assembly
210	201	187	0.1	0.3	2.676e+03	-0.011	glycerolipid biosynthetic process
211	179	173	0.1	0.3	1.043e+03	0.079	antigen processing and presentation of peptide antigen
212	345	331	0.1	0.3	4.594e+03	-0.01	modification of morphology or physiology of other organism involved in symbiotic interaction
213	250	217	0.1	0.3	7.559e+03	0.01	regulation of endopeptidase activity
214	192	166	0.09922	0.28478	4.592e+03	-0.205	regulation of actin cytoskeleton organization
215	159	131	0.09807	0.15	4.021e+03	-0.22	regulation of ossification
216	183	182	0.09558	0.26157	1.809e+02	0.154	mRNA catabolic process
217	246	233	0.09514	0.19579	3.053e+03	0.122	small molecule catabolic process
218	84	74	0.09377	0.28012	7.903e+02	-0.158	detection of stimulus involved in sensory perception
219	32	32	0.09322	0.1488	9.971e-01	0.282	ribosome biogenesis
220	316	304	0.09294	0.20354	3.622e+03	-0.013	modulation by virus of host morphology or physiology
221	310	284	0.09241	0.27724	7.527e+03	-0.041	regulation of cellular response to stress
222	45	33	0.09078	0.25403	4.733e+02	-0.307	actin-mediated cell contraction
223	55	55	0.08736	0.16685	9.950e-01	0.268	ribonucleoprotein complex biogenesis
224	35	34	0.08729	0.17811	3.589e+01	0.171	binding of sperm to zona pellucida
225	206	177	0.08724	0.25294	5.472e+03	-0.333	platelet activation
226	183	162	0.08669	0.12667	3.577e+03	-0.202	epidermal growth factor receptor signaling pathway
227	133	121	0.08645	0.22238	1.513e+03	-0.141	cell cycle arrest
228	76	60	0.08643	0.16556	1.090e+03	-0.199	reactive oxygen species metabolic process
229	366	319	0.0789	0.14108	1.562e+04	-0.16	regulation of cell activation
230	455	380	0.07551	0.16384	3.016e+04	-0.093	regulation of secretion
231	365	320	0.07399	0.14875	1.495e+04	-0.148	regulation of cellular component biogenesis
232	319	283	0.07386	0.11949	1.056e+04	-0.067	positive regulation of apoptotic process
233	92	82	0.07188	0.11338	8.691e+02	0.005	negative regulation of cellular response to growth factor stimulus
234	115	92	0.07173	0.11853	2.370e+03	-0.378	second-messenger-mediated signaling
235	295	247	0.0713	0.1639	1.271e+04	-0.152	single-organism behavior
236	35	35	0.07092	0.11282	9.968e-01	0.198	regulation of DNA-templated transcription, elongation
237	170	147	0.06896	0.11075	3.605e+03	-0.149	rhythmic process
238	135	123	0.06881	0.13258	1.537e+03	-0.122	regulation of cellular component size
239	85	78	0.06697	0.16188	5.708e+02	0.176	regulation of cyclin-dependent protein serine/threonine kinase activity
240	106	88	0.0646	0.12873	1.741e+03	0.001	ossification
241	296	261	0.06418	0.08064	9.518e+03	-0.131	regulation of lymphocyte activation
242	130	120	0.06223	0.18294	1.242e+03	0.12	response to unfolded protein
243	341	320	0.06039	0.10925	6.743e+03	0.059	negative regulation of protein modification process
244	30	29	0.05926	0.08132	3.092e+01	0.023	membrane protein proteolysis
245	94	80	0.05902	0.11818	1.216e+03	-0.128	regulation of transforming growth factor beta receptor signaling pathway
246	303	268	0.05894	0.17681	9.751e+03	-0.173	regulation of protein transport
247	95	83	0.05885	0.09047	1.066e+03	-0.171	regulation of protein kinase B signaling
248	89	83	0.05866	0.12532	5.159e+02	-0.13	regulation of actin filament polymerization
249	166	149	0.05694	0.1461	2.649e+03	0.063	anatomical structure homeostasis
250	242	228	0.05559	0.16586	3.227e+03	-0.016	regulation of multi-organism process
251	371	327	0.05544	0.1169	1.489e+04	-0.156	cellular component morphogenesis
252	38	26	0.05524	0.14356	3.899e+02	-0.38	muscle filament sliding & actin-myosin filament sliding
253	190	183	0.05497	0.11758	1.288e+03	0.141	establishment of protein localization to membrane
254	156	134	0.05456	0.12563	3.160e+03	-0.274	fibroblast growth factor receptor signaling pathway
255	292	268	0.05386	0.12186	6.561e+03	0.154	male gamete generation
256	214	176	0.05236	0.15709	7.298e+03	-0.136	protein homooligomerization
257	97	94	0.051	0.15301	2.865e+02	0.176	mitochondrial transport
