Creation Time:	2022-09-08 16:00:06

INPUT:
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	5000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	4024142819

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	6430
Proportion perturbed genes:	0.5275248174583641

OUTPUT:
Learnt parameters:
alpha (FPR):	0.12419354838709677
beta (FNR):	0.2129032258064516
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-10671.885418597034 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	305	191	1.0	0.0	2.722e+04	0.316	nuclear division
2	68	38	1.0	0.0	1.593e+03	0.275	neural tube closure
3	363	261	1.0	0.0	3.032e+04	0.241	DNA repair
4	255	235	1.0	0.0	4.724e+03	0.31	translation
5	188	130	1.0	0.0	9.021e+03	0.142	protein folding
6	425	214	1.0	0.0	6.405e+04	-0.0	sensory perception
7	109	61	1.0	0.0	4.050e+03	0.5	epidermis development
8	244	128	1.0	0.0	2.099e+04	0.019	positive regulation of organelle organization
9	402	196	1.0	0.0	5.875e+04	-0.102	metal ion transport
10	440	250	1.0	0.0	6.204e+04	0.049	monocarboxylic acid metabolic process
11	201	161	1.0	0.0	7.056e+03	0.219	ncRNA processing
12	429	270	1.0	0.0	5.258e+04	0.154	cellular macromolecular complex assembly
13	190	135	1.0	0.0	8.738e+03	0.317	post-translational protein modification
14	167	70	1.0	0.0	1.151e+04	-0.101	regulation of peptidyl-tyrosine phosphorylation
15	437	207	1.0	0.0	7.045e+04	-0.103	ion homeostasis
16	234	111	1.0	0.0	2.073e+04	-0.162	response to oxygen levels
17	388	216	1.0	0.0	4.953e+04	0.026	nitrogen compound transport
18	374	185	1.0	0.0	5.054e+04	-0.024	regulation of protein serine/threonine kinase activity
19	270	200	1.0	0.0	1.588e+04	0.156	establishment of protein localization to organelle
20	343	205	1.0	0.0	3.624e+04	0.094	carbohydrate derivative biosynthetic process
21	478	277	1.0	0.0	7.142e+04	0.081	organonitrogen compound catabolic process
22	63	31	0.9898	0.0	1.511e+03	0.119	biomineral tissue development
23	121	77	0.98696	0.0	4.311e+03	0.086	cofactor biosynthetic process
24	376	240	0.9841	0.0	3.992e+04	0.056	generation of precursor metabolites and energy
25	137	92	0.97844	0.0	5.083e+03	0.133	response to topologically incorrect protein
26	54	35	0.96826	0.0	8.501e+02	0.159	cell redox homeostasis
27	475	267	0.95628	0.0	7.270e+04	0.033	protein modification by small protein conjugation
28	328	172	0.9541	0.0	3.751e+04	-0.091	protein oligomerization
29	184	125	0.93678	0.0	8.924e+03	0.319	chromosome organization
30	380	268	0.93232	0.0	3.450e+04	0.327	mitotic cell cycle
31	464	247	0.92256	0.0	7.286e+04	0.051	multicellular organismal development
32	107	54	0.91102	0.0	4.239e+03	-0.079	regulation of carbohydrate metabolic process
33	57	34	0.90642	0.0	1.051e+03	0.495	digestion
34	20	12	0.89264	0.0	1.327e+02	0.586	calcium-independent cell-cell adhesion
35	155	91	0.86	0.0	7.751e+03	0.295	skeletal system development
36	419	193	0.85748	0.0	6.611e+04	-0.045	organic hydroxy compound metabolic process
37	170	109	0.83392	0.0	8.353e+03	0.061	Golgi vesicle transport
38	175	75	0.83234	0.0	1.246e+04	-0.281	regulation of membrane potential
39	149	66	0.79764	0.0	8.889e+03	-0.045	regulation of insulin secretion
40	291	204	0.77622	0.0	2.074e+04	0.107	RNA splicing
41	61	50	0.77536	0.0	6.117e+02	0.249	RNA modification
42	250	123	0.77534	0.0	2.304e+04	0.107	epithelial cell differentiation
43	393	223	0.766	0.0	4.987e+04	0.099	chromatin modification
44	395	265	0.74032	0.0	4.074e+04	0.213	cellular amino acid metabolic process
45	247	157	0.6843	0.0	1.765e+04	0.215	glycosylation
46	220	98	0.67714	0.0	1.911e+04	-0.062	lipid catabolic process
47	46	23	0.65586	0.0	8.016e+02	0.056	excretion
48	144	94	0.62504	0.0	5.864e+03	0.048	mitochondrion organization
49	213	112	0.62028	0.0	1.604e+04	-0.025	DNA-templated transcription, initiation
50	291	171	0.58204	0.0	2.676e+04	0.153	spermatogenesis
51	175	127	0.57164	0.0	7.101e+03	0.365	DNA replication
52	37	19	0.5697	0.0	5.117e+02	-0.073	acute-phase response
53	94	41	0.56382	0.0	3.607e+03	-0.128	regulation of transforming growth factor beta receptor signaling pathway
54	87	40	0.54446	0.0	2.994e+03	0.064	neuropeptide signaling pathway
55	114	55	0.54252	0.0	4.954e+03	-0.013	neuron projection development
56	26	15	0.53328	0.0	2.313e+02	0.274	ephrin receptor signaling pathway
57	240	140	0.5279	0.0	1.848e+04	0.083	nucleoside phosphate catabolic process
58	37	23	0.52288	0.0	4.260e+02	0.099	neural precursor cell proliferation
59	167	97	0.50124	0.0	9.082e+03	0.004	regulation of protein catabolic process
