Creation Time:	2022-11-29 14:34:55

INPUT:
File name:	crfe_v017.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	50000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	3839578045

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	6430
Proportion perturbed genes:	0.5275248174583641

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-8969.681133922775 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	150	115	1.0	0.0	4.560e+03	0.324	G1/S transition of mitotic cell cycle & cell cycle G1/S phase transition
2	155	91	1.0	0.0	7.751e+03	0.295	skeletal system development
3	125	57	1.0	0.0	6.167e+03	0.057	ameboidal cell migration
4	162	80	1.0	0.0	9.772e+03	0.009	aminoglycan metabolic process
5	175	127	1.0	0.0	7.101e+03	0.365	DNA replication
6	363	261	1.0	0.0	3.032e+04	0.241	DNA repair
7	255	235	1.0	0.0	4.724e+03	0.31	translation
8	188	130	1.0	0.0	9.021e+03	0.142	protein folding
9	395	265	1.0	0.0	4.074e+04	0.213	cellular amino acid metabolic process
10	87	40	1.0	0.0	2.994e+03	0.064	neuropeptide signaling pathway
11	291	171	1.0	0.0	2.676e+04	0.153	spermatogenesis
12	57	34	1.0	0.0	1.051e+03	0.495	digestion
13	425	214	1.0	0.0	6.405e+04	-0.0	sensory perception
14	388	178	1.0	0.0	5.706e+04	0.064	organ morphogenesis
15	20	12	1.0	0.0	1.327e+02	0.586	calcium-independent cell-cell adhesion
16	97	83	1.0	0.0	1.250e+03	0.152	respiratory electron transport chain
17	402	196	1.0	0.0	5.875e+04	-0.102	metal ion transport
18	440	250	1.0	0.0	6.204e+04	0.049	monocarboxylic acid metabolic process
19	25	15	1.0	0.0	2.054e+02	0.404	tumor necrosis factor-mediated signaling pathway
20	289	234	1.0	0.0	1.382e+04	0.229	ncRNA metabolic process
21	137	92	1.0	0.0	5.083e+03	0.133	response to topologically incorrect protein
22	175	75	1.0	0.0	1.246e+04	-0.281	regulation of membrane potential
23	304	152	1.0	0.0	3.346e+04	0.072	extracellular structure organization
24	190	135	1.0	0.0	8.738e+03	0.317	post-translational protein modification
25	105	75	1.0	0.0	2.678e+03	0.333	single-organism carbohydrate catabolic process
26	234	149	1.0	0.0	1.583e+04	0.115	cofactor metabolic process
27	184	125	1.0	0.0	8.924e+03	0.319	chromosome organization
28	399	191	1.0	0.0	5.861e+04	-0.089	cation homeostasis
29	238	116	1.0	0.0	2.105e+04	0.111	epithelium development
30	48	37	1.0	0.0	4.709e+02	0.206	establishment of protein localization to mitochondrion
31	112	68	0.9496	0.0	3.926e+03	0.099	amino acid transport
32	97	73	0.94202	0.0	2.026e+03	0.513	nucleosome assembly
33	37	24	0.93632	0.0	4.021e+02	0.317	carbohydrate derivative transport
34	59	36	0.92024	0.0	1.097e+03	0.418	cell fate specification
35	37	23	0.79786	0.0	4.260e+02	0.099	neural precursor cell proliferation
