         13664404 function calls (13518132 primitive calls) in 24.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5504    6.485    0.001    6.485    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:179(<listcomp>)
     5570    3.990    0.001    3.990    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:190(<listcomp>)
  5856161    3.199    0.000    3.199    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:203(new_gene_annotated_to_selected_terms)
  5854961    3.193    0.000    3.193    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:213(gene_no_longer_annotated_to_selected_terms)
    85056    2.377    0.000    5.576    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:223(add_term)
    85033    2.305    0.000    5.499    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:245(remove_term)
    11076    1.387    0.000    1.387    0.000 {built-in method builtins.sum}
    54999    0.373    0.000   17.854    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:142(propose_MCMC_state)
        1    0.337    0.337   24.570   24.570 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:376(MCMC_alg)
219465/73222    0.299    0.000    0.580    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    55000    0.133    0.000    0.175    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:292(get_score)
       20    0.084    0.004    0.691    0.035 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:115(get_specific_rates)
        1    0.083    0.083    0.115    0.115 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:575(remove_genes_not_annotated_to_any_term)
    73120    0.073    0.000    0.486    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/lib/function_base.py:4762(append)
        3    0.053    0.018    0.053    0.018 {built-in method _pickle.load}
   289814    0.052    0.000    0.052    0.000 {built-in method math.log}
    54307    0.044    0.000    5.493    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:273(undo_proposal)
    73120    0.044    0.000    0.094    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1718(ravel)
    73123    0.042    0.000    0.212    0.000 <__array_function__ internals>:2(concatenate)
    73120    0.033    0.000    0.607    0.000 <__array_function__ internals>:2(append)
    73120    0.031    0.000    0.191    0.000 <__array_function__ internals>:2(ravel)
   146330    0.030    0.000    0.030    0.000 {built-in method numpy.asanyarray}
        1    0.019    0.019    0.019    0.019 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:576(<listcomp>)
    73120    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   164997    0.016    0.000    0.016    0.000 {method 'random' of '_random.Random' objects}
        3    0.013    0.004    0.013    0.004 {method 'argsort' of 'numpy.ndarray' objects}
73909/73908    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
        2    0.012    0.006    0.012    0.006 {method 'union' of 'set' objects}
        1    0.011    0.011    0.011    0.011 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.010    0.010    0.010    0.010 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:795(<listcomp>)
    73123    0.009    0.000    0.009    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:148(concatenate)
    73120    0.009    0.000    0.009    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
    73120    0.008    0.000    0.008    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
        1    0.008    0.008    0.009    0.009 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
     6138    0.006    0.000    0.009    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:498(log_binomial_coefficient)
        1    0.004    0.004    0.004    0.004 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/4254006291.py:21(<cell line: 21>)
     8832    0.003    0.000    0.003    0.000 {built-in method builtins.max}
     5355    0.003    0.000    0.412    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:267(toggle_term)
     2046    0.003    0.000    0.011    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:491(hypergeometric_pmf)
      143    0.003    0.000    0.003    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/zmq/sugar/socket.py:543(send)
        1    0.003    0.003    0.027    0.027 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:66(get_list_of_active_categories)
        1    0.002    0.002    0.695    0.695 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:300(initialize)
        1    0.002    0.002   24.841   24.841 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:836(runMe)
        1    0.002    0.002    0.002    0.002 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:521(<listcomp>)
        1    0.002    0.002    0.002    0.002 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:52(find_min_level_of_activation)
       77    0.001    0.000    0.001    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:466(<listcomp>)
