         13662333 function calls (13516061 primitive calls) in 12.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5831026    3.123    0.000    3.123    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:217(gene_no_longer_annotated_to_selected_terms)
  5832260    3.117    0.000    3.117    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:207(new_gene_annotated_to_selected_terms)
    84928    2.300    0.000    5.417    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:227(add_term)
    84904    2.259    0.000    5.383    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:249(remove_term)
230581/84338    0.362    0.000    0.728    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.328    0.328   12.535   12.535 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:380(MCMC_alg)
    54999    0.306    0.000    5.935    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:142(propose_MCMC_state)
    55000    0.132    0.000    0.172    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:296(get_score)
        1    0.091    0.091    0.124    0.124 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:579(remove_genes_not_annotated_to_any_term)
       20    0.085    0.004    0.699    0.035 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:115(get_specific_rates)
    73120    0.075    0.000    0.490    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/lib/function_base.py:4762(append)
        3    0.056    0.019    0.056    0.019 {built-in method _pickle.load}
     5619    0.051    0.000    0.051    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   290456    0.050    0.000    0.050    0.000 {built-in method math.log}
    73120    0.043    0.000    0.093    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1718(ravel)
    54305    0.043    0.000    5.381    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:277(undo_proposal)
    73123    0.041    0.000    0.211    0.000 <__array_function__ internals>:2(concatenate)
    73120    0.035    0.000    0.614    0.000 <__array_function__ internals>:2(append)
    73120    0.033    0.000    0.194    0.000 <__array_function__ internals>:2(ravel)
   146337    0.030    0.000    0.030    0.000 {built-in method numpy.asanyarray}
        2    0.026    0.013    0.026    0.013 {built-in method builtins.sum}
        1    0.019    0.019    0.019    0.019 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:580(<listcomp>)
    73120    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   164997    0.016    0.000    0.016    0.000 {method 'random' of '_random.Random' objects}
        3    0.015    0.005    0.015    0.005 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.015    0.015    0.015    0.015 {method 'searchsorted' of 'numpy.ndarray' objects}
79435/79434    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
        2    0.013    0.007    0.013    0.007 {method 'union' of 'set' objects}
