Gene ID	Gene Name	g1_g2.p-value	g1_g2.log2foldchange	g1_g3.p-value	g1_g3.log2foldchange
ENSG00000000003	TSPAN6	6.87311815868853e-07	-0.4	0.648623996746486	-0.1
ENSG00000000005	TNMD	0.321263577088864	-0.3	4.59540206542974e-05	-1.4
ENSG00000000419	DPM1	0.100916683453934	-0.2	0.944981889799645	0
ENSG00000000457	SCYL3	0.0951590630276452	-0.1	5.80215959530842e-06	-0.4
ENSG00000000460	C1orf112	0.926830364886791	0	0.448592109849657	-0.1
ENSG00000000938	FGR	9.15080895083667e-11	1.2	1.02841607190221e-12	1.7
ENSG00000000971	CFH	0.0191358718899889	0.3	0.00228698428303187	0.5
ENSG00000001036	FUCA2	0.0157545443555085	-0.2	0.55548581385161	0.1
ENSG00000001084	GCLC	0.00728680394663229	-0.2	0.000110297853967019	-0.3
ENSG00000001167	NFYA	0.22641862234616	0.1	0.0648074416400826	0.2
ENSG00000001460	STPG1	0.0601308752107841	-0.2	1.46632732175964e-06	-0.6
ENSG00000001461	NIPAL3	0.977590667396636	0	0.80239086179138	0
ENSG00000001497	LAS1L	0.0904447832595202	-0.2	0.75983703707765	0
ENSG00000001561	ENPP4	0.409909290635992	0.1	6.11248200940473e-05	0.4
ENSG00000001617	SEMA3F	0.713942707417494	-0.1	0.000123890746814209	0.6
ENSG00000001626	CFTR	0.482139460764159	-0.1	0.00321036950979575	-0.3
ENSG00000001629	ANKIB1	0.00263507931206898	0.2	0.0302335658865906	0.2
ENSG00000001630	CYP51A1	0.411729969348252	0.2	0.898235157685448	0
ENSG00000001631	KRIT1	0.0765260801505397	0.3	0.265662450999154	0.2
ENSG00000002016	RAD52	0.510208587532639	-0.1	2.25090775915985e-09	-0.6
ENSG00000002079	MYH16	0.728380217000664	-0.2	0.00583379065231685	-1.4
ENSG00000002330	BAD	0.463178133152298	-0.1	0.000633859715887242	-0.3
ENSG00000002549	LAP3	3.49615497102936e-07	0.5	8.60324123166419e-20	0.9
ENSG00000002586	CD99	0.18678357162817	0.1	0.104224407349851	-0.1
ENSG00000002587	HS3ST1	0.305373822465694	0.2	0.0184651045263835	0.4
ENSG00000002726	AOC1	2.22958055500239e-09	-0.4	0.00267518481297994	-0.5
