Gene ID	Gene Name	g4_g1.p-value	g4_g1.log2foldchange	g5_g2.p-value	g5_g2.log2foldchange	g6_g3.p-value	g6_g3.log2foldchange	g8_g7.p-value	g8_g7.log2foldchange
ENSG00000000003	TSPAN6	0.33471521592113	-0.2	0.414155806976418	0.5	0.924697452076632	0.1	0.8975128535652	0.3
ENSG00000000005	TNMD	NA	0	NA	0	NA	0	NA	0
ENSG00000000419	DPM1	0.493759225838947	-0.1	0.999991435582463	0.1	0.760658851864717	-0.1	0.998739987861482	-0.1
ENSG00000000457	SCYL3	0.78550317987408	0.1	0.999991435582463	0.2	0.996048748003039	0	0.998739987861482	-0.1
ENSG00000000460	C1orf112	0.231717120346955	0.4	0.999991435582463	-0.1	0.837049200081329	0.1	0.998739987861482	0
ENSG00000000938	FGR	NA	0	NA	0	NA	0	NA	0
ENSG00000000971	CFH	1.10604824472117e-07	-0.6	0.999991435582463	0.3	0.638927451799537	0.2	0.998739987861482	0.2
ENSG00000001036	FUCA2	0.23955611224825	0.1	0.0730941996582215	0.5	0.351524088918835	0.2	0.570057255354905	0.3
ENSG00000001084	GCLC	0.769234707030562	0.1	0.999991435582463	0	0.895250988889242	0.1	0.998739987861482	0
ENSG00000001167	NFYA	0.774928451114601	0.1	0.999991435582463	0.1	0.992184156744726	0	0.998739987861482	-0.1
ENSG00000001460	STPG1	0.416715043228422	0.3	0.999991435582463	-0.1	0.994657232516796	0	0.998739987861482	-0.1
ENSG00000001461	NIPAL3	3.17546346680817e-09	0.5	0.999991435582463	0.1	0.986517999366446	0	0.998739987861482	0.1
ENSG00000001497	LAS1L	0.62396802340312	0.1	0.999991435582463	-0.1	0.838429216545683	0.1	0.998739987861482	-0.1
ENSG00000001561	ENPP4	0.0858840854713461	0.5	0.736893359057254	0.6	NA	0.1	0.166865566367388	0.9
ENSG00000001617	SEMA3F	0.851320974485617	-0.1	0.901877741325915	0.5	0.911996626960129	-0.1	0.998739987861482	0.3
ENSG00000001626	CFTR	NA	-0.1	NA	0	NA	0	NA	0
ENSG00000001629	ANKIB1	0.510343591193359	-0.1	0.999991435582463	0.1	0.895967008904004	0.1	0.998739987861482	0.1
ENSG00000001630	CYP51A1	NA	-0.1	NA	0	NA	0	NA	0
ENSG00000001631	KRIT1	0.64258991488332	0.2	0.999991435582463	0	0.930386030822971	-0.1	0.993294457868464	0.3
ENSG00000002016	RAD52	0.898511878890694	0	0.999991435582463	-0.2	0.544247569193064	-0.3	0.998739987861482	-0.2
ENSG00000002079	MYH16	0.489785063166065	-0.2	0.0191752874093434	-1.2	NA	-0.1	0.0165536072576513	-1.2
ENSG00000002330	BAD	0.256162134378302	-0.2	0.857602258639435	0.4	0.902684102678226	0.1	0.999909207258631	0
ENSG00000002549	LAP3	0.00706323690153563	0.5	0.999991435582463	-0.2	0.954959296114919	-0.1	0.998739987861482	-0.1
ENSG00000002586	CD99	0.00214037082240194	-0.4	0.999991435582463	0.2	0.82339761015341	0.1	0.998739987861482	0.1
ENSG00000002587	HS3ST1	0.948577993778212	0	NA	-0.3	0.713524845082152	-0.2	0.998739987861482	-0.1
ENSG00000002726	AOC1	NA	0	NA	0	NA	0	NA	0
ENSG00000002745	WNT16	NA	0.1	NA	0.1	NA	0	NA	-0.3
ENSG00000002746	HECW1	NA	0	NA	-0.2	NA	0	NA	-0.3
ENSG00000002822	MAD1L1	0.386549238254097	0.3	0.999991435582463	-0.2	0.99461838874643	0	0.998739987861482	0
ENSG00000002834	LASP1	0.202459032690364	0.3	0.999991435582463	0.1	0.841857586826994	0.1	0.998739987861482	0.2
ENSG00000002919	SNX11	0.86949310979868	0	0.999991435582463	0.2	0.881031491370754	0.1	0.998739987861482	0.2
ENSG00000002933	TMEM176A	NA	0	NA	0	NA	0	NA	0
ENSG00000003056	M6PR	0.111603832863531	0.4	0.455147236439683	0.6	0.997171411054242	0	0.910886633422534	0.4
ENSG00000003096	KLHL13	0.0345983752118806	0.4	0.999991435582463	0.2	0.877747866848938	0.1	0.998739987861482	0
ENSG00000003137	CYP26B1	NA	0.2	0.999991435582463	0.1	NA	0.1	0.95566042197173	0.4
ENSG00000003147	ICA1	NA	-0.5	0.124050144182133	1	NA	-0.1	0.446790822737934	0.8
ENSG00000003249	DBNDD1	0.52624312108772	-0.2	0.999991435582463	0	0.996724950398413	0	0.998852863974661	0
ENSG00000003393	ALS2	0.777372536274163	0.1	0.999991435582463	0	0.681819124250346	-0.2	0.998739987861482	0
ENSG00000003400	CASP10	NA	0	NA	0.1	NA	0	NA	0
ENSG00000003402	CFLAR	0.451412084085231	-0.1	0.922140655303113	0.4	0.953313180029398	0	0.907930042127283	0.4
ENSG00000003436	TFPI	0.00809378557668532	-0.3	0.73289288845625	-0.5	0.0835309096380509	-0.3	0.579564841067313	-0.6
ENSG00000003509	NDUFAF7	0.418884212802444	0.2	0.999991435582463	-0.1	0.782806765023007	-0.2	0.998739987861482	0.1
ENSG00000003756	RBM5	0.163648829440554	-0.1	0.999991435582463	0.1	0.885435556117924	-0.1	0.998739987861482	0
ENSG00000003987	MTMR7	0.784931451201179	0.1	0.999991435582463	0.1	0.942611547341127	0.1	0.998739987861482	-0.3
ENSG00000003989	SLC7A2	NA	0	NA	0	NA	0	NA	0
ENSG00000004059	ARF5	NA	-0.2	0.999991435582463	0.1	NA	0	NA	-0.2
ENSG00000004139	SARM1	NA	0.1	0.999991435582463	0.4	NA	0	0.998739987861482	0
ENSG00000004142	POLDIP2	0.994823976949375	0	0.999991435582463	0.1	0.669168362741287	0.1	0.998739987861482	0.1
ENSG00000004399	PLXND1	0.921167933443244	0	0.999991435582463	0.3	0.28377824824429	0.3	0.998739987861482	0.1
ENSG00000004455	AK2	0.734357670719388	-0.1	0.999991435582463	-0.1	0.812726350358422	-0.1	0.998852863974661	0
ENSG00000004468	CD38	NA	0	NA	0	NA	0	NA	0
ENSG00000004478	FKBP4	0.549556888710526	0.2	0.999991435582463	0	0.9356991249842	0.1	0.998739987861482	-0.1
ENSG00000004487	KDM1A	0.54700788538934	-0.1	0.999991435582463	-0.1	0.657752995158181	0.1	0.998739987861482	0
ENSG00000004534	RBM6	0.103189186531982	-0.2	0.999991435582463	0.1	0.734845797299067	-0.1	0.998739987861482	0
ENSG00000004660	CAMKK1	0.868863777649881	-0.1	0.999991435582463	-0.1	0.985673914734716	0	0.989523757717311	-0.3
ENSG00000004700	RECQL	0.901111894010532	0	0.999991435582463	-0.2	0.90194823520878	0.1	0.998739987861482	0.1
ENSG00000004766	VPS50	0.80307796838432	0.1	0.999991435582463	0.1	0.824286283480636	0.1	0.998739987861482	0.1
ENSG00000004776	HSPB6	NA	0	NA	0	NA	0	NA	0
ENSG00000004777	ARHGAP33	0.821060211962898	0.1	0.999991435582463	0	NA	0	0.998739987861482	0.1
ENSG00000004779	NDUFAB1	0.626456982770131	-0.1	0.999991435582463	0	0.994657232516796	0	0.998739987861482	-0.1
ENSG00000004799	PDK4	NA	0.1	0.860699438792805	-0.4	NA	0	NA	-0.2
ENSG00000004809	SLC22A16	NA	0	NA	0	NA	0	NA	0
ENSG00000004838	ZMYND10	NA	0	NA	-0.1	NA	0	NA	-0.3
ENSG00000004846	ABCB5	NA	0	NA	0.1	NA	0	NA	0.1
ENSG00000004848	ARX	NA	0.1	NA	0.1	NA	0	NA	0.1
ENSG00000004864	SLC25A13	0.104899461102188	0.3	0.0855256901337095	0.6	0.980816994853588	0	0.572668899057566	0.5
ENSG00000004866	ST7	0.939876996386215	0	0.822767580919733	0.4	0.5086040116495	0.2	0.908987272980743	0.3
ENSG00000004897	CDC27	0.485997635917953	0.1	0.999991435582463	0.1	0.982563076498524	0	0.998845804910376	0
ENSG00000004939	SLC4A1	NA	0	NA	0	NA	0	NA	0
ENSG00000004948	CALCR	NA	0	NA	0	NA	0	NA	0
ENSG00000004961	HCCS	0.188728178829025	0.2	0.999991435582463	0.2	0.931657507211368	-0.1	0.998739987861482	0.1
ENSG00000004975	DVL2	0.140289048512433	-0.3	0.955429956853941	-0.3	0.994657232516796	0	0.998739987861482	-0.1
ENSG00000005001	PRSS22	NA	0	NA	0	NA	0	NA	0
ENSG00000005007	UPF1	0.628523242676631	0.1	0.999991435582463	-0.1	0.711645067289287	0.1	0.998739987861482	-0.1
ENSG00000005020	SKAP2	0.00945166706706861	-0.5	0.999991435582463	-0.1	0.570654519130779	-0.2	0.891701259241457	0.5
ENSG00000005022	SLC25A5	0.944387850932479	0	0.999991435582463	0	0.705774024656825	-0.1	0.998739987861482	-0.2
ENSG00000005059	MCUB	0.782161909316392	-0.1	0.999991435582463	-0.1	0.994657232516796	0	0.998739987861482	-0.3
ENSG00000005073	HOXA11	NA	0	NA	0	NA	0	NA	0
ENSG00000005075	POLR2J	0.795513830538597	0.1	0.999991435582463	0.1	0.916427139054182	0.1	0.998739987861482	-0.1
ENSG00000005100	DHX33	0.00359863304451836	0.4	0.999991435582463	0.1	0.8995377650771	-0.1	0.998739987861482	0.1
ENSG00000005102	MEOX1	NA	0	NA	0	NA	0	NA	0
